name_switch	name_prodesen	load_zone	load_area	date	timestamp	capacity_factor
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2006-01-31	20060131	9.009857
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2006-02-29	20060229	7.291008
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2006-03-31	20060331	8.848174
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2006-04-30	20060430	8.34647
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2006-05-31	20060531	8.575829
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2006-06-30	20060630	12.30735
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2006-07-31	20060731	13.496752
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2006-08-31	20060831	17.497536
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2006-09-30	20060930	14.034838
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2006-10-31	20061031	12.357807
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2006-11-30	20061130	9.954861
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2006-12-31	20061231	9.623264
angostura	angostura	02-oriental	39-grijalva	2006-01-31	20060131	35.047568
angostura	angostura	02-oriental	39-grijalva	2006-02-29	20060229	25.997646
angostura	angostura	02-oriental	39-grijalva	2006-03-31	20060331	55.043329
angostura	angostura	02-oriental	39-grijalva	2006-04-30	20060430	43.171832
angostura	angostura	02-oriental	39-grijalva	2006-05-31	20060531	51.779112
angostura	angostura	02-oriental	39-grijalva	2006-06-30	20060630	46.792907
angostura	angostura	02-oriental	39-grijalva	2006-07-31	20060731	37.597673
angostura	angostura	02-oriental	39-grijalva	2006-08-31	20060831	44.144713
angostura	angostura	02-oriental	39-grijalva	2006-09-30	20060930	49.486183
angostura	angostura	02-oriental	39-grijalva	2006-10-31	20061031	35.237251
angostura	angostura	02-oriental	39-grijalva	2006-11-30	20061130	41.570008
angostura	angostura	02-oriental	39-grijalva	2006-12-31	20061231	27.506904
bacurato	bacurato	04-noroeste	04-los_mochis	2015-01-31	20150131	38.096912
bacurato	bacurato	04-noroeste	04-los_mochis	2015-02-29	20150229	46.572692
bacurato	bacurato	04-noroeste	04-los_mochis	2015-03-31	20150331	66.58052
bacurato	bacurato	04-noroeste	04-los_mochis	2015-04-30	20150430	49.407434
