Año,Mes,Día,HR,CEL
2030,1,9,21,10725.47548
2030,1,9,22,10188.79011
2030,1,9,23,9322.719087
2030,1,9,24,8129.181225
2030,1,10,1,7154.913993
2030,1,10,2,6642.149541
2030,1,10,3,6441.094142
2030,1,10,4,6315.986772
2030,1,10,5,6413.423641
2030,1,10,6,6870.484517
2030,1,10,7,7849.330922
2030,1,10,8,8274.504698
2030,1,10,9,8562.707627
2030,1,10,10,8869.88227
2030,1,10,11,9072.90273
2030,1,10,12,9203.462136
2030,1,10,13,9219.528783
2030,1,10,14,9183.966705
2030,1,10,15,9160.232294
2030,1,10,16,9209.755702
2030,1,10,17,9229.30634
2030,1,10,18,9255.874199
2030,1,10,19,9979.798371
2030,1,10,20,10645.25863
2030,1,10,21,10407.77874
2030,1,10,22,9978.789729
2030,1,10,23,9152.066176
2030,1,10,24,8313.216542
2030,1,11,1,7336.086022
2030,1,11,2,6735.81594
2030,1,11,3,6430.301975
2030,1,11,4,6285.42314
2030,1,11,5,6280.629108
2030,1,11,6,6374.49843
2030,1,11,7,6867.834595
2030,1,11,8,6998.528288
2030,1,11,9,7390.707845
2030,1,11,10,7841.68703
2030,1,11,11,8221.439107
2030,1,11,12,8423.116701
2030,1,11,13,8525.458015
2030,1,11,14,8408.564509
2030,1,11,15,8301.624624
2030,1,11,16,8197.810633
2030,1,11,17,8299.241783
2030,1,11,18,8341.765875
2030,1,11,19,9132.597602
2030,1,11,20,9727.457425
2030,1,11,21,9528.465564
2030,1,11,22,9057.620914
2030,1,11,23,8468.938275
2030,1,11,24,7641.347827
2030,1,12,1,6794.084391
2030,1,12,2,6193.057828
2030,1,12,3,5836.058378
2030,1,12,4,5762.326079
2030,1,12,5,5707.456572
2030,1,12,6,5711.885046
2030,1,12,7,5866.269881
2030,1,12,8,6017.154311
2030,1,12,9,6246.406913
2030,1,12,10,6632.66443
2030,1,12,11,6964.698508
2030,1,12,12,7169.285644
2030,1,12,13,7159.300689
2030,1,12,14,7112.160122
2030,1,12,15,6993.107586
2030,1,12,16,6950.511874
2030,1,12,17,7012.619429
2030,1,12,18,7250.946822
2030,1,12,19,8291.139824
2030,1,12,20,9321.431428
2030,1,12,21,9398.910323
2030,1,12,22,9014.938662
2030,1,12,23,8146.93093
2030,1,12,24,7112.248154
2030,1,13,1,6273.844651
2030,1,13,2,5732.690517
2030,1,13,3,5531.688833
2030,1,13,4,5517.202293
2030,1,13,5,5652.363254
2030,1,13,6,6226.653353
2030,1,13,7,7421.832496
2030,1,13,8,8025.741744
2030,1,13,9,8264.348154
2030,1,13,10,8611.601381
2030,1,13,11,8915.518827
2030,1,13,12,9124.891043
2030,1,13,13,9120.008979
2030,1,13,14,8969.725854
2030,1,13,15,8980.170368
2030,1,13,16,9085.588338
2030,1,13,17,9214.678052
2030,1,13,18,9411.254246
2030,1,13,19,10125.84699
2030,1,13,20,10798.59901
2030,1,13,21,10645.16165
2030,1,13,22,10076.40416
2030,1,13,23,9145.357814
2030,1,13,24,7980.003726
2030,1,14,1,7001.949612
2030,1,14,2,6537.420909
2030,1,14,3,6344.488358
2030,1,14,4,6279.906945
2030,1,14,5,6379.198461
2030,1,14,6,6902.123934
2030,1,14,7,7958.465647
2030,1,14,8,8538.346545
2030,1,14,9,8578.153571
2030,1,14,10,8932.15097
2030,1,14,11,9122.214263
2030,1,14,12,9331.859529
2030,1,14,13,9268.185296
2030,1,14,14,9139.120947
2030,1,14,15,9172.244977
2030,1,14,16,9324.715481
2030,1,14,17,9396.925865
2030,1,14,18,9554.481356
2030,1,14,19,10250.741
2030,1,14,20,10890.40629
2030,1,14,21,10760.48251
2030,1,14,22,10157.6386
2030,1,14,23,9266.927478
2030,1,14,24,8033.081253
2030,1,15,1,7151.867179
2030,1,15,2,6651.731636
2030,1,15,3,6387.094514
2030,1,15,4,6299.720187
2030,1,15,5,6369.013568
2030,1,15,6,6921.416443
2030,1,15,7,7971.800307
2030,1,15,8,8619.564576
2030,1,15,9,8731.007539
2030,1,15,10,9008.01395
