D a t e , P r o d u c t i o n
2006-01-31,159.176
2006-02-28,5.91
2006-03-31,80.271
2006-04-30,106.561
2006-05-31,296.668
2006-06-30,341.324
2006-07-31,360.4
2006-08-31,348.02
2006-09-30,349.437
2006-10-31,0
2006-11-30,0
2006-12-31,0
2007-01-31,295.933
2007-02-28,174.219
2007-03-31,84.65
2007-04-30,351.132
2007-05-31,346.662
2007-06-30,286.48
2007-07-31,305.302
2007-08-31,309.447
2007-09-30,311.963
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,312.695
2008-02-29,264.195
2008-03-31,273.558
2008-04-30,151.069
2008-05-31,46.092
2008-06-30,254.959
2008-07-31,163.842
2008-08-31,164.35
2008-09-30,219.154
2008-10-31,199.975
2008-11-30,170.861
2008-12-31,139.997
2009-01-31,125.724
2009-02-28,110.901
2009-03-31,123.638
2009-04-30,117.11
2009-05-31,175.097
2009-06-30,119.344
2009-07-31,160.754
2009-08-31,112.235
2009-09-30,180.524
2009-10-31,236.269
2009-11-30,212.083
2009-12-31,156.879
2010-01-31,57.443
2010-02-28,119.535
2010-03-31,132.412
2010-04-30,131.892
2010-05-31,139.654
2010-06-30,109.6
2010-07-31,310.547
2010-08-31,325.664
2010-09-30,313.827
2010-10-31,326.397
2010-11-30,317.463
2010-12-31,314.954
2011-01-31,306.37
2011-02-28,257.178
2011-03-31,178.633
2011-04-30,146.467
2011-05-31,147.176
2011-06-30,143.946
2011-07-31,322.975
2011-08-31,322.392
2011-09-30,312.625
2011-10-31,316.626
2011-11-30,50.509
2011-12-31,255.88
2012-01-31,252.799
2012-02-29,140.039
2012-03-31,130.441
2012-04-30,123.732
2012-05-31,129.279
2012-06-30,86.017
2012-07-31,168.436
2012-08-31,236.713
2012-09-30,236.397
2012-10-31,216.537
2012-11-30,209.665
2012-12-31,217.932
2013-01-31,212.603
2013-02-28,193.573
2013-03-31,189.634
2013-04-30,99.369
2013-05-31,0.779
2013-06-30,94.109
2013-07-31,238.674
2013-08-31,253.615
2013-09-30,258.863
2013-10-31,236.151
2013-11-30,247.877
2013-12-31,0
2014-01-31,250.066
2014-02-28,229.13
2014-03-31,150.15
2014-04-30,117.156
2014-05-31,155.597
2014-06-30,252.311
2014-07-31,144.107
2014-08-31,148.52
2014-09-30,144.576
2014-10-31,148.085
2014-11-30,140.742
2014-12-31,142.728
2015-01-31,142.022
2015-02-28,128.781
2015-03-31,141.874
2015-04-30,73.544
2015-05-31,141.031
2015-06-30,143.1
2015-07-31,196.807
2015-08-31,289.269
2015-09-30,345.747
2015-10-31,329.418
2015-11-30,307.765
2015-12-31,294.592
