month,day,hour,capacity_factor
1,1,0.0,0.0063871
1,1,1.0,0.00960541
1,1,2.0,0.00829732
1,1,3.0,0.00348871
1,1,4.0,0.00217101
1,1,5.0,0.00218337
1,1,6.0,0.002197
1,1,7.0,0.0017101
1,1,8.0,0.0006158
1,1,9.0,6.802e-05
1,1,10.0,0.00021405
1,1,11.0,0.00091489
1,1,12.0,0.00318928
1,1,13.0,0.00620047
1,1,14.0,0.00848222
1,1,15.0,0.00886268
1,1,16.0,0.01900435
1,1,17.0,0.04145112
1,1,18.0,0.01932533
1,1,19.0,0.00315395
1,1,20.0,0.00221505
1,1,21.0,0.00147975
1,1,22.0,0.00086727
1,1,23.0,0.00090196
1,2,0.0,0.0039102
1,2,1.0,0.02721383
1,2,2.0,0.07282426
1,2,3.0,0.10609171
1,2,4.0,0.12575363
1,2,5.0,0.15785314
1,2,6.0,0.22743119
1,2,7.0,0.38122635
1,2,8.0,0.52930915
1,2,9.0,0.81886483
1,2,10.0,0.86029737
1,2,11.0,0.84192225
1,2,12.0,0.81670135
1,2,13.0,0.77847819
1,2,14.0,0.73953126
1,2,15.0,0.70794272
1,2,16.0,0.65922457
1,2,17.0,0.51152634
1,2,18.0,0.39251992
1,2,19.0,0.28975686
1,2,20.0,0.27943129
1,2,21.0,0.26962495
1,2,22.0,0.2643839
1,2,23.0,0.27797094
1,3,0.0,0.25908805
1,3,1.0,0.20785923
1,3,2.0,0.15626562
1,3,3.0,0.11697657
1,3,4.0,0.08906939
1,3,5.0,0.06922366
1,3,6.0,0.0504994
1,3,7.0,0.03479247
1,3,8.0,0.00914388
1,3,9.0,0.0012225
1,3,10.0,0.00011296
1,3,11.0,5.906e-05
1,3,12.0,0.00038592
1,3,13.0,0.00340299
1,3,14.0,0.0187159
1,3,15.0,0.03627352
1,3,16.0,0.06935916
1,3,17.0,0.14446049
1,3,18.0,0.19168902
1,3,19.0,0.16743889
1,3,20.0,0.14615223
1,3,21.0,0.18022594
1,3,22.0,0.23974578
1,3,23.0,0.28887385
1,4,0.0,0.3265549
1,4,1.0,0.36727515
1,4,2.0,0.42245524
1,4,3.0,0.47731938
1,4,4.0,0.51031516
1,4,5.0,0.50284307
1,4,6.0,0.48146576
1,4,7.0,0.44736361
1,4,8.0,0.27232323
1,4,9.0,0.18722127
1,4,10.0,0.29131977
1,4,11.0,0.2125484
1,4,12.0,0.08055246
1,4,13.0,0.02150316
1,4,14.0,0.01671203
1,4,15.0,0.02394037
1,4,16.0,0.06614072
1,4,17.0,0.14977321
1,4,18.0,0.21981333
1,4,19.0,0.2452518
1,4,20.0,0.33672394
1,4,21.0,0.37709335
1,4,22.0,0.4250386
1,4,23.0,0.47170616
1,5,0.0,0.47581428
1,5,1.0,0.46355577
1,5,2.0,0.48422365
