P l a n t a , 2 5 % , 5 0 % , 7 5 %
tingambato,870.911,2457.251,4861.398
santa_barbara,242.79,565.63,2367.1075
santa_rosa,8829.45,13432.3,24145.649
peunte_grande,955.489,1681.399,3150.757
luis_m_rojas,233.975,438.5925,981.92125
agua_prieta,15131.6,16979.35,22934.179
colimilla,1416.597,2908.055,6210.925
temascal,73092.43275,109700.6895,146662.5925
tamazulapan,405.5815,609.393,738.2495
colotipa,2377.7515,2633.381,2928.65075
la_venta,6167.0,12358.0,17645.0
el_caracol,35761.18625,56132.859,118916.71325
palazuelo_2,400.9875,444.928,467.67225
palazuelo_1,319.946,410.247,1139.583
mazatepec,28469.6895,38131.7155,64244.66725
el_encanto,4040.822,4946.1975,5932.15725
ixtaczoquitlan,895.62125,1023.7405,1124.979
tuxpango,9587.1245,12958.196,20622.40475
las_minas,6653.11775,7061.906,7729.231
chilapan,5382.435,9430.619,15382.5735
texolo,712.64825,991.759,1115.81525
falcon,1875.7495,3966.375,8271.378
la_amistad,3974.356,6688.3535,12152.4645
electroquimica,743.281,802.792,867.986
el_salto,4254.6475,6282.429,10618.54625
micos,139.997,180.524,286.48
colina,901.09375,1288.9905,1502.182
boquilla,7409.173,10678.574,12684.23
el_fuerte,16501.118,28249.159,38328.856
sanalona,1336.94975,3879.8565,7159.559
bacurato,6704.8015,25096.524,36246.524
huites,33709.68125,61913.01,97706.48925
humaya,4600.2515,16783.812,31748.9055
comedero,4868.93225,18384.7875,38640.99
zimapan,88649.45875,118648.121,166882.366
el_cajon,13844.75,55605.85,112240.152
la_yesca,18379.067,75375.602,125728.835
jumatan,415.18525,873.1205,1160.74175
solidaridad,54349.37425,74351.2675,142595.56225
macuzari,4072.274,6536.804,7600.4185
oviachic,2679.8355,6153.185,12435.83175
el_novillo,17312.4235,33348.724,53549.534
tirio,167.83,246.7125415,299.646
el_platanal,2986.5,3390.0,4237.5
san_pedro_puruas,250.294,489.642,663.1055
itzicuaro,195.18,323.166,351.2335
cupatitzio,29248.62375,33670.7725,36680.101
botello,4372.5795,5492.992,7625.5705
infernillo,158029.4525,226920.312,302162.55025
la_villita,67864.44525,94632.158,124578.30425
zumpinito,2987.679,3566.619,4057.914
el_cobano,17426.616,19572.371,22943.925
bartonilas,110.3905,180.6885,252.22675
cecilio_del_valle,4552.66,7637.231,11471.1945
schpoina,500.34525,676.241,972.44275
chicoasen,319601.989,501943.471,658652.38025
malpaso,206635.2455,314602.794,449402.5795
bombana,1780.717,2180.14,2495.356
angostura,143053.214,221381.228,306010.8665
penitas,107568.7575,145279.281,197296.839
