Ano,Tecnologia,Entidad Federativa,Region,Nodo,Estado,Capacidad Bruta (MW),Inversion
2026,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,En construccion,70.88,2845.277718
2027,Eolica,COAH,06-Noreste,12-Ro Escondido,Proyecto Nuevo,82.132899,2155.508211
2027,Eolica,COAH,06-Noreste,12-Ro Escondido,Proyecto Nuevo,42.321172,1110.683232
2027,Eolica,COAH,06-Noreste,16-Monterrey,En construccion,50,1706
2027,Eolica,NL,06-Noreste,16-Monterrey,Por iniciar obras,40,1364.8
2027,Eolica,TAMS,06-Noreste,15-Matamoros,Proyecto Nuevo,275,9458.064
2027,Eolica,COAH,06-Noreste,16-Monterrey,En construccion,300,10236
2027,Eolica,NL,06-Noreste,16-Monterrey,En construccion,250,8530
2027,Eolica,COAH,06-Noreste,12-Ro Escondido,Por iniciar obras,150,5118
2027,Geotermica,JAL,03-Occidental,23-Guadalajara,Proyecto Nuevo,27,715.338
2027,Geotermica,JAL,03-Occidental,23-Guadalajara,Proyecto Nuevo,35.99999985,955.0996374
2027,Solar fotovoltaica,CHIH,05-Norte,07-Juarez,Por iniciar obras,30,1791.3
2027,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Por iniciar obras,25,1492.75
2027,Solar fotovoltaica,DGO,05-Norte,10-Durango,En construccion,30,1791.3
2027,Solar fotovoltaica,DGO,05-Norte,10-Durango,Proyecto Nuevo,30,918.935826
2027,Solar fotovoltaica,DGO,05-Norte,10-Durango,Proyecto Nuevo,30,918.935826
2027,Solar Fotovoltaica,DGO,05-Norte,10-Durango,Proyecto Nuevo,30,918.935826
2027,Solar fotovoltaica,DGO,05-Norte,10-Durango,Proyecto Nuevo,15.982125,489.5515746
2027,Solar Fotovoltaica,SON,04-Noroeste,01-Hermosillo,Proyecto Nuevo,17.697775,542.1039829
2027,Solar fotovoltaica,CHIH,05-Norte,08-Moctezuma,En construccion,10,597.1
2027,Solar fotovoltaica,DGO,05-Norte,10-Durango,En construccion,30,1791.3
2027,Solar fotovoltaica,CHIH,05-Norte,08-Moctezuma,En construccion,30,1791.3
2027,Solar fotovoltaica,CHIH,05-Norte,08-Moctezuma,Por iniciar obras,30,1791.3
2027,Solar fotovoltaica,CHIH,05-Norte,07-Juarez,En construccion,30,1791.3
2027,Solar fotovoltaica,CHIH,05-Norte,07-Juarez,Por iniciar obras,30,1791.3
2027,Solar fotovoltaica,CHIH,05-Norte,08-Moctezuma,Por iniciar obras,30,1791.3
2027,Solar fotovoltaica,CHIH,05-Norte,08-Moctezuma,Por iniciar obras,30,1791.3
2027,Solar fotovoltaica,CHIH,05-Norte,08-Moctezuma,Por iniciar obras,6.2493738,373.1501096
2027,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Por iniciar obras,25,1492.75
2027,Solar fotovoltaica,DGO,05-Norte,10-Durango,Por iniciar obras,30,1791.3
2027,Solar fotovoltaica,DGO,05-Norte,10-Durango,Por iniciar obras,30,1791.3
2027,Solar fotovoltaica,CHIH,05-Norte,08-Moctezuma,Por iniciar obras,30,1791.3
2027,Solar fotovoltaica,CHIH,05-Norte,08-Moctezuma,Por iniciar obras,30,1791.3
2027,Solar fotovoltaica,CHIH,05-Norte,07-Juarez,Por iniciar obras,30,1791.3
2027,Solar fotovoltaica,CHIH,05-Norte,07-Juarez,En construccion,30,1791.3
2027,Solar fotovoltaica,CHIH,05-Norte,07-Juarez,Por iniciar obras,30,1791.3
2027,Solar fotovoltaica,CHIH,05-Norte,07-Juarez,En construccion,11.070726,661.0330495
2027,Solar fotovoltaica,DGO,05-Norte,10-Durango,En construccion,30,1791.3
2027,Solar fotovoltaica,CHIH,05-Norte,07-Juarez,En construccion,30,1791.3
2027,Solar fotovoltaica,DGO,05-Norte,10-Durango,Por iniciar obras,30,1791.3
2027,Solar fotovoltaica,DGO,05-Norte,10-Durango,Por iniciar obras,30,1791.3
2028,Nucleoelectrica,VER,02-Oriental,33-Veracruz,Proyecto Nuevo,1360.3,111225.7884
2028,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Proyecto Nuevo,23.721,726.6025576
2028,Solar fotovoltaica,BC,08-Baja California,48-Mexicali,En construccion,5.39999999,322.4339994
2028,Solar fotovoltaica,BC,08-Baja California,48-Mexicali,Por iniciar obras,30,1791.3
2028,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Por iniciar obras,30,1791.3
2028,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,En construccion,0.879,52.473148
2028,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,En construccion,10,597.1
2029,Nucleoelectrica,VER,02-Oriental,33-Veracruz,Proyecto Nuevo,1360.3,111225.7884
2029,Solar fotovoltaica,BC,08-Baja California,47-Ensenada,Proyecto Nuevo,60,1837.871652
2029,Solar fotovoltaica,BC,08-Baja California,48-Mexicali,En construccion,10.00000001,597.1000006
2029,Solar fotovoltaica,SON,08-Baja California,49-San Luis Ro Colorado,En construccion,30,1791.3
2030,Nucleoelectrica,VER,02-Oriental,33-Veracruz,Proyecto Nuevo,1360.3,111225.7884
2030,Solar fotovoltaica,BC,08-Baja California,47-Ensenada,Proyecto Nuevo,40,1225.247768
2030,Solar fotovoltaica,BC,08-Baja California,47-Ensenada,Por iniciar obras,30,1791.3
2030,Solar fotovoltaica,BC,08-Baja California,47-Ensenada,Por iniciar obras,30,1791.3
