Ano,Tecnologia,Entidad Federativa,Region,Nodo,Estado,Capacidad Bruta (MW),Inversion
2017,Solar fotovoltaica,CHIH,05-Norte,09-Chihuahua,Por iniciar obras,29.36,1753.0856
2017,Solar fotovoltaica,CHIH,05-Norte,07-Juarez,Por iniciar obras,29.36,1753.0856
2017,Solar fotovoltaica,YUC,07-Peninsular,42-Merida,Por iniciar obras,18,1074.78
2017,Solar fotovoltaica,GTO,03-Occidental,30-Queretaro,Por iniciar obras,30,1791.3
2017,Solar fotovoltaica,COAH,05-Norte,11-Laguna,Por iniciar obras,150,6021.327
2017,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Por iniciar obras,30,1791.3
2017,Solar fotovoltaica,CHIH,05-Norte,08-Moctezuma,En construccion,20,1194.2
2017,Solar fotovoltaica,ZAC,06-Noreste,17-Saltillo,Permiso de generacion en tramite ante la CRE,100,4014.218
2017,Solar fotovoltaica,BCS,10-Mulegé,53-Mulege,Por Licitar,4,160.347538
2018,Eolica,YUC,07-Peninsular,42-Merida,Proyecto adjudicado en Subasta de LP (SLP-1-2015),30,1031.7888
2018,Eolica,YUC,07-Peninsular,42-Merida,Proyecto adjudicado en Subasta de LP (SLP-1-2015),30,1023.6
2018,Eolica,YUC,07-Peninsular,42-Merida,Proyecto adjudicado en Subasta de LP (SLP-1-2015),76,2613.86496
2018,Eolica,OAX,02-Oriental,40-Ixtepec,En construccion,396,13511.52
2018,Eolica,YUC,07-Peninsular,42-Merida,Proyecto adjudicado en Subasta de LP (SLP-1-2015),90,3152.688
2018,Eolica,TAMS,06-Noreste,14-Reynosa,Proyecto adjudicado en Subasta de LP (SLP-1-2015),168,5778.01728
2018,Eolica,TAMS,06-Noreste,18-Valles,Proyecto con avance en el proceso de interconexion ante CENACE,95.7,3291.406272
2018,Eolica,JAL,03-Occidental,24-Aguascalientes,Permiso de generacion en tramite ante la CRE,200,6878.592
2018,Geotermica,MICH,03-Occidental,28-Carapan,En construccion,26.62,1046.892892
2018,Hidroelectrica,OAX,02-Oriental,36-Temascal,Proyecto de rehabilitacion y modernizacion,0,405.3888
2018,Hidroelectrica,CHIS,02-Oriental,39-Grijalva,En construccion,241.21,6879.992127
2018,Solar fotovoltaica,AGS,03-Occidental,24-Aguascalientes,Proyecto adjudicado en Subasta de LP (SLP-1-2015),63,2528.95734
2018,Solar fotovoltaica,GTO,03-Occidental,30-Queretaro,Proyecto adjudicado en Subasta de LP (SLP-1-2015),207,8309.43126
2018,Solar fotovoltaica,COAH,05-Norte,11-Laguna,Proyecto adjudicado en Subasta de LP (SLP-1-2015),250,10035.545
2018,Solar fotovoltaica,COAH,05-Norte,11-Laguna,Proyecto adjudicado en Subasta de LP (SLP-1-2015),330,13246.9194
2018,Solar fotovoltaica,COAH,06-Noreste,16-Monterrey,Permiso de generacion en tramite ante la CRE,125,5017.7725
