Tecnologia,Costos fijos OM (USD/MW-ano),Costos variables OM (USD/MW-hora),Costo unitario de inversion (USD/MW)
Carboelectrica,33.863,2.46,1425
Eolica,24.963,0,1600
Geotermica,87.118,0.06,1821
Hidroelectrica,23.97139141,0,1752.063177
Nucleoelectrica,98,2.25,3983
Solar fotovoltaica,19,0,1346
Termosolar,19,0,1346
