D a t e , P r o d u c t i o n
2006-01-31,546.529
2006-02-28,470.871
2006-03-31,439.015
2006-04-30,392.227
2006-05-31,289.69
2006-06-30,1821.765
2006-07-31,1849.639
2006-08-31,5407.269
2006-09-30,2943.823
2006-10-31,3318.471
2006-11-30,979.572
2006-12-31,805.359
2007-01-31,876.04
2007-02-28,950.702
2007-03-31,863.098
2007-04-30,921.875
2007-05-31,376.299
2007-06-30,1489.201
2007-07-31,4443.26
2007-08-31,6988.69
2007-09-30,5549.868
2007-10-31,1938.936
2007-11-30,650.485
2007-12-31,1355.323
2008-01-31,777.244
2008-02-29,1317.072
2008-03-31,953.307
2008-04-30,877.563
2008-05-31,658.508
2008-06-30,4324.172
2008-07-31,6068.32
2008-08-31,5636.521
2008-09-30,5733.084
2008-10-31,3547.839
2008-11-30,860.112
2008-12-31,1221.478
2009-01-31,1460.398
2009-02-28,1403.655
2009-03-31,1553.975
2009-04-30,1565.921
2009-05-31,946.72
2009-06-30,1729.183
2009-07-31,2599.25
2009-08-31,3166.685
2009-09-30,2918.806
2009-10-31,1673.435
2009-11-30,638.115
2009-12-31,871.062
2010-01-31,1326.006
2010-02-28,2737.625
2010-03-31,1873.531
2010-04-30,1367.817
2010-05-31,885.995
2010-06-30,2449.925
2010-07-31,6751.481
2010-08-31,5602.674
2010-09-30,5002.387
2010-10-31,1224.465
2010-11-30,285.708
2010-12-31,905.905
2011-01-31,1505.196
2011-02-28,1622.665
2011-03-31,1831.72
2011-04-30,1975.072
2011-05-31,1043.284
2011-06-30,1938.238
2011-07-31,4983.473
2011-08-31,5088.996
2011-09-30,2518.615
2011-10-31,1648.548
2011-11-30,335.483
2011-12-31,737.665
2012-01-31,831.242
2012-02-29,2663.958
2012-03-31,1714.251
2012-04-30,1200.573
2012-05-31,957.671
2012-06-30,2673.913
2012-07-31,5749.012
2012-08-31,3692.309
2012-09-30,3345.875
2012-10-31,1349.898
2012-11-30,760.562
2012-12-31,0
2013-01-31,1864.571
2013-02-28,1288.177
2013-03-31,1360.848
2013-04-30,893.959
2013-05-31,712.778
2013-06-30,2711.742
2013-07-31,3193.564
2013-08-31,3134.829
2013-09-30,6041.689
2013-10-31,3196.55
2013-11-30,2142.316
2013-12-31,1175.685
2014-01-31,2152.271
2014-02-28,1273.244
2014-03-31,1354.875
2014-04-30,1512.164
2014-05-31,641.102
2014-06-30,2769.481
2014-07-31,3891.409
2014-08-31,3273.204
2014-09-30,4657.944
2014-10-31,3809.778
2014-11-30,2349.38
2014-12-31,1681.399
2015-01-31,1531.079
2015-02-28,1714.251
2015-03-31,2596.264
2015-04-30,1754.071
2015-05-31,1059.212
2015-06-30,4404.092
2015-07-31,6464.777
2015-08-31,4784.373
2015-09-30,4483.732
2015-10-31,2957.63
2015-11-30,2279.695
2015-12-31,1003.464
