ID_old,ID,LAT,LON
1063,233,23.5,-110
1069,234,23.5,-106
1070,235,23.5,-105.3333
1071,236,23.5,-104.6667
1072,237,23.5,-104
1073,238,23.5,-103.3333
1074,239,23.5,-102.6667
1075,240,23.5,-102
1076,241,23.5,-101.3333
1077,242,23.5,-100.6667
1078,243,23.5,-100
1079,244,23.5,-99.3333
1080,245,23.5,-98.6667
1081,246,23.5,-98
1112,247,24,-110.6667
1113,248,24,-110
1118,249,24,-106.6667
1119,250,24,-106
1120,251,24,-105.3333
1121,252,24,-104.6667
1122,253,24,-104
1123,254,24,-103.3333
1124,255,24,-102.6667
1125,256,24,-102
1126,257,24,-101.3333
1127,258,24,-100.6667
1128,259,24,-100
1129,260,24,-99.3333
1130,261,24,-98.6667
1131,262,24,-98
1161,263,24.5,-111.3333
1167,264,24.5,-107.3333
1168,265,24.5,-106.6667
1169,266,24.5,-106
1170,267,24.5,-105.3333
1171,268,24.5,-104.6667
1172,269,24.5,-104
1173,270,24.5,-103.3333
1174,271,24.5,-102.6667
1175,272,24.5,-102
1176,273,24.5,-101.3333
1177,274,24.5,-100.6667
1178,275,24.5,-100
1179,276,24.5,-99.3333
1180,277,24.5,-98.6667
1181,278,24.5,-98
1210,279,25,-112
1211,280,25,-111.3333
1212,281,25,-110.6667
1213,282,25,-110
1216,283,25,-108
1217,284,25,-107.3333
1218,285,25,-106.6667
1219,286,25,-106
1220,287,25,-105.3333
1221,288,25,-104.6667
1222,289,25,-104
1223,290,25,-103.3333
1224,291,25,-102.6667
1225,292,25,-102
1226,293,25,-101.3333
1227,294,25,-100.6667
1228,295,25,-100
1229,296,25,-99.3333
1230,297,25,-98.6667
1231,298,25,-98
1260,299,25.5,-112
1261,300,25.5,-111.3333
1265,301,25.5,-108.6667
1266,302,25.5,-108
1267,303,25.5,-107.3333
1268,304,25.5,-106.6667
1269,305,25.5,-106
1270,306,25.5,-105.3333
1271,307,25.5,-104.6667
1272,308,25.5,-104
1273,309,25.5,-103.3333
1274,310,25.5,-102.6667
1275,311,25.5,-102
1276,312,25.5,-101.3333
1277,313,25.5,-100.6667
1278,314,25.5,-100
1279,315,25.5,-99.3333
1280,316,25.5,-98.6667
1281,317,25.5,-98
1282,318,25.5,-97.3333
1310,319,26,-112
1314,320,26,-109.3333
1315,321,26,-108.6667
1316,322,26,-108
1317,323,26,-107.3333
1318,324,26,-106.6667
1319,325,26,-106
1320,326,26,-105.3333
1321,327,26,-104.6667
1322,328,26,-104
1323,329,26,-103.3333
1324,330,26,-102.6667
1325,331,26,-102
1326,332,26,-101.3333
1327,333,26,-100.6667
1328,334,26,-100
1329,335,26,-99.3333
1330,336,26,-98.6667
1331,337,26,-98
1359,338,26.5,-112.6667
1360,339,26.5,-112
1365,340,26.5,-108.6667
1366,341,26.5,-108
