	upstream_co2_intensity	co2_intensity	source
fuel_oil 	0	0.788	chile
uranium 	0	0	chile
diesel	0	0.073164449	https://www.eia.gov/tools/faqs/faq.cfm?id=73&t=11
natural_gas	0	0.053	chile
coal 	0	0.09552	chile
