timepoint_id	timestamp	timeseries
1	2016012808	2016_01P
2	2016012815	2016_01P
3	2016012822	2016_01P
4	2016012905	2016_01P
5	2016022508	2016_02P
6	2016022515	2016_02P
7	2016022522	2016_02P
8	2016022605	2016_02P
