LOAD_ZONE	TIMEPOINT	zone_demand_mw
22-tepic	8	301.39006820000003
23-guadalajara	1	1673.181435
23-guadalajara	2	1859.483452
23-guadalajara	3	1751.0588100000002
23-guadalajara	4	1467.403522
23-guadalajara	5	1729.4046050000002
23-guadalajara	6	1938.5346
23-guadalajara	7	1841.2070350000001
23-guadalajara	8	1519.193204
24-aguascalientes	1	1143.422747
24-aguascalientes	2	1270.738266
24-aguascalientes	3	1196.642774
24-aguascalientes	4	1002.797742
24-aguascalientes	5	1181.8446720000002
24-aguascalientes	6	1324.76043
24-aguascalientes	7	1258.248485
24-aguascalientes	8	1038.189899
25-san_luis_potosi	1	641.1651498
25-san_luis_potosi	2	712.5563080000001
25-san_luis_potosi	3	671.0078539
25-san_luis_potosi	4	562.3108046
25-san_luis_potosi	5	662.7099365
25-san_luis_potosi	6	742.8488035
25-san_luis_potosi	7	705.5527629
25-san_luis_potosi	8	582.1566732999999
26-salamanca	1	688.3175291
26-salamanca	2	764.958915
26-salamanca	3	720.3549167
26-salamanca	4	603.6641007999999
26-salamanca	5	711.4467562000001
26-salamanca	6	797.4791723
26-salamanca	7	757.4403172
26-salamanca	8	624.9694685
27-manzanillo	1	293.61712989999995
27-manzanillo	2	326.31021519999996
27-manzanillo	3	307.2833891
27-manzanillo	4	257.5063298
27-manzanillo	5	303.48341539999996
27-manzanillo	6	340.1824533
27-manzanillo	7	323.10299039999995
27-manzanillo	8	266.59460759999996
28-carapan	1	478.6876931
28-carapan	2	531.9876406000001
28-carapan	3	500.9679671
28-carapan	4	419.8158024
28-carapan	5	494.7728222
28-carapan	6	554.6037244
28-carapan	7	526.7588616
28-carapan	8	434.6325358
29-lazaro_cardenas	1	492.14151660000005
29-lazaro_cardenas	2	546.9394933
29-lazaro_cardenas	3	515.047992
29-lazaro_cardenas	4	431.61499389999994
29-lazaro_cardenas	5	508.67872860000006
29-lazaro_cardenas	6	570.1912166000001
29-lazaro_cardenas	7	541.5637561000001
29-lazaro_cardenas	8	446.8481611
30-queretaro	1	1402.1067560000001
30-queretaro	2	1558.225699
30-queretaro	3	1467.367099
30-queretaro	4	1229.667237
30-queretaro	5	1449.221125
30-queretaro	6	1624.46965
30-queretaro	7	1542.910272
30-queretaro	8	1273.066394
31-central	1	6321.021401
31-central	2	6986.879647
