GENERATION_PROJECT	timepoint	gen_max_capacity_factor
ce_aut_45	6	0.28071751
ce_aut_45	7	0.05641317
ce_aut_45	8	0.89798737
ce_aut_46	1	0.91882793
ce_aut_46	2	0.88413937
ce_aut_46	3	0.73193664
ce_aut_46	4	0.56570249
ce_aut_46	5	0.64382216
ce_aut_46	6	0.28071751
ce_aut_46	7	0.05641317
ce_aut_46	8	0.89798737
ce_aut_47	1	0.91882793
ce_aut_47	2	0.88413937
ce_aut_47	3	0.73193664
ce_aut_47	4	0.56570249
ce_aut_47	5	0.64382216
ce_aut_47	6	0.28071751
ce_aut_47	7	0.05641317
ce_aut_47	8	0.89798737
ce_aut_48	1	0.91882793
ce_aut_48	2	0.88413937
ce_aut_48	3	0.73193664
ce_aut_48	4	0.56570249
ce_aut_48	5	0.64382216
ce_aut_48	6	0.28071751
ce_aut_48	7	0.05641317
ce_aut_48	8	0.89798737
ce_aut_49	1	0.5115308
ce_aut_49	2	0.44176789
ce_aut_49	3	0.11949569999999998
ce_aut_49	4	0.0951287
ce_aut_49	5	0.047717699999999995
ce_aut_49	6	0.03472516
ce_aut_49	7	0.08580843
ce_aut_49	8	0.07160996
ce_aut_53	1	0.91882793
ce_aut_53	2	0.88413937
ce_aut_53	3	0.73193664
ce_aut_53	4	0.56570249
ce_aut_53	5	0.64382216
ce_aut_53	6	0.28071751
ce_aut_53	7	0.05641317
ce_aut_53	8	0.89798737
ce_aut_54	1	0.5115308
ce_aut_54	2	0.44176789
ce_aut_54	3	0.11949569999999998
ce_aut_54	4	0.0951287
ce_aut_54	5	0.047717699999999995
ce_aut_54	6	0.03472516
ce_aut_54	7	0.08580843
ce_aut_54	8	0.07160996
ce_aut_55	1	0.5115308
ce_aut_55	2	0.44176789
ce_aut_55	3	0.11949569999999998
ce_aut_55	4	0.0951287
ce_aut_55	5	0.047717699999999995
ce_aut_55	6	0.03472516
ce_aut_55	7	0.08580843
ce_aut_55	8	0.07160996
ce_aut_56	1	0.5115308
ce_aut_56	2	0.44176789
ce_aut_56	3	0.11949569999999998
ce_aut_56	4	0.0951287
ce_aut_56	5	0.047717699999999995
ce_aut_56	6	0.03472516
ce_aut_56	7	0.08580843
ce_aut_56	8	0.07160996
ce_aut_58	1	0.08566628
ce_aut_58	2	0.06596739
ce_aut_58	3	0.06967107
ce_aut_58	4	0.00916279
ce_aut_58	5	0.06867964
ce_aut_58	6	0.10858786
ce_aut_58	7	0.23379427
ce_aut_58	8	0.06086509
ce_aut_61	1	0.08566628
ce_aut_61	2	0.06596739
ce_aut_61	3	0.06967107
ce_aut_61	4	0.00916279
ce_aut_61	5	0.06867964
ce_aut_61	6	0.10858786
ce_aut_61	7	0.23379427
ce_aut_61	8	0.06086509
ce_aut_71	1	0.0097634
ce_aut_71	2	0.12467013
ce_aut_71	3	0.22521561
ce_aut_71	4	0.89846615
ce_aut_71	5	0.00575291
ce_aut_71	6	0.01489006
ce_aut_71	7	0.00825245
ce_aut_71	8	0.01773031
ce_aut_72	1	0.44700431
ce_aut_72	2	0.56030285
ce_aut_72	3	0.01696695
ce_aut_72	4	0.05275899
ce_aut_72	5	0.12145176
ce_aut_72	6	0.35916757
ce_aut_72	7	0.17077669
ce_aut_72	8	0.04812619
ce_aut_73	1	0.00011974
ce_aut_73	2	0.15398154
ce_aut_73	3	0.00191746
ce_aut_73	4	0.00843703
ce_aut_73	5	0.13050568
ce_aut_73	6	0.00023578
ce_aut_73	7	0.09674762
ce_aut_73	8	0.06143147
ce_aut_74	1	0.08566628
ce_aut_74	2	0.06596739
ce_aut_74	3	0.06967107
ce_aut_74	4	0.00916279
ce_aut_74	5	0.06867964
ce_aut_74	6	0.10858786
ce_aut_74	7	0.23379427
ce_aut_74	8	0.06086509
ce_aut_75	1	0.91882793
ce_aut_75	2	0.88413937
ce_aut_75	3	0.73193664
ce_aut_75	4	0.56570249
ce_aut_75	5	0.64382216
ce_aut_75	6	0.28071751
ce_aut_75	7	0.05641317
ce_aut_75	8	0.89798737
ce_cfe_02	1	0.08566628
ce_cfe_02	2	0.06596739
ce_cfe_02	3	0.06967107
ce_cfe_02	4	0.00916279
ce_cfe_02	5	0.06867964
ce_cfe_02	6	0.10858786
ce_cfe_02	7	0.23379427
ce_cfe_02	8	0.06086509
ce_cfe_03	1	0.08566628
ce_cfe_03	2	0.06596739
ce_cfe_03	3	0.06967107
ce_cfe_03	4	0.00916279
ce_cfe_03	5	0.06867964
ce_cfe_03	6	0.10858786
ce_cfe_03	7	0.23379427
ce_cfe_03	8	0.06086509
ce_gen_01	1	0.44700431
ce_gen_01	2	0.56030285
ce_gen_01	3	0.01696695
ce_gen_01	4	0.05275899
ce_gen_01	5	0.12145176
ce_gen_01	6	0.35916757
ce_gen_01	7	0.17077669
ce_gen_01	8	0.04812619
ce_gen_02	1	0.48421923
ce_gen_02	2	0.51003154
ce_gen_02	3	0.55571467
ce_gen_02	4	0.40383143
ce_gen_02	5	0.04281121
ce_gen_02	6	0.16629128
ce_gen_02	7	0.03493624
ce_gen_02	8	0.01024935
ce_otr_01	1	0.23071821
ce_otr_01	2	0.21113762
ce_otr_01	3	0.00738189
ce_otr_01	4	0.00334448
ce_otr_01	5	0.0977125
ce_otr_01	6	0.38949029999999996
ce_otr_01	7	0.55441483
ce_otr_01	8	0.09513627
ce_otr_02	1	0.21153848
ce_otr_02	2	0.36694483
ce_otr_02	3	0.07342307
ce_otr_02	4	0.02141547
ce_otr_02	5	0.00245085
ce_otr_02	6	0.12201209
ce_otr_02	7	0.00035689
ce_otr_02	8	0.0
ce_otr_05	1	0.21153848
ce_otr_05	2	0.36694483
ce_otr_05	3	0.07342307
ce_otr_05	4	0.02141547
ce_otr_05	5	0.00245085
ce_otr_05	6	0.12201209
ce_otr_05	7	0.00035689
ce_otr_05	8	0.0
ce_otr_06	1	0.44700431
ce_otr_06	2	0.56030285
ce_otr_06	3	0.01696695
ce_otr_06	4	0.05275899
ce_otr_06	5	0.12145176
ce_otr_06	6	0.35916757
ce_otr_06	7	0.17077669
ce_otr_06	8	0.04812619
ce_otr_07	1	0.08566628
ce_otr_07	2	0.06596739
ce_otr_07	3	0.06967107
ce_otr_07	4	0.00916279
ce_otr_07	5	0.06867964
ce_otr_07	6	0.10858786
ce_otr_07	7	0.23379427
ce_otr_07	8	0.06086509
ce_otr_08	1	0.23071821
ce_otr_08	2	0.21113762
ce_otr_08	3	0.00738189
ce_otr_08	4	0.00334448
ce_otr_08	5	0.0977125
ce_otr_08	6	0.38949029999999996
ce_otr_08	7	0.55441483
ce_otr_08	8	0.09513627
ce_otr_09	1	0.08566628
ce_otr_09	2	0.06596739
ce_otr_09	3	0.06967107
ce_otr_09	4	0.00916279
ce_otr_09	5	0.06867964
ce_otr_09	6	0.10858786
ce_otr_09	7	0.23379427
ce_otr_09	8	0.06086509
ce_otr_10	1	0.04828748
ce_otr_10	2	0.00876122
ce_otr_10	3	0.17414863
ce_otr_10	4	0.02042674
ce_otr_10	5	0.05630867
ce_otr_10	6	0.03703703
ce_otr_10	7	0.08984854
ce_otr_10	8	0.05688202
ce_pie_01	1	0.01630924
ce_pie_01	2	0.04464219
ce_pie_01	3	0.09836349999999999
ce_pie_01	4	0.01293935
ce_pie_01	5	0.01285194
ce_pie_01	6	0.00081039
ce_pie_01	7	0.00520229
ce_pie_01	8	0.00057756
ce_pie_02	1	0.01630924
ce_pie_02	2	0.04464219
ce_pie_02	3	0.09836349999999999
ce_pie_02	4	0.01293935
ce_pie_02	5	0.01285194
ce_pie_02	6	0.00081039
ce_pie_02	7	0.00520229
ce_pie_02	8	0.00057756
ce_pie_03	1	0.01630924
ce_pie_03	2	0.04464219
ce_pie_03	3	0.09836349999999999
ce_pie_03	4	0.01293935
ce_pie_03	5	0.01285194
ce_pie_03	6	0.00081039
ce_pie_03	7	0.00520229
ce_pie_03	8	0.00057756
ce_pp_01	1	0.00308558
ce_pp_01	2	0.01796662
ce_pp_01	3	0.00965682
ce_pp_01	4	0.00043277
ce_pp_01	5	0.02619921
ce_pp_01	6	0.21982941
ce_pp_01	7	0.07106306
ce_pp_01	8	0.01726642
ce_pp_03	1	0.00012122
ce_pp_03	2	0.03521684
ce_pp_03	3	0.006684300000000001
ce_pp_03	4	0.01082159
ce_pp_03	5	0.03423045
ce_pp_03	6	0.24869392
ce_pp_03	7	0.08577916
ce_pp_03	8	0.01934532
cerro_prieto_fotovoltaica	1	0.0
cerro_prieto_fotovoltaica	2	0.338054570313
cerro_prieto_fotovoltaica	3	0.0
cerro_prieto_fotovoltaica	4	0.0
cerro_prieto_fotovoltaica	5	0.0318439160156
cerro_prieto_fotovoltaica	6	0.689806640625
cerro_prieto_fotovoltaica	7	0.0
cerro_prieto_fotovoltaica	8	0.0
compania_eolica_de_tamaulipas	1	0.70381925
compania_eolica_de_tamaulipas	2	0.73033158
compania_eolica_de_tamaulipas	3	0.51180761
compania_eolica_de_tamaulipas	4	0.25438532
compania_eolica_de_tamaulipas	5	0.31625636
compania_eolica_de_tamaulipas	6	0.30731545
compania_eolica_de_tamaulipas	7	0.01147347
compania_eolica_de_tamaulipas	8	0.85681676
concunul	1	0.373724960938
concunul	2	0.439884960938
concunul	3	0.0
concunul	4	0.0
concunul	5	0.386599257812
concunul	6	0.432669335938
concunul	7	0.0
concunul	8	0.0
coppel	1	0.012080139160200001
coppel	2	0.510594609375
coppel	3	0.0
coppel	4	0.0
coppel	5	0.09767765625
coppel	6	0.709098515625
coppel	7	0.0
coppel	8	0.0
cs_aut_01	1	0.268794296875
cs_aut_01	2	0.5678930859369999
cs_aut_01	3	0.0
cs_aut_01	4	0.0
cs_aut_01	5	0.296136914062
cs_aut_01	6	0.597337734375
cs_aut_01	7	0.0
cs_aut_01	8	0.0
cs_aut_10	1	0.06948765625
cs_aut_10	2	0.612968476562
cs_aut_10	3	0.0
cs_aut_10	4	0.0
cs_aut_10	5	0.137112490234
cs_aut_10	6	0.7146553125
cs_aut_10	7	0.0
cs_aut_10	8	0.0
cs_aut_19	1	0.06948765625
cs_aut_19	2	0.612968476562
cs_aut_19	3	0.0
cs_aut_19	4	0.0
cs_aut_19	5	0.137112490234
cs_aut_19	6	0.7146553125
cs_aut_19	7	0.0
cs_aut_19	8	0.0
cs_cfe_02	1	0.00454621887207
cs_cfe_02	2	0.51930359375
cs_cfe_02	3	0.0
cs_cfe_02	4	0.0
cs_cfe_02	5	0.0885766796875
cs_cfe_02	6	0.617545898437
cs_cfe_02	7	0.0
cs_cfe_02	8	0.0
cs_gen_01	1	0.08081977539060001
cs_gen_01	2	0.487204765625
cs_gen_01	3	0.0
cs_gen_01	4	0.0
cs_gen_01	5	0.165315019531
cs_gen_01	6	0.711817578125
cs_gen_01	7	0.0
cs_gen_01	8	0.0
cs_otr_01	1	0.402166796875
cs_otr_01	2	0.426548789062
cs_otr_01	3	0.0
cs_otr_01	4	0.0
cs_otr_01	5	0.402573945313
cs_otr_01	6	0.433636914062
cs_otr_01	7	0.0
cs_otr_01	8	0.0
cs_otr_02	1	0.08081977539060001
cs_otr_02	2	0.487204765625
cs_otr_02	3	0.0
cs_otr_02	4	0.0
cs_otr_02	5	0.165315019531
cs_otr_02	6	0.711817578125
cs_otr_02	7	0.0
cs_otr_02	8	0.0
cs_otr_03	1	0.193223222656
cs_otr_03	2	0.493933554687
cs_otr_03	3	0.0
cs_otr_03	4	0.0
cs_otr_03	5	0.272230507813
cs_otr_03	6	0.664165703125
cs_otr_03	7	0.0
cs_otr_03	8	0.0
cs_otr_04	1	0.402166796875
cs_otr_04	2	0.426548789062
cs_otr_04	3	0.0
cs_otr_04	4	0.0
cs_otr_04	5	0.402573945313
cs_otr_04	6	0.433636914062
cs_otr_04	7	0.0
cs_otr_04	8	0.0
cs_otr_05	1	0.166579550781
cs_otr_05	2	0.537338671875
cs_otr_05	3	0.0
cs_otr_05	4	0.0
cs_otr_05	5	0.181569140625
cs_otr_05	6	0.576194101562
cs_otr_05	7	0.0
cs_otr_05	8	0.0
cs_otr_06	1	0.193223222656
cs_otr_06	2	0.493933554687
cs_otr_06	3	0.0
