D a t e , P r o d u c t i o n
2006-01-31,304.639
2006-02-28,362.449
2006-03-31,303.586
2006-04-30,228.499
2006-05-31,254.935
2006-06-30,455.593
2006-07-31,637.983
2006-08-31,951.423
2006-09-30,907.559
2006-10-31,1042.947
2006-11-30,1022.842
2006-12-31,775.052
2007-01-31,581.183
2007-02-28,489.95
2007-03-31,330.041
2007-04-30,181.798
2007-05-31,237.641
2007-06-30,409.536
2007-07-31,626.042
2007-08-31,696.923
2007-09-30,419.965
2007-10-31,800.341
2007-11-30,658.916
2007-12-31,544.013
2008-01-31,432.181
2008-02-29,307.447
2008-03-31,240.728
2008-04-30,192.215
2008-05-31,187.51
2008-06-30,254.189
2008-07-31,637.749
2008-08-31,712.064
2008-09-30,679.504
2008-10-31,921.321
2008-11-30,526.832
2008-12-31,178.904
2009-01-31,355.158
2009-02-28,257.939
2009-03-31,153.369
2009-04-30,157.355698
2009-05-31,182.785
2009-06-30,229.11
2009-07-31,559.344
2009-08-31,651.415
2009-09-30,965.143
2009-10-31,884.123
2009-11-30,609.456
2009-12-31,403.907
2010-01-31,342.826
2010-02-28,787.97
2010-03-31,630.299
2010-04-30,297.142
2010-05-31,208.974
2010-06-30,251.334
2010-07-31,799.724
2010-08-31,983.048
2010-09-30,961.618
2010-10-31,1104.532
2010-11-30,852.111
2010-12-31,645.148
2011-01-31,506.976
2011-02-28,344.829
2011-03-31,318.153
2011-04-30,40.675
2011-05-31,190.446
2011-06-30,230.542
2011-07-31,765.328
2011-08-31,1047.937
2011-09-30,1011.285
2011-10-31,959.29
2011-11-30,599.517
2011-12-31,501.385
2012-01-31,387.515
2012-02-29,247.174
2012-03-31,104.151
2012-04-30,96.616
2012-05-31,128.104
2012-06-30,215.203
2012-07-31,606.142
2012-08-31,791.82
2012-09-30,983.125
2012-10-31,779.63
2012-11-30,568.43
2012-12-31,214.39
2013-01-31,351.897
2013-02-28,243.826
2013-03-31,156.376
2013-04-30,152.77
2013-05-31,102.628
2013-06-30,196.401
2013-07-31,489.334
2013-08-31,675.674
2013-09-30,760.473
2013-10-31,1079.161
2013-11-30,582.575
2013-12-31,733.321
2014-01-31,605.983
2014-02-28,320.424
2014-03-31,289.959
2014-04-30,149.935
2014-05-31,229.596
2014-06-30,478.756
2014-07-31,649.158
2014-08-31,600.088
2014-09-30,653.28
2014-10-31,906.687
2014-11-30,563.834
2014-12-31,554.794
2015-01-31,434.465
2015-02-28,362.047
2015-03-31,562.954
2015-04-30,294.494
2015-05-31,88.63
2015-06-30,229.34
2015-07-31,525.948
2015-08-31,542.354
2015-09-30,656.202
2015-10-31,454.592
2015-11-30,396.901
2015-12-31,561.261
