Tecnology,Fixed costs OM (USD/MW-year),Variable costs OM (USD/MW-hour),Unitary investment cost (USD/MW)
Eolic,24.963,0,1600
Geotermic,87.118,0.06,1821
Hydroelectric,23.97139141,0,1752.063177
Nuclear,98,2.25,3983
Solar,19,0,1346
Termosolar,19,0,1346
