name_switch,name_prodesen,load_zone,load_area,capacity_factor
bacurato,bacurato,04-noroeste,04-los_mochis,88.366947463768113
bacurato,bacurato,04-noroeste,04-los_mochis,74.342946859903378
bacurato,bacurato,04-noroeste,04-los_mochis,35.105070954106274
bacurato,bacurato,04-noroeste,04-los_mochis,7.9033544685990336
bacurato,bacurato,04-noroeste,04-los_mochis,0.49499547101449276
bacurato,bacurato,04-noroeste,04-los_mochis,30.057418478260868
bacurato,bacurato,04-noroeste,04-los_mochis,73.782084842995161
bacurato,bacurato,04-noroeste,04-los_mochis,46.30593599033817
bacurato,bacurato,04-noroeste,04-los_mochis,0.0
bacurato,bacurato,04-noroeste,04-los_mochis,0.0
bombana,bombana,02-oriental,39-grijalva,67.545907548770145
bombana,bombana,02-oriental,39-grijalva,56.641804495335023
bombana,bombana,02-oriental,39-grijalva,55.319126378286676
bombana,bombana,02-oriental,39-grijalva,48.370944656488547
bombana,bombana,02-oriental,39-grijalva,45.665023324851568
bombana,bombana,02-oriental,39-grijalva,64.77984520780322
bombana,bombana,02-oriental,39-grijalva,71.396522476675145
bombana,bombana,02-oriental,39-grijalva,73.250980703986428
bombana,bombana,02-oriental,39-grijalva,60.348043893129777
bombana,bombana,02-oriental,39-grijalva,64.640426208651391
bombana,bombana,02-oriental,39-grijalva,68.940336089906708
bombana,bombana,02-oriental,39-grijalva,72.180555555555557
bombana,bombana,02-oriental,39-grijalva,65.357585877862604
bombana,bombana,02-oriental,39-grijalva,42.990060432569969
bombana,bombana,02-oriental,39-grijalva,57.640240670059363
bombana,bombana,02-oriental,39-grijalva,59.714721162001695
bombana,bombana,02-oriental,39-grijalva,57.295589482612371
bombana,bombana,02-oriental,39-grijalva,59.814912001696349
bombana,bombana,02-oriental,39-grijalva,59.596294529262082
bombana,bombana,02-oriental,39-grijalva,65.370229007633583
bombana,bombana,02-oriental,39-grijalva,64.168601569126366
bombana,bombana,02-oriental,39-grijalva,70.28368850720949
bombana,bombana,02-oriental,39-grijalva,65.748939779474128
bombana,bombana,02-oriental,39-grijalva,65.97757633587787
bombana,bombana,02-oriental,39-grijalva,66.116332697201003
bombana,bombana,02-oriental,39-grijalva,48.464509117896519
bombana,bombana,02-oriental,39-grijalva,48.73351357082273
bombana,bombana,02-oriental,39-grijalva,49.651452502120442
bombana,bombana,02-oriental,39-grijalva,43.839800678541131
bombana,bombana,02-oriental,39-grijalva,59.192085453774382
bombana,bombana,02-oriental,39-grijalva,68.946909457167081
bombana,bombana,02-oriental,39-grijalva,57.922179813401186
bombana,bombana,02-oriental,39-grijalva,73.390611747243412
bombana,bombana,02-oriental,39-grijalva,75.33171649703138
bombana,bombana,02-oriental,39-grijalva,69.851860687022892
bombana,bombana,02-oriental,39-grijalva,64.853477523324841
boquilla,boquilla,05-norte,09-chihuahua,35.571155555555563
boquilla,boquilla,05-norte,09-chihuahua,53.53617222222222
boquilla,boquilla,05-norte,09-chihuahua,50.020322222222227
boquilla,boquilla,05-norte,09-chihuahua,41.162072222222221
boquilla,boquilla,05-norte,09-chihuahua,34.230272222222226
boquilla,boquilla,05-norte,09-chihuahua,19.613616666666665
boquilla,boquilla,05-norte,09-chihuahua,0.0
boquilla,boquilla,05-norte,09-chihuahua,0.0
boquilla,boquilla,05-norte,09-chihuahua,0.0
boquilla,boquilla,05-norte,09-chihuahua,0.0
boquilla,boquilla,05-norte,09-chihuahua,0.0
boquilla,boquilla,05-norte,09-chihuahua,0.0
boquilla,boquilla,05-norte,09-chihuahua,3.7867888888888888
boquilla,boquilla,05-norte,09-chihuahua,58.913133333333334
boquilla,boquilla,05-norte,09-chihuahua,68.204294444444443
boquilla,boquilla,05-norte,09-chihuahua,66.37981666666667
boquilla,boquilla,05-norte,09-chihuahua,59.325411111111102
boquilla,boquilla,05-norte,09-chihuahua,56.965994444444448
boquilla,boquilla,05-norte,09-chihuahua,55.11973888888889
boquilla,boquilla,05-norte,09-chihuahua,55.7724388888889
boquilla,boquilla,05-norte,09-chihuahua,0.0
boquilla,boquilla,05-norte,09-chihuahua,0.0
