name_switch,name_prodesen,load_zone,load_area,timestamp,capacity_factor
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2009-01-31,9.167507
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2009-02-29,8.801545
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2009-03-31,8.873737
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2009-04-30,8.199074
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2009-05-31,9.212702
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2009-06-30,11.750521
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2009-07-31,13.458277
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2009-08-31,1.517305
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2009-09-30,13.395756
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2009-10-31,9.988799
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2009-11-30,8.557118
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2009-12-31,9.067092
angostura,angostura,02-oriental,39-grijalva,2007-01-31,19.956717
angostura,angostura,02-oriental,39-grijalva,2007-02-29,15.853135
angostura,angostura,02-oriental,39-grijalva,2007-03-31,34.536964
angostura,angostura,02-oriental,39-grijalva,2007-04-30,28.792594
angostura,angostura,02-oriental,39-grijalva,2007-05-31,15.395756
angostura,angostura,02-oriental,39-grijalva,2007-06-30,11.547508
angostura,angostura,02-oriental,39-grijalva,2007-07-31,13.861652
angostura,angostura,02-oriental,39-grijalva,2007-08-31,8.878084
angostura,angostura,02-oriental,39-grijalva,2007-09-30,26.659324
angostura,angostura,02-oriental,39-grijalva,2007-10-31,28.910470
angostura,angostura,02-oriental,39-grijalva,2007-11-30,0.005145
angostura,angostura,02-oriental,39-grijalva,2007-12-31,4.181030
bacurato,bacurato,04-noroeste,04-los_mochis,2007-01-31,41.232343
bacurato,bacurato,04-noroeste,04-los_mochis,2007-02-29,62.935114
bacurato,bacurato,04-noroeste,04-los_mochis,2007-03-31,88.047629
bacurato,bacurato,04-noroeste,04-los_mochis,2007-04-30,55.798149
bacurato,bacurato,04-noroeste,04-los_mochis,2007-05-31,25.548562
bacurato,bacurato,04-noroeste,04-los_mochis,2007-06-30,11.863916
bacurato,bacurato,04-noroeste,04-los_mochis,2007-07-31,1.238315
bacurato,bacurato,04-noroeste,04-los_mochis,2007-08-31,0.138748
bacurato,bacurato,04-noroeste,04-los_mochis,2007-09-30,2.762948
bacurato,bacurato,04-noroeste,04-los_mochis,2007-10-31,43.981465
bacurato,bacurato,04-noroeste,04-los_mochis,2007-11-30,73.660504
bacurato,bacurato,04-noroeste,04-los_mochis,2007-12-31,6.458010
bombana,bombana,02-oriental,39-grijalva,2007-01-31,68.701982
bombana,bombana,02-oriental,39-grijalva,2007-02-29,47.574252
bombana,bombana,02-oriental,39-grijalva,2007-03-31,38.342901
bombana,bombana,02-oriental,39-grijalva,2007-04-30,40.455577
bombana,bombana,02-oriental,39-grijalva,2007-05-31,36.607465
bombana,bombana,02-oriental,39-grijalva,2007-06-30,53.991545
bombana,bombana,02-oriental,39-grijalva,2007-07-31,55.468712
bombana,bombana,02-oriental,39-grijalva,2007-08-31,64.654283
bombana,bombana,02-oriental,39-grijalva,2007-09-30,71.752624
bombana,bombana,02-oriental,39-grijalva,2007-10-31,61.830958
bombana,bombana,02-oriental,39-grijalva,2007-11-30,0.634038
bombana,bombana,02-oriental,39-grijalva,2007-12-31,64.444821
boquilla,boquilla,05-norte,09-chihuahua,2009-01-31,27.176043
boquilla,boquilla,05-norte,09-chihuahua,2009-02-29,66.197098
boquilla,boquilla,05-norte,09-chihuahua,2009-03-31,62.258371
boquilla,boquilla,05-norte,09-chihuahua,2009-04-30,70.784683
boquilla,boquilla,05-norte,09-chihuahua,2009-05-31,72.155172
boquilla,boquilla,05-norte,09-chihuahua,2009-06-30,78.885822
boquilla,boquilla,05-norte,09-chihuahua,2009-07-31,57.992817
boquilla,boquilla,05-norte,09-chihuahua,2009-08-31,53.799355
boquilla,boquilla,05-norte,09-chihuahua,2009-09-30,0.000000
boquilla,boquilla,05-norte,09-chihuahua,2009-10-31,0.000000
boquilla,boquilla,05-norte,09-chihuahua,2009-11-30,0.000000
boquilla,boquilla,05-norte,09-chihuahua,2009-12-31,0.000000
botello,botello,03-occidental,28-carapan,2009-01-31,40.257893
botello,botello,03-occidental,28-carapan,2009-02-29,29.773404
botello,botello,03-occidental,28-carapan,2009-03-31,38.433274
botello,botello,03-occidental,28-carapan,2009-04-30,31.346829
botello,botello,03-occidental,28-carapan,2009-05-31,14.952726
botello,botello,03-occidental,28-carapan,2009-06-30,26.859282
botello,botello,03-occidental,28-carapan,2009-07-31,38.774634
botello,botello,03-occidental,28-carapan,2009-08-31,34.945901
botello,botello,03-occidental,28-carapan,2009-09-30,42.877422
botello,botello,03-occidental,28-carapan,2009-10-31,43.061492
botello,botello,03-occidental,28-carapan,2009-11-30,49.324792
botello,botello,03-occidental,28-carapan,2009-12-31,41.016965
chicoasen,chicoasen,02-oriental,39-grijalva,2009-01-31,22.327628
chicoasen,chicoasen,02-oriental,39-grijalva,2009-02-29,26.960509
chicoasen,chicoasen,02-oriental,39-grijalva,2009-03-31,28.466705
chicoasen,chicoasen,02-oriental,39-grijalva,2009-04-30,30.653047
chicoasen,chicoasen,02-oriental,39-grijalva,2009-05-31,16.752618
chicoasen,chicoasen,02-oriental,39-grijalva,2009-06-30,23.658466
chicoasen,chicoasen,02-oriental,39-grijalva,2009-07-31,27.029378
chicoasen,chicoasen,02-oriental,39-grijalva,2009-08-31,27.883676
chicoasen,chicoasen,02-oriental,39-grijalva,2009-09-30,24.355187
chicoasen,chicoasen,02-oriental,39-grijalva,2009-10-31,21.593652
chicoasen,chicoasen,02-oriental,39-grijalva,2009-11-30,8.879726
chicoasen,chicoasen,02-oriental,39-grijalva,2009-12-31,8.237739
chilapan,chilapan,02-oriental,37-coatzacoalcos,2013-01-31,60.760680
chilapan,chilapan,02-oriental,37-coatzacoalcos,2013-02-29,45.092424
chilapan,chilapan,02-oriental,37-coatzacoalcos,2013-03-31,34.394892
chilapan,chilapan,02-oriental,37-coatzacoalcos,2013-04-30,19.885150
chilapan,chilapan,02-oriental,37-coatzacoalcos,2013-05-31,20.590157
chilapan,chilapan,02-oriental,37-coatzacoalcos,2013-06-30,35.173194
chilapan,chilapan,02-oriental,37-coatzacoalcos,2013-07-31,27.842701
chilapan,chilapan,02-oriental,37-coatzacoalcos,2013-08-31,20.070001
chilapan,chilapan,02-oriental,37-coatzacoalcos,2013-09-30,81.483093
chilapan,chilapan,02-oriental,37-coatzacoalcos,2013-10-31,78.142463
chilapan,chilapan,02-oriental,37-coatzacoalcos,2013-11-30,88.767324
chilapan,chilapan,02-oriental,37-coatzacoalcos,2013-12-31,96.471981
colimilla,colimilla,03-occidental,23-guadalajara,2007-01-31,3.634130
colimilla,colimilla,03-occidental,23-guadalajara,2007-02-29,3.916886
colimilla,colimilla,03-occidental,23-guadalajara,2007-03-31,3.476807
colimilla,colimilla,03-occidental,23-guadalajara,2007-04-30,3.631049
colimilla,colimilla,03-occidental,23-guadalajara,2007-05-31,1.736575
colimilla,colimilla,03-occidental,23-guadalajara,2007-06-30,7.674726
