,Generation,Type,Year
0,36979.704494,percentile_25,2013
0,35876.866147,percentile_25,2009
0,36274.173868,percentile_25,2007
1,42388.094915,percentile_50,2006
1,43262.978123,percentile_50,2012
1,42174.466809,percentile_50,2015
2,52020.200995,percentile_75,2010
2,49734.598752,percentile_75,2011
2,53018.561447,percentile_75,2008
2,52448.32379,percentile_75,2014
