,urban towns,status
Aguascalientes,Aguascalientes,
Asientos,Jesus Maria,
Calvillo,San Francisco de los Romo,
Cosio,Tecate,
Jesus Maria,Tijuana,
Pabellon de Arteaga,Playas de Rosarito,
Rincon de Romos,Mexicali,
San Jose de Gracia,Matamoros,
Tepezala,Torreon,
El Llano,Gomez Palacio,
San Francisco de los Romo,Lerdo,
Ensenada,Arteaga,
Mexicali,Ramos Arizpe,
Tecate,Saltillo,
Tijuana,Castaños,
Playas de Rosarito,Frontera,
Comondu,Monclova,
Mulege,Nava,
La Paz,Piedras Negras,
Los Cabos,Colima,
Loreto,Comala,
Calkini,Coquimatlan,
Campeche,Cuauhtemoc,
Carmen,Villa de alvarez,
Champoton,Armeria,
Hecelchakan,Tecoman,
Hopelchen,Berriozabal,
Palizada,Chiapa de Corzo,
Tenabo,Tuxtla Gutierrez,
Escarcega,Juarez,
Calakmul,Aldama,
Candelaria,Aquiles Serdan,
Abasolo,Chihuahua,
Acuña,Azcapotzalco,
Allende,Coyoacan,
Arteaga,Cuajimalpa de Morelos,
Candela,Gustavo A. Madero,
Castaños,Iztacalco,
Cuatro Cienegas,Iztapalapa,
Escobedo,La Magdalena Contreras,
Francisco I. Madero,Milpa Alta,
Frontera,alvaro Obregon,
General Cepeda,Tlahuac,
Guerrero,Tlalpan,
Hidalgo,Xochimilco,
Jimenez,Benito Juarez,
Juarez,Cuauhtemoc,
Lamadrid,Miguel Hidalgo,
Matamoros,Venustiano Carranza,
Monclova,Tizayuca,
Morelos,Acolman,
Muzquiz,Amecameca,
Nadadores,Apaxco,
Nava,Atenco,
Ocampo,Atizapan de Zaragoza,
Parras,Atlautla,
Piedras Negras,Axapusco,
Progreso,Ayapango,
Ramos Arizpe,Coacalco de Berriozabal,
Sabinas,Cocotitlan,
Sacramento,Coyotepec,
Saltillo,Cuautitlan,
San Buenaventura,Chalco,
San Juan de Sabinas,Chiautla,
San Pedro,Chicoloapan,
Sierra Mojada,Chiconcuac,
Torreon,Chimalhuacan,
Viesca,Ecatepec de Morelos,
Villa Union,Ecatzingo,
Zaragoza,Huehuetoca,
Armeria,Hueypoxtla,
Colima,Huixquilucan,
Comala,Isidro Fabela,
Coquimatlan,Ixtapaluca,
Cuauhtemoc,Jaltenco,
Ixtlahuacan,Jilotzingo,
Manzanillo,Juchitepec,
Minatitlan,Melchor Ocampo,
Tecoman,Naucalpan de Juarez,
Villa de alvarez,Nezahualcoyotl,
Acacoyagua,Nextlalpan,
Acala,Nicolas Romero,
Acapetahua,Nopaltepec,
Altamirano,Otumba,
Amatan,Ozumba,
Amatenango de la Frontera,Papalotla,
Amatenango del Valle,La Paz,
Angel Albino Corzo,San Martin de las Piramides,
Arriaga,Tecamac,
Bejucal de Ocampo,Temamatla,
Bella Vista,Temascalapa,
Berriozabal,Tenango del Aire,
Bochil,Teoloyucan,
El Bosque,Teotihuacan,
Cacahoatan,Tepetlaoxtoc,
Catazaja,Tepetlixpa,
Cintalapa,Tepotzotlan,
Coapilla,Tequixquiac,
Comitan de Dominguez,Texcoco,
La Concordia,Tezoyuca,
Copainala,Tlalmanalco,
Chalchihuitan,Tlalnepantla de Baz,
Chamula,Tultepec,
Chanal,Tultitlan,
Chapultenango,Villa del Carbon,
Chenalho,Zumpango,
Chiapa de Corzo,Cuautitlan Izcalli,
Chiapilla,Valle de Chalco Solidaridad,
Chicoasen,Tonanitla,
Chicomuselo,Leon,
Chilon,Silao,
Escuintla,Purisima del Rincon,
Francisco Leon,San Francisco del Rincon,
Frontera Comalapa,Moroleon,
Frontera Hidalgo,Uriangato,
La Grandeza,Acapulco de Juarez,
Huehuetan,Coyuca de Benitez,
Huixtan,Epazoyucan,
Huitiupan,Mineral del Monte,
Huixtla,Pachuca de Soto,
La Independencia,Mineral de la Reforma,
Ixhuatan,San Agustin Tlaxiaca,
Ixtacomitan,Zapotlan de Juarez,
Ixtapa,Zempoala,
Ixtapangajoya,Cuautepec de Hinojosa,
Jiquipilas,Santiago Tulantepec de Lugo Guerrero,
Jitotol,Tulancingo de Bravo,
Juarez,Atitalaquia,
Larrainzar,Atotonilco de Tula,
La Libertad,Tlahuelilpan,
Mapastepec,Tlaxcoapan,
Las Margaritas,Tula de Allende,
Mazapa de Madero,Guadalajara,
Mazatan,Ixtlahuacan de los Membrillos,
Metapa,Juanacatlan,
Mitontic,El Salto,
Motozintla,Tlajomulco de Zeñiga,
Nicolas Ruiz,Tlaquepaque,
Ocosingo,Tonala,
Ocotepec,Zapopan,
Ocozocoautla de Espinosa,Puerto Vallarta,
Ostuacan,Bahia de Banderas,
Osumacinta,Ocotlan,
Oxchuc,Poncitlan,
Palenque,Almoloya de Juarez,
Pantelho,Calimaya,
Pantepec,Chapultepec,
Pichucalco,Lerma,
Pijijiapan,Metepec,
El Porvenir,Mexicaltzingo,
Villa Comaltitlan,Ocoyoacac,
Pueblo Nuevo Solistahuacan,Otzolotepec,
Rayon,Rayon,
Reforma,San Antonio la Isla,
Las Rosas,San Mateo Atenco,
Sabanilla,Temoaya,
Salto de Agua,Toluca,
San Cristobal de las Casas,Xonacatlan,
San Fernando,Zinacantepec,
Siltepec,Charo,
Simojovel,Morelia,
Sitala,Tarimbaro,
Socoltenango,Jacona,
Solosuchiapa,Zamora,
Soyalo,Penjamo,
Suchiapa,La Piedad,
Suchiate,Cuernavaca,
Sunuapa,Emiliano Zapata,
Tapachula,Huitzilac,
Tapalapa,Jiutepec,
Tapilula,Temixco,
Tecpatan,Tepoztlan,
Tenejapa,Tlaltizapan,
Teopisca,Xochitepec,
Tila,Atlatlahucan,
Tonala,Ayala,
Totolapa,Cuautla,
La Trinitaria,Tlayacapan,
Tumbala,Yautepec,
Tuxtla Gutierrez,Yecapixtla,
Tuxtla Chico,Xalisco,
Tuzantan,Tepic,
Tzimol,Apodaca,
Union Juarez,Cadereyta Jimenez,
Venustiano Carranza,Carmen,
Villa Corzo,Garcia,
Villaflores,San Pedro Garza Garcia,
Yajalon,General Escobedo,
San Lucas,Guadalupe,
Zinacantan,Juarez,
San Juan Cancuc,Monterrey,
Aldama,Salinas Victoria,
Benemerito de las Americas,San Nicolas de los Garza,
Maravilla Tenejapa,Santa Catarina,
Marques de Comillas,Santiago,
Montecristo de Guerrero,Oaxaca de Juarez,
San Andres Duraznal,San Agustin de las Juntas,
Santiago el Pinar,San Agustin Yatareni,
Ahumada,San Andres Huayapam,
Aldama,San Antonio de la Cal,
Allende,San Bartolo Coyotepec,
Aquiles Serdan,San Jacinto Amilpas,
Ascension,animas Trujano,
Bachiniva,San Lorenzo Cacaotepec,
Balleza,San Pablo Etla,
Batopilas,Villa de Etla,
Bocoyna,San Sebastian Tutla,
Buenaventura,Santa Cruz Amilpas,
Camargo,Santa Cruz Xoxocotlan,
Carichi,Santa Lucia del Camino,
Casas Grandes,Santa Maria Atzompa,
Coronado,Santa Maria Coyotepec,
Coyame del Sotol,Santa Maria del Tule,
La Cruz,Santo Domingo Tomaltepec,
Cuauhtemoc,Soledad Etla,
Cusihuiriachi,Tlalixtac de Cabrera,
Chihuahua,Villa de Zaachila,
Chinipas,Salina Cruz,
Delicias,San Blas Atempa,
Dr. Belisario Dominguez,Santo Domingo Tehuantepec,
Galeana,Acajete,
Santa Isabel,Amozoc,
Gomez Farias,Coronango,
Gran Morelos,Cuautlancingo,
Guachochi,Chiautzingo,
Guadalupe,Domingo Arenas,
Guadalupe y Calvo,Huejotzingo,
Guazapares,Juan C. Bonilla,
Guerrero,Ocoyucan,
Hidalgo del Parral,Puebla,
Huejotitan,San Andres Cholula,
Ignacio Zaragoza,San Felipe Teotlalcingo,
Janos,San Gregorio Atzompa,
Jimenez,San Martin Texmelucan,
Juarez,San Miguel Xoxtla,
Julimes,San Pedro Cholula,
Lopez,San Salvador el Verde,
Madera,Tepatlaxco de Hidalgo,
Maguarichi,Tlaltenango,
Manuel Benavides,Ixtacuixtla de Mariano Matamoros,
Matachi,Mazatecochco de Jose Maria Morelos,
Matamoros,Tepetitla de Lardizabal,
Meoqui,Acuamanala de Miguel Hidalgo,
Morelos,Nativitas,
Moris,San Pablo del Monte,
Namiquipa,Tenancingo,
Nonoava,Teolocholco,
Nuevo Casas Grandes,Tepeyanco,
Ocampo,Tetlatlahuca,
Ojinaga,Papalotla de Xicohtencatl,
Praxedis G. Guerrero,Xicohtzinco,
Riva Palacio,Zacatelco,
Rosales,San Jeronimo Zacualpan,
Rosario,San Juan Huactzinco,
San Francisco de Borja,San Lorenzo Axocomanitla,
San Francisco de Conchos,Santa Ana Nopalucan,
San Francisco del Oro,Santa Apolonia Teacalco,
Santa Barbara,Santa Catarina Ayometla,
Satevo,Santa Cruz Quilehtla,
Saucillo,Santiago Miahuatlan,
Temosachic,Tehuacan,
El Tule,Corregidora,
Urique,Huimilpan,
Uruachi,El Marques,
Valle de Zaragoza,Queretaro,
Azcapotzalco,Isla Mujeres,
Coyoacan,Benito Juarez,
Cuajimalpa de Morelos,San Luis Potosi,
Gustavo A. Madero,Soledad de Graciano Sanchez,
Iztacalco,Ciudad Fernandez,
Iztapalapa,Rioverde,
La Magdalena Contreras,Empalme,
Milpa Alta,Guaymas,
alvaro Obregon,Centro,
Tlahuac,Nacajuca,
Tlalpan,Altamira,
Xochimilco,Ciudad Madero,
Benito Juarez,Tampico,
Cuauhtemoc,Panuco,
Miguel Hidalgo,Pueblo Viejo,
Venustiano Carranza,Reynosa,
Canatlan,Rio Bravo,
Canelas,Matamoros,
Coneto de Comonfort,Nuevo Laredo,
Cuencame,Amaxac de Guerrero,
Durango,Apetatitlan de Antonio Carvajal,
General Simon Bolivar,Apizaco,
Gomez Palacio,Cuaxomulco,
Guadalupe Victoria,Chiautempan,
Guanacevi,Contla de Juan Cuamatzi,
Hidalgo,Panotla,
Inde,Santa Cruz Tlaxcala,
Lerdo,Tetla de la Solidaridad,
Mapimi,Tlaxcala,
Mezquital,Tocatlan,
Nazas,Totolac,
Nombre de Dios,Tzompantepec,
Ocampo,Xaloztoc,
El Oro,Yauhquemehcan,
Otaez,La Magdalena Tlaltelulco,
Panuco de Coronado,San Damian Texoloc,
Peñon Blanco,San Francisco Tetlanohcan,
Poanas,Santa Isabel Xiloxoxtla,
Pueblo Nuevo,Alvarado,
Rodeo,Boca del Rio,
San Bernardo,Jamapa,
San Dimas,Medellin,
San Juan de Guadalupe,Veracruz,
San Juan del Rio,Banderilla,
San Luis del Cordero,Coatepec,
San Pedro del Gallo,Emiliano Zapata,
