Unnamed: 0,state,county,lat,lon,lz
89,chiapas,bejucal_de_ocampo,15.454191,-92.1603735,39
90,chiapas,bella_vista,15.5843705,-92.2495011,39
91,chiapas,berriozabal,16.7978347,-93.2734517,39
92,chiapas,bochil,16.9965515,-92.8963776,38
93,chiapas,el_bosque,17.0624692,-92.7209999,38
94,chiapas,cacahoatan,14.9958182,-92.1671288,39
95,chiapas,catazaja,17.7235535,-92.0121516,38
96,chiapas,cintalapa,16.6859535,-93.7285585,39
97,chiapas,coapilla,17.1306334,-93.1601864,38
98,chiapas,comitan_de_dominguez,16.2299602,-92.1155691,39
99,chiapas,la_concordia,16.1148283,-92.6859623,39
100,chiapas,copainala,17.0965616,-93.2106111,38
101,chiapas,chalchihuitan,16.9634498,-92.6164463,38
102,chiapas,chamula,16.7869428,-92.6875907,38
103,chiapas,chanal,16.6536697,-92.2560136,38
104,chiapas,chapultenango,17.3393929,-93.1296999,38
105,chiapas,chenalho,16.8981342,-92.6241534,38
106,chiapas,chiapa_de_corzo,16.7021616,-93.0081378,39
107,chiapas,chiapilla,16.5686207,-92.7212051,39
108,chiapas,chicoasen,16.9684282,-93.1052211,39
109,chiapas,chicomuselo,15.7407898,-92.2876645,39
110,chiapas,chilon,17.1046837,-92.2736561,38
111,chiapas,escuintla,15.3232503,-92.6586163,39
112,chiapas,francisco_leon,17.315983,-93.257079,38
113,chiapas,frontera_comalapa,15.6630936,-92.1425692,39
114,chiapas,frontera_hidalgo,14.7758049,-92.1764046,39
115,chiapas,la_grandeza,15.5112297,-92.2260293,39
116,chiapas,huehuetan,15.019419,-92.3808465,39
117,chiapas,huixtan,16.7111487,-92.4542569,39
118,chiapas,huitiupan,17.1705587,-92.6853429,38
119,chiapas,huixtla,15.1376653,-92.4659208,39
120,chiapas,la_independencia,16.5255199,-91.7737811,38
121,chiapas,ixhuatan,17.2937633,-93.0083015,38
122,chiapas,ixtacomitan,17.4299557,-93.0962318,38
123,chiapas,ixtapa,16.8021737,-92.9022948,38
124,chiapas,ixtapangajoya,17.495665,-93.001862,38
125,chiapas,jiquipilas,16.66914,-93.6480054,39
126,chiapas,jitotol,17.0667204,-92.8603824,38
127,chiapas,juarez,17.6051702,-93.1903137,38
128,chiapas,larrainzar,16.8820217,-92.7120416,38
129,chiapas,la_libertad,17.6891622,-91.7190274,38
130,chiapas,mapastepec,15.4329682,-92.8978399,39
131,chiapas,las_margaritas,16.315474,-91.987953,39
132,chiapas,mazapa_de_madero,15.387171,-92.187527,39
133,chiapas,mazatan,14.8645935,-92.4480536,39
134,chiapas,metapa,14.8356017,-92.1910561,39
135,chiapas,mitontic,16.8608333,-92.6282319,38
136,chiapas,motozintla,15.3691977,-92.2458096,39
137,chiapas,nicolas_ruiz,16.4384722,-92.5836337,39
138,chiapas,ocosingo,16.9087202,-92.0943704,38
139,chiapas,ocotepec,17.2256444,-93.1641611,38
140,chiapas,ocozocoautla_de_espinosa,16.7608719,-93.3741647,39
141,chiapas,ostuacan,17.4077827,-93.3354309,38
142,chiapas,osumacinta,16.9359747,-93.0917209,39
143,chiapas,oxchuc,16.7880529,-92.3455194,38
144,chiapas,palenque,17.5109792,-91.9930466,38
145,chiapas,pantelho,17.0069832,-92.4701674,38
146,chiapas,pantepec,17.1881409,-93.0498364,38
147,chiapas,pichucalco,17.511472,-93.1102345,38
148,chiapas,pijijiapan,15.6851709,-93.2122536,39
149,chiapas,el_porvenir,15.4559451,-92.2795035,39
150,chiapas,villa_comaltitlan,15.2127239,-92.5762346,39
151,chiapas,pueblo_nuevo_solistahuacan,17.1578347,-92.8996804,38
152,chiapas,rayon,17.1994091,-93.0107641,38
153,chiapas,reforma,17.8578141,-93.1547842,38
154,chiapas,las_rosas,16.365234,-92.3709825,39
155,chiapas,sabanilla,17.2822829,-92.5517584,38
156,chiapas,salto_de_agua,17.5562464,-92.3431149,38
157,chiapas,san_cristobal_de_las_casas,16.7370359,-92.6376186,39
158,chiapas,san_fernando,16.8677887,-93.206921,39
159,chiapas,siltepec,15.5575566,-92.3233139,39
160,chiapas,simojovel,17.1378588,-92.710696,38
161,chiapas,sitala,17.0244122,-92.3058451,38
162,chiapas,socoltenango,16.2439259,-92.3504194,39
163,chiapas,solosuchiapa,17.4297762,-93.0355476,38
164,chiapas,soyalo,16.8905692,-92.9227329,38
165,chiapas,suchiapa,16.626741,-93.1002082,39
166,chiapas,suchiate,14.6783852,-92.1536474,39
167,chiapas,sunuapa,17.4901243,-93.2423498,38
168,chiapas,tapachula,14.9055567,-92.2634136,39
169,chiapas,tapalapa,17.1898377,-93.1046141,38
170,chiapas,tapilula,17.2501706,-93.016777,38
171,chiapas,tecpatan,17.1375536,-93.3108198,38
172,chiapas,tenejapa,16.8189794,-92.5057962,38
173,chiapas,teopisca,16.5414817,-92.4726212,39
174,chiapas,tila,17.2980572,-92.4252829,38
175,chiapas,tonala,16.0869461,-93.7612856,39
176,chiapas,totolapa,16.5452279,-92.6829689,39
177,chiapas,la_trinitaria,16.1188865,-92.0518154,39
178,chiapas,tumbala,17.2807131,-92.3162846,38
179,chiapas,tuxtla_gutierrez,16.7516009,-93.1029939,39
180,chiapas,tuxtla_chico,14.9374337,-92.1671288,39
181,chiapas,tuzantan,15.1466006,-92.4221065,39
182,chiapas,tzimol,16.1822673,-92.1845482,39
183,chiapas,union_juarez,15.0645412,-92.0811838,39
184,chiapas,venustiano_carranza,16.339428,-92.5632082,39
185,chiapas,villa_corzo,16.1853857,-93.2681856,39
186,chiapas,villaflores,16.2329693,-93.2734517,39
187,chiapas,yajalon,17.1734888,-92.329558,38
188,chiapas,san_lucas,16.6087477,-92.7190246,39
189,chiapas,zinacantan,16.7586246,-92.7158061,39
190,chiapas,san_juan_cancuc,16.8919079,-92.3707846,38
191,chiapas,aldama,16.9155263,-92.6881467,38
192,chiapas,benemerito_de_las_americas,16.5142764,-90.6540954,38
193,chiapas,maravilla_tenejapa,16.1409664,-91.2927151,39
194,chiapas,marques_de_comillas,16.332326,-90.7654317,38
195,chiapas,montecristo_de_guerrero,15.691634,-92.6201678,39
196,chiapas,san_andres_duraznal,17.1328015,-92.8047504,38
197,chiapas,santiago_el_pinar,16.9400579,-92.7145435,38
198,chihuahua,ahumada,30.6149598,-106.5137018,8
199,chihuahua,aldama,28.8336361,-105.9155235,9
200,chihuahua,allende,26.9373184,-105.3939782,9
201,chihuahua,aquiles_serdan,28.5936841,-105.8873746,9
202,chihuahua,ascension,31.0902521,-107.99763,7
203,chihuahua,bachiniva,28.7562554,-107.2537314,9
204,chihuahua,balleza,26.9514499,-106.3473971,9
205,chihuahua,batopilas,27.030387,-107.7362336,4
206,chihuahua,bocoyna,27.8413725,-107.5862134,9
207,chihuahua,buenaventura,29.849078,-107.4667146,8
208,chihuahua,camargo,27.6799994,-105.1713145,9
209,chihuahua,carichi,27.9169689,-107.0552036,9
210,chihuahua,casas_grandes,30.3740395,-107.9552259,8
211,chihuahua,coronado,26.7375312,-105.1588251,9
212,chihuahua,coyame_del_sotol,29.4619918,-105.0935845,9
