LOAD_ZONE,balancing_area,lat,lon
01-hermosillo,04-noroeste,29.0729673,-110.9559192
02-cananea,04-noroeste,30.9897648,-110.289179
03-obregon,04-noroeste,27.4934041,-109.940064
04-los_mochis,04-noroeste,25.7904061,-108.9917304
05-culiacan,04-noroeste,24.8090649,-107.3940117
06-mazatlan,04-noroeste,23.2494148,-106.4111425
07-juarez,05-norte,31.6903638,-106.4245478
08-moctezuma,05-norte,29.8055991,-109.6790903
09-chihuahua,05-norte,28.6329957,-106.0691004
10-durango,05-norte,24.0277202,-104.6531759
11-laguna,05-norte,24.0277202,-104.6531759
12-rio_escondido,06-noreste,28.6916182,-100.5408622
13-nuevo_laredo,06-noreste,27.4779362,-99.549573
14-reynosa,06-noreste,26.0508406,-98.2978951
15-matamoros,06-noreste,25.8690294,-97.5027376
16-monterrey,06-noreste,25.6866142,-100.3161126
17-saltillo,06-noreste,25.43208,-100.9836611
18-valles,06-noreste,22.0025712,-99.0018424
19-huasteca,06-noreste,22.8452259,-99.3361544
20-tamazunchale,06-noreste,21.2593926,-98.7881496
21-guemez,06-noreste,23.9184477,-99.007484
22-tepic,03-occidental,21.5041651,-104.8945887
23-guadalajara,03-occidental,20.6596988,-103.3496092
24-aguascalientes,03-occidental,21.8852562,-102.2915677
25-san_luis_potosi,03-occidental,22.1564699,-100.9855409
26-salamanca,03-occidental,20.5739314,-101.1957172
27-manzanillo,03-occidental,19.1138094,-104.3384616
28-carapan,03-occidental,19.6491177,-102.2504469
29-lazaro_cardenas,03-occidental,17.9567646,-102.1943485
30-queretaro,03-occidental,20.5887932,-100.3898881
31-central,01-central,19.3437444,-99.1561883
32-poza_rica,02-oriental,20.5270592,-97.4629119
33-veracruz,02-oriental,19.173773,-96.1342241
34-puebla,02-oriental,19.0413068,-98.2061934
35-acapulco,02-oriental,16.8531086,-99.8236533
36-temascal,02-oriental,17.0686305,-96.7219034
37-coatzacoalcos,02-oriental,18.1344779,-94.4589858
38-tabasco,02-oriental,21.8652626,-102.9130568
39-grijalva,02-oriental,16.7516009,-93.1029939
40-ixtepec,02-oriental,20.0243642,-97.6455914
41-lerma,07-peninsular,19.2913424,-99.5244687
42-merida,07-peninsular,20.9673702,-89.5925857
43-cancun,07-peninsular,21.1398997,-86.8663978
44-chetumal,07-peninsular,18.500249,-88.2961077
45-cozumel,07-peninsular,20.4229839,-86.9223432
46-tijuana,08-baja_california,32.5149469,-117.0382471
47-ensenada,08-baja_california,31.8667427,-116.5963713
48-mexicali,08-baja_california,32.6245389,-115.4522623
49-san_luis_rio_colorado,08-baja_california,32.4518877,-114.771711
50-villa_constitucion,09-baja_california_sur-la_paz,25.0376061,-111.6628218
51-la_paz,09-baja_california_sur-la_paz,24.1426408,-110.3127531
52-los_cabos,09-baja_california_sur-la_paz,23.0798696,-109.7124043
53-mulege,10-baja_california_sur-mulege,26.8922164,-111.9835831
