project_name,gen_tech,balancing_area,full_load_heat_rate_gj/mw,full_load_heat_rate,connect_cost_per_mw,scheduled_outage_rate,forced_outage_rate,capacity_limit_mw,start_year,capacity_mw,dbid,being_built,fuel_code,fuel_oil,load_zone,variables,capacity_factor
san_carlos_u3,internal_combustion_fuel_oil,09-baja_california_sur-la_paz,8.4,7.962085308,0,11.23,7.4,41.13,,39.64,34,operational,c_n_chih,fuel_oil,50-villa_constitucion,8.01,0.963773401
santa_rosalia_u1_u2,internal_combustion_fuel_oil,10-baja_california_sur-mulege,10.3,9.763033175,0,11.23,7.4,2.6,,2.38,35,operational,c_n_vizc,fuel_oil,53-mulege,3.16,0.915384615
santa_rosalia_u3_ci,internal_combustion_fuel_oil,10-baja_california_sur-mulege,15.4,14.5971564,0,11.23,7.4,1.2,,1.1,36,operational,c_n_vizc,fuel_oil,53-mulege,3.16,0.916666667
santa_rosalia_u4_ci,internal_combustion_fuel_oil,10-baja_california_sur-mulege,15.4,14.5971564,0,11.23,7.4,1.2,,1.1,37,operational,c_n_vizc,fuel_oil,53-mulege,3.16,0.916666667
santa_rosalia_u5_ci,internal_combustion_fuel_oil,10-baja_california_sur-mulege,15.4,14.5971564,0,11.23,7.4,2.8,,2.56,38,operational,c_n_vizc,fuel_oil,53-mulege,3.16,0.914285714
tres_virgcos_central,geothermal,10-baja_california_sur-mulege,0,0,0,5.12,14.1,10,,9.39,39,operational,,,53-mulege,0.06,0.939
u_movil,internal_combustion_fuel_oil,10-baja_california_sur-mulege,10.3,9.763033175,0,11.23,7.4,7.5,,6.86,40,operational,c_n_vizc,fuel_oil,53-mulege,3.16,0.914666667
chicoasen,hydroelectric,02-oriental,0,0,0,3,1,6.99,,5.370417,41,operational,,,39-grijalva,0,0.7683
aragon,gas_turbine_natural_gas,01-central,10.1,9.573459716,0,9.22,5.5,32,,31.2,42,operational,g_central,natural_gas,31-central,3.19,0.975
atenco_lyfc,gas_turbine_natural_gas,01-central,9.9,9.383886256,0,9.22,5.5,32,,31.2,43,operational,g_central,natural_gas,31-central,3.19,0.975
coapa,gas_turbine_natural_gas,01-central,9.8,9.289099526,0,9.22,5.5,32,,31.2,44,operational,g_central,natural_gas,31-central,3.19,0.975
coyotepec,gas_turbine_natural_gas,01-central,10.1,9.573459716,0,9.22,5.5,64,,62.4,45,operational,g_central,natural_gas,31-central,3.19,0.975
cuautitlan_lyfc,gas_turbine_natural_gas,01-central,10,9.478672986,0,9.22,5.5,32,,31.2,46,operational,g_central,natural_gas,31-central,3.19,0.975
ecatepec_lyfc,gas_turbine_natural_gas,01-central,10.2,9.668246445,0,9.22,5.5,32,,31.2,47,operational,g_central,natural_gas,31-central,3.19,0.975
infiernillo,hydroelectric,03-occidental,0,0,0,3,1,1200,,1050.72,48,operational,,,29-lazaro_cardenas,0,0.8756
iztapalapa_lyfc,gas_turbine_natural_gas,01-central,10,9.478672986,0,9.22,5.5,32,,31.2,49,operational,g_central,natural_gas,31-central,3.19,0.975
malpaso,hydroelectric,02-oriental,0,0,0,3,1,74,,56.8542,50,operational,,,39-grijalva,0,0.7683
magdalena,gas_turbine_natural_gas,01-central,10.1,9.573459716,0,9.22,5.5,32,,31.2,51,operational,g_central,natural_gas,31-central,3.19,0.975
aguamilpa_solidaridad,hydroelectric,03-occidental,0,0,0,3,1,109,,83.7447,52,operational,,,22-tepic,0,0.7683
nonoalco_lyfc_u1,gas_turbine_natural_gas,01-central,21.2,20.09478673,0,9.22,5.5,32,,31.2,53,operational,g_central,natural_gas,31-central,3.19,0.975
nonoalco_lyfc_u2,gas_turbine_natural_gas,01-central,21.2,20.09478673,0,9.22,5.5,32,,31.2,54,operational,g_central,natural_gas,31-central,3.19,0.975
nonoalco_lyfc_u3,gas_turbine_natural_gas,01-central,21.2,20.09478673,0,9.22,5.5,42,,40.95,55,operational,g_central,natural_gas,31-central,3.19,0.975
angostura,hydroelectric,02-oriental,0,0,0,3,1,37,,28.4271,56,operational,,,39-grijalva,0,0.7683
remedios_lyfc,gas_turbine_natural_gas,01-central,9.6,9.099526066,0,9.22,5.5,32,,31.2,57,operational,g_central,natural_gas,31-central,3.19,0.975
santa_cruz,gas_turbine_natural_gas,01-central,10.1,9.573459716,0,9.22,5.5,32,,31.2,58,operational,g_central,natural_gas,31-central,3.19,0.975
el_cajon,hydroelectric,03-occidental,0,0,0,3,1,39,,29.9637,59,operational,,,23-guadalajara,0,0.7683
tula,combined_cycle_natural_gas,01-central,10,9.478672986,0,6.96,7.7,489,,474.819,60,operational,g,natural_gas,31-central,2.72,0.971
tula_tc_u1,thermal_fuel_oil,01-central,10,9.478672986,0,11.44,7.1,330,,314.49,61,operational,c_n_tula,fuel_oil,31-central,2.2,0.953
tula_tc_u2,thermal_fuel_oil,01-central,10,9.478672986,0,11.44,7.1,330,,314.49,62,operational,c_n_tula,fuel_oil,31-central,2.2,0.953
tula_tc_u3,thermal_fuel_oil,01-central,10,9.478672986,0,11.44,7.1,322.8,,307.63,63,operational,c_n_tula,fuel_oil,31-central,2.2,0.953004957
tula_tc_u4,thermal_fuel_oil,01-central,10,9.478672986,0,11.44,7.1,322.8,,307.63,64,operational,c_n_tula,fuel_oil,31-central,2.2,0.953004957
tula_tc_u5,thermal_fuel_oil,01-central,10,9.478672986,0,11.44,7.1,300,,285.9,65,operational,c_n_tula,fuel_oil,31-central,2.2,0.953
valle_de_mexico,combined_cycle_natural_gas,01-central,11.3,10.71090047,0,6.96,7.7,549.3,,534.47,66,operational,g,natural_gas,31-central,2.96,0.973002003
valle_de_mexico_tc_u1,thermal_fuel_oil,01-central,9.5,9.004739336,0,11.44,7.1,150,,140.4,67,operational,c_n_tula,fuel_oil,31-central,3.13,0.936
valle_de_mexico_tc_u2,thermal_fuel_oil,01-central,9.5,9.004739336,0,11.44,7.1,150,,140.4,68,operational,c_n_tula,fuel_oil,31-central,3.13,0.936
valle_de_mexico_tc_u3,thermal_fuel_oil,01-central,9.5,9.004739336,0,11.44,7.1,150,,140.4,69,operational,c_n_tula,fuel_oil,31-central,3.13,0.936
vallejo_lyfc,gas_turbine_natural_gas,01-central,10,9.478672986,0,9.22,5.5,32,,31.2,70,operational,g_central,natural_gas,31-central,3.19,0.975
victoria_lyfc,gas_turbine_natural_gas,01-central,10.1,9.573459716,0,9.22,5.5,32,,31.2,71,operational,g_central,natural_gas,31-central,3.19,0.975
villa_de_las_flores_lyfc,gas_turbine_natural_gas,01-central,10.6,10.04739336,0,9.22,5.5,32,,31.2,72,operational,g_central,natural_gas,31-central,3.19,0.975
la_yesca,hydroelectric,03-occidental,0,0,0,3,1,320,,280.192,73,operational,,,23-guadalajara,0,0.8756
guerrero_negro_ii_tgmovil,gas_turbine_diesel,10-baja_california_sur-mulege,27.8,26.3507109,0,9.22,5.5,12.5,,12.19,74,operational,d_bcn,diesel,53-mulege,3.19,0.9752
guerrero_negro_winda,wind,10-baja_california_sur-mulege,0,0,0,0,0,0.6,,0.14985,75,operational,,,53-mulege,0,0.24975
sta_rosalia,solar,10-baja_california_sur-mulege,0,0,0,0,0,1,,1,76,operational,,,53-mulege,0,1
u_movil_cfe-ume,gas_turbine_diesel,10-baja_california_sur-mulege,11.9,11.27962085,0,9.22,5.5,57,,55.58,77,operational,d_bcn,diesel,53-mulege,3.19,0.975087719
u_movil_de_emergencia_ume-18,internal_combustion_fuel_oil,10-baja_california_sur-mulege,10.3,9.763033175,0,11.23,7.4,1.6,,1.46,78,operational,c_n_vizc,fuel_oil,53-mulege,3.16,0.9125
u_movil_de_emergencia_ume-19,internal_combustion_fuel_oil,10-baja_california_sur-mulege,10.3,9.763033175,0,11.23,7.4,1.6,,1.46,79,operational,c_n_vizc,fuel_oil,53-mulege,3.16,0.9125
u_movil_de_emergencia_ume-20,internal_combustion_fuel_oil,10-baja_california_sur-mulege,10.3,9.763033175,0,11.23,7.4,1.6,,1.46,80,operational,c_n_vizc,fuel_oil,53-mulege,3.16,0.9125
vizcaino,gas_turbine_diesel,10-baja_california_sur-mulege,37.2,35.26066351,0,9.22,5.5,14,,13.65,81,operational,d_bcn,diesel,53-mulege,3.19,0.975
caracol,hydroelectric,02-oriental,0,0,0,3,1,25,,19.2075,82,operational,,,35-acapulco,0,0.7683
chavez_u1,gas_turbine_natural_gas,05-norte,24.8,23.507109,0,9.22,5.5,14,,13.65,83,operational,zzon_nort,natural_gas,11-laguna,3.19,0.975
chavez_u2,gas_turbine_natural_gas,05-norte,24.8,23.507109,0,9.22,5.5,14,,13.65,84,operational,zzon_nort,natural_gas,11-laguna,3.19,0.975
chihuahua_ii,combined_cycle_natural_gas,05-norte,6.9,6.54028436,0,6.96,7.7,619.4,,602.68,85,operational,zzon_nort,natural_gas,09-chihuahua,2.96,0.973006135
huites,hydroelectric,04-noroeste,0,0,0,3,1,3,,2.3049,86,operational,,,03-obregon,0,0.7683
francisco_villa_u4,thermal_fuel_oil,05-norte,11,10.42654028,0,11.44,7.1,150,,140.4,87,operational,c_n_chih,fuel_oil,09-chihuahua,3.13,0.936
francisco_villa_u5,thermal_fuel_oil,05-norte,11,10.42654028,0,11.44,7.1,150,,140.4,88,operational,c_n_chih,fuel_oil,09-chihuahua,3.13,0.936
gomez_palacio,combined_cycle_natural_gas,05-norte,9.7,9.194312796,0,6.96,7.7,239.8,,233.57,89,operational,zzon_nort,natural_gas,11-laguna,3.02,0.974020017
industrial_juarez,gas_turbine_natural_gas,05-norte,19.1,18.1042654,0,9.22,5.5,18,,17.55,90,operational,zzon_nort,natural_gas,07-juarez,3.19,0.975
la_laguna_ii,combined_cycle_natural_gas,05-norte,8,7.582938389,0,6.96,7.7,498,,483.56,91,operational,zzon_nort,natural_gas,11-laguna,2.72,0.971004016
