generation_technology	g_max_age	source	
carboelectric_coal	20	wecc	
combined_cycle_natural_gas	30	copar	
internal_combustion_fuel_oil	20	copar	
internal_combustion_diesel	20	copar	
internal_combustion_natural_gas	30	copar	
wind	25	copar	
geothermal	30	copar	
hydroelectric	50	copar	
nuclear_uranium	60	copar	
solar	25	copar	
thermal_fuel_oil	30	copar	
thermal_natural_gas	30	copar	
thermal_diesel	30	copar	
thermosolar	20	wecc	
gas_turbine_diesel	30	copar	
gas_turbine_natural_gas	30	copar	
bioenergy_fuel_oil	20	wecc	
bioenergy_natural_gas	20	wecc	
bioenergy_diesel	20	wecc	
cogen_fuel_oil	30	assumption	
cogen_natural_gas	30	assumption	
cogen_diesel	30	assumption	
fluidized_bed_coal	20	wecc	
import_natural_gas	20	assumption	
regen_brakes	0	assumption	
