project_name,gen_tech,balancing_area,full_load_heat_rate,connect_cost_per_mw,scheduled_outage_rate,forced_outage_rate,capacity_limit_mw,capacity_mw,dbid,being_built,fuel_code,fuel_oil,load_zone,variables,capacity_factor,start_year,fixed_o_m,variable_o_m,overnight_cost,real_name
los_cabos_2_tg,gas_turbine_diesel,09-baja_california_sur-la_paz,16.26112578,99048.565,0.0922,0.055,27.43,26.74,27,operational,d_bcn,diesel,52-los_cabos,3.19,0.97484506,2015,20058,3.432,1085000,los_cabos_2_tg
los_cabos_3_tg,gas_turbine_diesel,09-baja_california_sur-la_paz,16.26112578,99048.565,0.0922,0.055,27.23,26.55,28,operational,d_bcn,diesel,52-los_cabos,3.19,0.975027543,2015,20058,3.432,1085000,los_cabos_3_tg
punta_prieta_ii_u1,thermal_diesel,09-baja_california_sur-la_paz,10.78085687,99048.565,0.1144,0.071,37.5,35.14,29,operational,d_bcn,diesel,51-la_paz,3.94,0.937066667,2015,44300,2.688,1728420,punta_prieta_ii
punta_prieta_ii_u2,thermal_diesel,09-baja_california_sur-la_paz,10.78085687,99048.565,0.1144,0.071,37.5,35.14,30,operational,d_bcn,diesel,51-la_paz,3.94,0.937066667,2015,44300,2.688,1728420,punta_prieta_ii
punta_prieta_ii_u3,thermal_diesel,09-baja_california_sur-la_paz,10.78085687,99048.565,0.1144,0.071,37.5,35.14,31,operational,d_bcn,diesel,51-la_paz,3.94,0.937066667,2015,44300,2.688,1728420,punta_prieta_ii
san_carlos_u1,internal_combustion_fuel_oil,09-baja_california_sur-la_paz,7.54659981,99048.565,0.1123,0.074,31.5,30.37,32,operational,c_n_chih,fuel_oil,50-villa_constitucion,8.01,0.964126984,2015,53203.8,6.63,3167700,san_carlos
san_carlos_u2,internal_combustion_fuel_oil,09-baja_california_sur-la_paz,7.54659981,99048.565,0.1123,0.074,31.5,30.37,33,operational,c_n_chih,fuel_oil,50-villa_constitucion,8.01,0.964126984,2015,53203.8,6.63,3167700,san_carlos
san_carlos_u3,internal_combustion_fuel_oil,09-baja_california_sur-la_paz,7.54659981,99048.565,0.1123,0.074,41.13,39.64,34,operational,c_n_chih,fuel_oil,50-villa_constitucion,8.01,0.963773401,2015,53203.8,6.63,3167700,san_carlos
santa_rosalia_u1_u2,internal_combustion_fuel_oil,10-baja_california_sur-mulege,9.253568815,99048.565,0.1123,0.074,2.6,2.38,35,operational,c_n_vizc,fuel_oil,53-mulege,3.16,0.915384615,2015,53203.8,6.63,3167700,santa_rosalia_u2
santa_rosalia_u3_ci,internal_combustion_fuel_oil,10-baja_california_sur-mulege,13.83543299,99048.565,0.1123,0.074,1.2,1.1,36,operational,c_n_vizc,fuel_oil,53-mulege,3.16,0.916666667,2015,53203.8,6.63,3167700,santa_rosalia_ci
santa_rosalia_u4_ci,internal_combustion_fuel_oil,10-baja_california_sur-mulege,13.83543299,99048.565,0.1123,0.074,1.2,1.1,37,operational,c_n_vizc,fuel_oil,53-mulege,3.16,0.916666667,2015,53203.8,6.63,3167700,santa_rosalia_ci
santa_rosalia_u5_ci,internal_combustion_fuel_oil,10-baja_california_sur-mulege,13.83543299,99048.565,0.1123,0.074,2.8,2.56,38,operational,c_n_vizc,fuel_oil,53-mulege,3.16,0.914285714,2015,53203.8,6.63,3167700,santa_rosalia_ci
tres_virgcos_central,geothermal,10-baja_california_sur-mulege,0,99048.565,0.0512,0.141,10,9.39,39,operational,,,53-mulege,0.06,0.939,2015,87118,0.06,2038100,tres_virgcos_central
u_movil,internal_combustion_fuel_oil,10-baja_california_sur-mulege,9.253568815,99048.565,0.1123,0.074,7.5,6.86,40,operational,c_n_vizc,fuel_oil,53-mulege,3.16,0.914666667,2015,53203.8,6.63,3167700,u_movil
chicoasen,hydroelectric,02-oriental,0,99048.565,0.03,0.01,2400,2101.44,41,operational,,,39-grijalva,0,0.8756,2015,24967.8,0,1910425,chicoasen
aragon,gas_turbine_natural_gas,01-central,9.073887868,99048.565,0.0922,0.055,32,31.2,42,operational,g_central,natural_gas,31-central,3.19,0.975,2015,7634.45,3.432,622320,aragon
atenco_lyfc,gas_turbine_natural_gas,01-central,8.89420692,99048.565,0.0922,0.055,32,31.2,43,operational,g_central,natural_gas,31-central,3.19,0.975,2015,7634.45,3.432,622320,atenco_lyfc
coapa,gas_turbine_natural_gas,01-central,8.804366445,99048.565,0.0922,0.055,32,31.2,44,operational,g_central,natural_gas,31-central,3.19,0.975,2015,7634.45,3.432,622320,coapa
coyotepec,gas_turbine_natural_gas,01-central,9.073887868,99048.565,0.0922,0.055,64,62.4,45,operational,g_central,natural_gas,31-central,3.19,0.975,2015,7634.45,3.432,622320,coyotepec
cuautitlan_lyfc,gas_turbine_natural_gas,01-central,8.984047394,99048.565,0.0922,0.055,32,31.2,46,operational,g_central,natural_gas,31-central,3.19,0.975,2015,7634.45,3.432,622320,cuautitlan_lyfc
ecatepec_lyfc,gas_turbine_natural_gas,01-central,9.163728341,99048.565,0.0922,0.055,32,31.2,47,operational,g_central,natural_gas,31-central,3.19,0.975,2015,7634.45,3.432,622320,ecatepec_lyfc
infiernillo,hydroelectric,03-occidental,0,99048.565,0.03,0.01,1200,1050.72,48,operational,,,29-lazaro_cardenas,0,0.8756,2015,24967.8,0,1910425,infiernillo
iztapalapa_lyfc,gas_turbine_natural_gas,01-central,8.984047394,99048.565,0.0922,0.055,32,31.2,49,operational,g_central,natural_gas,31-central,3.19,0.975,2015,7634.45,3.432,622320,iztapalapa_lyfc
malpaso,hydroelectric,02-oriental,0,99048.565,0.03,0.01,1080,945.648,50,operational,,,39-grijalva,0,0.8756,2015,24967.8,0,1910425,malpaso
magdalena,gas_turbine_natural_gas,01-central,9.073887868,99048.565,0.0922,0.055,32,31.2,51,operational,g_central,natural_gas,31-central,3.19,0.975,2015,7634.45,3.432,622320,magdalena
aguamilpa_solidaridad,hydroelectric,03-occidental,0,99048.565,0.03,0.01,960,840.576,52,operational,,,22-tepic,0,0.8756,2015,24967.8,0,1910425,aguamilpa_solidaridad
nonoalco_lyfc_u1,gas_turbine_natural_gas,01-central,19.04618047,99048.565,0.0922,0.055,32,31.2,53,operational,g_central,natural_gas,31-central,3.19,0.975,2015,7634.45,3.432,622320,nonoalco_lyfc
nonoalco_lyfc_u2,gas_turbine_natural_gas,01-central,19.04618047,99048.565,0.0922,0.055,32,31.2,54,operational,g_central,natural_gas,31-central,3.19,0.975,2015,7634.45,3.432,622320,nonoalco_lyfc
nonoalco_lyfc_u3,gas_turbine_natural_gas,01-central,19.04618047,99048.565,0.0922,0.055,42,40.95,55,operational,g_central,natural_gas,31-central,3.19,0.975,2015,7634.45,3.432,622320,nonoalco_lyfc
angostura,hydroelectric,02-oriental,0,99048.565,0.03,0.01,900,788.04,56,operational,,,39-grijalva,0,0.8756,2015,24967.8,0,1910425,angostura
remedios_lyfc,gas_turbine_natural_gas,01-central,8.624685497,99048.565,0.0922,0.055,32,31.2,57,operational,g_central,natural_gas,31-central,3.19,0.975,2015,7634.45,3.432,622320,remedios_lyfc
santa_cruz,gas_turbine_natural_gas,01-central,9.073887868,99048.565,0.0922,0.055,32,31.2,58,operational,g_central,natural_gas,31-central,3.19,0.975,2015,7634.45,3.432,622320,santa_cruz
el_cajon,hydroelectric,03-occidental,0,99048.565,0.03,0.01,750,656.7,59,operational,,,23-guadalajara,0,0.8756,2015,24967.8,0,1910425,el_cajon
tula,combined_cycle_natural_gas,01-central,8.984047394,99048.565,0.0696,0.077,489,474.819,60,operational,g,natural_gas,31-central,2.72,0.971,2015,16024.8,3.05,910280,tula
tula_tc_u1,thermal_fuel_oil,01-central,8.984047394,99048.565,0.1144,0.071,330,314.49,61,operational,c_n_tula,fuel_oil,31-central,2.2,0.953,2015,32104.6,2.688,1728420,tula_tc
tula_tc_u2,thermal_fuel_oil,01-central,8.984047394,99048.565,0.1144,0.071,330,314.49,62,operational,c_n_tula,fuel_oil,31-central,2.2,0.953,2015,32104.6,2.688,1728420,tula_tc
tula_tc_u3,thermal_fuel_oil,01-central,8.984047394,99048.565,0.1144,0.071,322.8,307.63,63,operational,c_n_tula,fuel_oil,31-central,2.2,0.953004957,2015,32104.6,2.688,1728420,tula_tc
tula_tc_u4,thermal_fuel_oil,01-central,8.984047394,99048.565,0.1144,0.071,322.8,307.63,64,operational,c_n_tula,fuel_oil,31-central,2.2,0.953004957,2015,32104.6,2.688,1728420,tula_tc
tula_tc_u5,thermal_fuel_oil,01-central,8.984047394,99048.565,0.1144,0.071,300,285.9,65,operational,c_n_tula,fuel_oil,31-central,2.2,0.953,2015,32104.6,2.688,1728420,tula_tc
valle_de_mexico,combined_cycle_natural_gas,01-central,10.15197355,99048.565,0.0696,0.077,549.3,534.47,66,operational,g,natural_gas,31-central,2.96,0.973002003,2015,16024.8,3.05,910280,valle_de_mexico
valle_de_mexico_tc_u1,thermal_fuel_oil,01-central,8.534845023,99048.565,0.1144,0.071,150,140.4,67,operational,c_n_tula,fuel_oil,31-central,3.13,0.936,2015,32104.6,2.688,1728420,valle_de_mexico_tc
valle_de_mexico_tc_u2,thermal_fuel_oil,01-central,8.534845023,99048.565,0.1144,0.071,150,140.4,68,operational,c_n_tula,fuel_oil,31-central,3.13,0.936,2015,32104.6,2.688,1728420,valle_de_mexico_tc
valle_de_mexico_tc_u3,thermal_fuel_oil,01-central,8.534845023,99048.565,0.1144,0.071,150,140.4,69,operational,c_n_tula,fuel_oil,31-central,3.13,0.936,2015,32104.6,2.688,1728420,valle_de_mexico_tc
vallejo_lyfc,gas_turbine_natural_gas,01-central,8.984047394,99048.565,0.0922,0.055,32,31.2,70,operational,g_central,natural_gas,31-central,3.19,0.975,2015,7634.45,3.432,622320,vallejo_lyfc
victoria_lyfc,gas_turbine_natural_gas,01-central,9.073887868,99048.565,0.0922,0.055,32,31.2,71,operational,g_central,natural_gas,31-central,3.19,0.975,2015,7634.45,3.432,622320,victoria_lyfc
villa_de_las_flores_lyfc,gas_turbine_natural_gas,01-central,9.523090232,99048.565,0.0922,0.055,32,31.2,72,operational,g_central,natural_gas,31-central,3.19,0.975,2015,7634.45,3.432,622320,villa_de_las_flores_lyfc
la_yesca,hydroelectric,03-occidental,0,99048.565,0.03,0.01,750,656.7,73,operational,,,23-guadalajara,0,0.8756,2015,24967.8,0,1910425,la_yesca
guerrero_negro_ii_tgmovil,gas_turbine_diesel,10-baja_california_sur-mulege,24.97565175,99048.565,0.0922,0.055,12.5,12.19,74,operational,d_bcn,diesel,53-mulege,3.19,0.9752,2015,20058,3.432,1085000,guerrero_negro_ii_tgmovil
guerrero_negro_eolica,wind,10-baja_california_sur-mulege,0,99048.565,0,0,0.6,0.14985,75,operational,,,53-mulege,0,0.24975,2015,24963,0,2016000,guerrero_negro_eolica
sta_rosalia,solar,10-baja_california_sur-mulege,0,99048.565,0,0,1,1,76,operational,,,53-mulege,0,1,2015,19000,0,2353000,sta_rosalia
u_movil_cfe-ume,gas_turbine_diesel,10-baja_california_sur-mulege,10.6910164,99048.565,0.0922,0.055,57,55.58,77,operational,d_bcn,diesel,53-mulege,3.19,0.975087719,2015,20058,3.432,1085000,u_movil_cfe-ume
u_movil_de_emergencia_ume-18,internal_combustion_fuel_oil,10-baja_california_sur-mulege,9.253568815,99048.565,0.1123,0.074,1.6,1.46,78,operational,c_n_vizc,fuel_oil,53-mulege,3.16,0.9125,2015,53203.8,6.63,3167700,u_movil_de_emergencia_ume-18
u_movil_de_emergencia_ume-19,internal_combustion_fuel_oil,10-baja_california_sur-mulege,9.253568815,99048.565,0.1123,0.074,1.6,1.46,79,operational,c_n_vizc,fuel_oil,53-mulege,3.16,0.9125,2015,53203.8,6.63,3167700,u_movil_de_emergencia_ume-19
u_movil_de_emergencia_ume-20,internal_combustion_fuel_oil,10-baja_california_sur-mulege,9.253568815,99048.565,0.1123,0.074,1.6,1.46,80,operational,c_n_vizc,fuel_oil,53-mulege,3.16,0.9125,2015,53203.8,6.63,3167700,u_movil_de_emergencia_ume-20
vizcaino,gas_turbine_diesel,10-baja_california_sur-mulege,33.42065631,99048.565,0.0922,0.055,14,13.65,81,operational,d_bcn,diesel,53-mulege,3.19,0.975,2015,20058,3.432,1085000,vizcaino
caracol,hydroelectric,02-oriental,0,99048.565,0.03,0.01,600,525.36,82,operational,,,35-acapulco,0,0.8756,2015,24967.8,0,1910425,caracol
chavez_u1,gas_turbine_natural_gas,05-norte,22.28043753,99048.565,0.0922,0.055,14,13.65,83,operational,zzon_nort,natural_gas,11-laguna,3.19,0.975,2015,7634.45,3.432,622320,chavez
chavez_u2,gas_turbine_natural_gas,05-norte,22.28043753,99048.565,0.0922,0.055,14,13.65,84,operational,zzon_nort,natural_gas,11-laguna,3.19,0.975,2015,7634.45,3.432,622320,chavez
chihuahua_ii,combined_cycle_natural_gas,05-norte,6.198992701,99048.565,0.0696,0.077,619.4,602.68,85,operational,zzon_nort,natural_gas,09-chihuahua,2.96,0.973006135,2015,16024.8,3.05,910280,chihuahua_ii
huites,hydroelectric,04-noroeste,0,99048.565,0.03,0.01,422,104.9725,86,operational,,,03-obregon,0,0.24875,2015,24967.8,0,1910425,huites
francisco_villa_u4,thermal_fuel_oil,05-norte,9.882452129,99048.565,0.1144,0.071,150,140.4,87,operational,c_n_chih,fuel_oil,09-chihuahua,3.13,0.936,2015,32104.6,2.688,1728420,francisco_villa
francisco_villa_u5,thermal_fuel_oil,05-norte,9.882452129,99048.565,0.1144,0.071,150,140.4,88,operational,c_n_chih,fuel_oil,09-chihuahua,3.13,0.936,2015,32104.6,2.688,1728420,francisco_villa
gomez_palacio,combined_cycle_natural_gas,05-norte,8.714525971,99048.565,0.0696,0.077,239.8,233.57,89,operational,zzon_nort,natural_gas,11-laguna,3.02,0.974020017,2015,16024.8,3.05,910280,gomez_palacio
industrial_juarez,gas_turbine_natural_gas,05-norte,17.15953052,99048.565,0.0922,0.055,18,17.55,90,operational,zzon_nort,natural_gas,07-juarez,3.19,0.975,2015,7634.45,3.432,622320,industrial_juarez
la_laguna_ii,combined_cycle_natural_gas,05-norte,7.187237915,99048.565,0.0696,0.077,498,483.56,91,operational,zzon_nort,natural_gas,11-laguna,2.72,0.971004016,2015,16024.8,3.05,910280,la_laguna_ii
la_laguna_u1_tg,gas_turbine_natural_gas,05-norte,17.51889241,99048.565,0.0922,0.055,14,13.65,92,operational,zzon_nort,natural_gas,11-laguna,3.19,0.975,2015,7634.45,3.432,622320,la_laguna_tg
la_laguna_u2_tg,gas_turbine_natural_gas,05-norte,17.51889241,99048.565,0.0922,0.055,14,13.65,93,operational,zzon_nort,natural_gas,11-laguna,3.19,0.975,2015,7634.45,3.432,622320,la_laguna_tg
la_laguna_u3_tg,gas_turbine_natural_gas,05-norte,17.51889241,99048.565,0.0922,0.055,14,13.65,94,operational,zzon_nort,natural_gas,11-laguna,3.19,0.975,2015,7634.45,3.432,622320,la_laguna_tg
la_laguna_u4_tg,gas_turbine_natural_gas,05-norte,17.51889241,99048.565,0.0922,0.055,14,13.65,95,operational,zzon_nort,natural_gas,11-laguna,3.19,0.975,2015,7634.45,3.432,622320,la_laguna_tg
lerdo_u1,thermal_fuel_oil,05-norte,9.523090232,99048.565,0.1144,0.071,160,149.76,96,operational,c_n_gpal,fuel_oil,11-laguna,3.13,0.936,2015,32104.6,2.688,1728420,lerdo
lerdo_u2,thermal_fuel_oil,05-norte,9.523090232,99048.565,0.1144,0.071,160,149.76,97,operational,c_n_gpal,fuel_oil,11-laguna,3.13,0.936,2015,32104.6,2.688,1728420,lerdo
norte_ii,combined_cycle_natural_gas,05-norte,6.288833175,99048.565,0.0696,0.077,433,420.01,98,operational,zzon_nort,natural_gas,09-chihuahua,2.73,0.97,2015,16024.8,3.05,910280,norte_ii
norte,combined_cycle_natural_gas,05-norte,6.558354598,99048.565,0.0696,0.077,450,436.95,99,operational,zzon_nort,natural_gas,10-durango,2.72,0.971,2015,16024.8,3.05,910280,norte
parque_u2,gas_turbine_diesel,05-norte,24.16708749,99048.565,0.0922,0.055,18,17.55,100,operational,d_naciona,diesel,07-juarez,3.19,0.975,2015,20058,3.432,1085000,parque
parque_u3,gas_turbine_diesel,05-norte,24.16708749,99048.565,0.0922,0.055,13,12.68,101,operational,d_naciona,diesel,07-juarez,3.19,0.975384615,2015,20058,3.432,1085000,parque
parque_u4,gas_turbine_diesel,05-norte,8.624685497,99048.565,0.0922,0.055,28,27.3,102,operational,d_naciona,diesel,07-juarez,3.19,0.975,2015,20058,3.432,1085000,parque
samalayuca_ii,combined_cycle_natural_gas,05-norte,7.097397441,99048.565,0.0696,0.077,521.76,507.67248,103,operational,zzon_nort,natural_gas,07-juarez,2.96,0.973,2015,16024.8,3.05,910280,samalayuca_ii
samalayuca_u1,thermal_fuel_oil,05-norte,10.3316545,99048.565,0.1144,0.071,158,147.89,104,operational,c_n_sama,fuel_oil,07-juarez,3.13,0.936012658,2015,32104.6,2.688,1728420,samalayuca
samalayuca_u2,thermal_fuel_oil,05-norte,10.3316545,99048.565,0.1144,0.071,158,147.89,105,operational,c_n_sama,fuel_oil,07-juarez,3.13,0.936012658,2015,32104.6,2.688,1728420,samalayuca
transalta_chihuahua_iii,combined_cycle_natural_gas,05-norte,7.726280759,99048.565,0.0696,0.077,259,252.27,106,operational,zzon_nort,natural_gas,07-juarez,3.02,0.974015444,2015,16024.8,3.05,910280,transalta_chihuahua_iii
penitas,hydroelectric,02-oriental,0,99048.565,0.03,0.01,420,367.752,107,operational,,,38-tabasco,0,0.8756,2015,24967.8,0,1910425,penitas
temascal,hydroelectric,02-oriental,0,99048.565,0.03,0.01,354,309.9624,108,operational,,,36-temascal,0,0.8756,2015,24967.8,0,1910425,temascal
culiacan,gas_turbine_diesel,04-noroeste,13.83543299,99048.565,0.0922,0.055,30,29.25,109,operational,d_naciona,diesel,05-culiacan,3.19,0.975,2015,20058,3.432,1085000,culiacan
villita,hydroelectric,03-occidental,0,99048.565,0.03,0.01,320,280.192,110,operational,,,29-lazaro_cardenas,0,0.8756,2015,24967.8,0,1910425,villita
zimapan,hydroelectric,03-occidental,0,99048.565,0.03,0.01,292,253.1056,111,operational,,,30-queretaro,0,0.8668,2015,24967.8,0,1910425,zimapan
fuerza_y_energia_de_hermosillo,combined_cycle_natural_gas,04-noroeste,6.288833175,99048.565,0.0696,0.077,250,243.5,112,operational,zzon_noro,natural_gas,01-hermosillo,3.02,0.974,2015,16024.8,3.05,910280,fuerza_y_energia_de_hermosillo
guaymas_ii_u1,thermal_fuel_oil,04-noroeste,9.70277118,99048.565,0.1144,0.071,84,78.71,113,operational,c_n_guay,fuel_oil,03-obregon,3.94,0.93702381,2015,32104.6,2.688,1728420,guaymas_ii
guaymas_ii_u2,thermal_fuel_oil,04-noroeste,9.70277118,99048.565,0.1144,0.071,84,78.71,114,operational,c_n_guay,fuel_oil,03-obregon,3.94,0.93702381,2015,32104.6,2.688,1728420,guaymas_ii
guaymas_ii_u3,thermal_fuel_oil,04-noroeste,9.70277118,99048.565,0.1144,0.071,158,147.89,115,operational,c_n_guay,fuel_oil,03-obregon,3.13,0.936012658,2015,32104.6,2.688,1728420,guaymas_ii
guaymas_ii_u4,thermal_fuel_oil,04-noroeste,9.70277118,99048.565,0.1144,0.071,158,147.89,116,operational,c_n_guay,fuel_oil,03-obregon,3.13,0.936012658,2015,32104.6,2.688,1728420,guaymas_ii
hermosillo,combined_cycle_natural_gas,04-noroeste,6.558354598,99048.565,0.0696,0.077,227.022,221.12,117,operational,zzon_noro,natural_gas,01-hermosillo,3.02,0.97400252,2015,16024.8,3.05,910280,hermosillo
agua_prieta,hydroelectric,03-occidental,0,99048.565,0.03,0.01,240,184.392,118,operational,,,23-guadalajara,0,0.7683,2015,24967.8,0,1910425,agua_prieta
mazatepec,hydroelectric,02-oriental,0,99048.565,0.03,0.01,220,169.026,119,operational,,,32-poza_rica,0,0.7683,2015,24967.8,0,1910425,mazatepec
industrial_caborca_u1,gas_turbine_diesel,04-noroeste,18.5969781,99048.565,0.0922,0.055,12,11.7,120,operational,d_naciona,diesel,01-hermosillo,3.19,0.975,2015,20058,3.432,1085000,industrial_caborca
industrial_caborca_u2,gas_turbine_diesel,04-noroeste,18.5969781,99048.565,0.0922,0.055,30,29.25,121,operational,d_naciona,diesel,01-hermosillo,3.19,0.975,2015,20058,3.432,1085000,industrial_caborca
mazatlan_ii_u1,thermal_fuel_oil,04-noroeste,9.433249763,99048.565,0.1144,0.071,158,147.89,122,operational,c_n_maza,fuel_oil,06-mazatlan,3.13,0.936012658,2015,32104.6,2.688,1728420,mazatlan_ii
mazatlan_ii_u2,thermal_fuel_oil,04-noroeste,9.433249763,99048.565,0.1144,0.071,158,147.89,123,operational,c_n_maza,fuel_oil,06-mazatlan,3.13,0.936012658,2015,32104.6,2.688,1728420,mazatlan_ii
