project_name,gen_tech,balancing_area,full_load_heat_rate,connect_cost_per_mw,variable_o_m,forced_outage_rate,scheduled_outage_rate,capacity_limit_mw,start_year,capacity_mw,overnight_cost,fixed_o_m,project_id,being_built,fuel_code,fuel_oil,load_zone
rio_bravo_iii,combined_cycle_natural_gas,06-noreste,7.6,0,2.96,,7.7,495.0,,480.7,807.0,16.98,165,operational,g_ahnrr,natural_gas,15-matamoros
rio_bravo_iv,combined_cycle_natural_gas,06-noreste,7.6,0,2.96,,7.7,500.0,,485.5,807.0,16.98,166,operational,g_ahnrr,natural_gas,15-matamoros
rio_escondido,carboelectric_coal,06-noreste,10.3,0,2.46,,6.4,1200.0,,1148.4,1425.0,33.863,167,operational,ca_rioes,coal,12-rio_escondido
saltillo,combined_cycle_natural_gas,06-noreste,7.5,0,3.02,,7.7,247.5,,239.8,834.0,17.314,168,operational,g_ahnrr,natural_gas,17-saltillo
tamazunchale,combined_cycle_natural_gas,06-noreste,7.3,0,2.69,,7.7,1135.0,,1101.0,764.0,15.029,169,operational,gn_tamazu,natural_gas,20-tamazunchale
tecnologico,gas_turbine_diesel,06-noreste,15.2,0,3.08,,5.5,26.0,,25.4,1035.0,20.058,170,operational,d_naciona,diesel,16-monterrey
universidad_u1,gas_turbine_natural_gas,06-noreste,19.8,0,3.19,,5.5,12.0,,11.7,1059.0,28.477,171,operational,g_ahnrr,natural_gas,16-monterrey
universidad_u2,gas_turbine_natural_gas,06-noreste,19.8,0,3.19,,5.5,12.0,,11.7,1059.0,28.477,172,operational,g_ahnrr,natural_gas,16-monterrey
el_sauz_ii,combined_cycle_natural_gas,03-occidental,8.3,0,2.96,,7.7,495.0,,480.7,807.0,16.98,173,operational,g_sauzqro,natural_gas,30-queretaro
la_amistad,hydroelectric,06-noreste,0.0,0,0.0,,1.0,240.0,,50.7,1173.0,25.244,174,operational,,,12-rio_escondido
cobano,hydroelectric,03-occidental,0.0,0,0.0,,1.0,960.0,,46.1,1173.0,25.244,175,operational,,,29-lazaro_cardenas
el_fuerte,hydroelectric,04-noroeste,0.0,0,0.0,,1.0,0.75,,14.6,2891.0,30.576,176,operational,,,04-los_mochis
colimilla,hydroelectric,03-occidental,0.0,0,0.0,,1.0,18.0,,39.3,2891.0,30.576,177,operational,,,23-guadalajara
tepexic,hydroelectric,02-oriental,0.0,0,0.0,,1.0,60.0,,30.0,2891.0,30.576,178,operational,,,34-puebla
cogcoracion_salamanca,gas_turbine_natural_gas,03-occidental,11.8,0,3.13,,5.5,393.0,,388.7,510.0,6.44,179,operational,g_petsal,natural_gas,26-salamanca
patla,hydroelectric,02-oriental,0.0,0,0.0,,1.0,51.2,,28.4,2891.0,30.576,180,operational,,,32-poza_rica
tuxpango,hydroelectric,02-oriental,0.0,0,0.0,,1.0,80.0,,27.7,2891.0,30.576,181,operational,,,36-temascal
compania_de_energia_mexicana,hydroelectric,02-oriental,0.0,0,0.0,,1.0,750.0,,27.7,1173.0,25.244,182,operational,,,32-poza_rica
el_sauz,combined_cycle_natural_gas,03-occidental,6.9,0,2.96,,7.7,591.0,,575.0,807.0,16.98,183,operational,g_sauzqro,natural_gas,30-queretaro
huicot,internal_combustion_fuel_oil,03-occidental,10.3,0,3.16,,7.4,1.18,,1.1,2960.0,28.044,184,operational,c_i_manza,fuel_oil,22-tepic
falcon,hydroelectric,06-noreste,0.0,0,0.0,,1.0,5.32,,24.2,2891.0,30.576,185,operational,,,13-nuevo_laredo
electricidad_del_golfo,hydroelectric,02-oriental,0.0,0,0.0,,1.0,0.624,,23.0,2891.0,30.576,186,operational,,,36-temascal
mexicana_de_hidroelectricidad_mexhidro,hydroelectric,02-oriental,0.0,0,0.0,,1.0,2.18,,23.0,2891.0,30.576,187,operational,,,35-acapulco
chilapan,hydroelectric,02-oriental,0.0,0,0.0,,1.0,750.0,,20.0,1173.0,25.244,188,operational,,,37-coatzacoalcos
los_azufres,geothermal,03-occidental,0.0,0,0.06,,14.1,210.0,,197.2,2261.0,111.839,189,operational,,,28-carapan
los_azufres_u2,geothermal,03-occidental,0.0,0,0.06,,14.1,5.0,,4.7,1821.0,87.118,190,operational,,,28-carapan
los_azufres_u6,geothermal,03-occidental,0.0,0,0.06,,14.1,5.0,,4.7,1821.0,87.118,191,operational,,,28-carapan
los_azufres_u8,geothermal,03-occidental,0.0,0,0.06,,14.1,5.0,,4.7,1821.0,87.118,192,operational,,,28-carapan
manzanillo_central,thermal_fuel_oil,03-occidental,10.5,0,2.2,,7.1,700.0,,667.1,1309.0,28.477,193,operational,c_i_manza,fuel_oil,27-manzanillo
manzanillo_u3_tc,thermal_fuel_oil,03-occidental,10.5,0,2.2,,7.1,300.0,,285.9,1309.0,28.477,194,operational,c_i_manza,fuel_oil,27-manzanillo
manzanillo_u4_tc,thermal_fuel_oil,03-occidental,10.5,0,2.2,,7.1,300.0,,285.9,1309.0,28.477,195,operational,c_i_manza,fuel_oil,27-manzanillo
manzanillo_p1,combined_cycle_natural_gas,03-occidental,6.9,0,2.77,,7.7,726.954,,707.3,785.0,15.741,196,operational,g_petsal,natural_gas,27-manzanillo
manzanillo_p2,combined_cycle_natural_gas,03-occidental,6.9,0,2.77,,7.7,726.954,,707.3,785.0,15.741,197,operational,g_petsal,natural_gas,27-manzanillo
petacalco,carboelectric_coal,03-occidental,9.8,0,2.46,,6.4,2778.36,,2658.9,1425.0,33.863,198,operational,ca_i_peta,coal,29-lazaro_cardenas
boquilla,hydroelectric,05-norte,0.0,0,0.0,,1.0,12.6,,19.2,2891.0,30.576,199,operational,,,09-chihuahua
el_retiro,hydroelectric,02-oriental,0.0,0,0.0,,1.0,9.0,,16.1,2891.0,30.576,200,operational,,,39-grijalva
salamanca_u3,thermal_fuel_oil,03-occidental,11.1,0,2.2,,7.1,300.0,,285.9,1309.0,28.477,201,operational,c_n_sala,fuel_oil,26-salamanca
salamanca_u4,thermal_fuel_oil,03-occidental,11.1,0,3.13,,7.1,250.0,,234.0,1607.0,35.183,202,operational,c_n_sala,fuel_oil,26-salamanca
primero_empresa_minera,hydroelectric,04-noroeste,0.0,0,0.0,,1.0,2.56,,4.9,2891.0,30.576,203,operational,,,05-culiacan
oviachic,hydroelectric,04-noroeste,0.0,0,0.0,,1.0,70.0,,4.7,2891.0,30.576,204,operational,,,03-obregon
proveedora_de_electricidad_de_occidente,hydroelectric,03-occidental,0.0,0,0.0,,1.0,1.096,,14.6,2891.0,30.576,205,operational,,,23-guadalajara
villa_de_reyes_u1,thermal_fuel_oil,03-occidental,10.6,0,2.2,,7.1,350.0,,333.6,1309.0,28.477,206,operational,c_n_vrey,fuel_oil,25-san_luis_potosi
villa_de_reyes_u2,thermal_fuel_oil,03-occidental,10.6,0,2.2,,7.1,350.0,,333.6,1309.0,28.477,207,operational,c_n_vrey,fuel_oil,25-san_luis_potosi
el_salto,hydroelectric,06-noreste,0.0,0,0.0,,1.0,292.0,,13.8,1173.0,25.244,208,operational,,,18-valles
botello,hydroelectric,03-occidental,0.0,0,0.0,,1.0,8.4,,13.8,2891.0,30.576,209,operational,,,28-carapan
minas,hydroelectric,02-oriental,0.0,0,0.0,,1.0,900.0,,11.5,1173.0,25.244,210,operational,,,36-temascal
sanalona,hydroelectric,04-noroeste,0.0,0,0.0,,1.0,5.24,,3.4,2891.0,30.576,211,operational,,,05-culiacan
platanal,hydroelectric,03-occidental,0.0,0,0.0,,1.0,600.0,,9.7,1173.0,25.244,212,operational,,,28-carapan
procesamiento_energetico_mexicano,hydroelectric,02-oriental,0.0,0,0.0,,1.0,2400.0,,8.7,1173.0,25.244,213,operational,,,36-temascal
encanto,hydroelectric,02-oriental,0.0,0,0.0,,1.0,26.0,,7.7,2891.0,30.576,214,operational,,,32-poza_rica
cerveceria_cuauhtemoc-moctezuma_planta_orizaba,hydroelectric,00-autoabasto,0.0,0,0.0,,1.0,8.0,,7.7,2891.0,30.576,215,operational,,,00-autoabasto_local
dos_bocas_u1,combined_cycle_natural_gas,02-oriental,11.0,0,4.43,,7.7,63.0,,61.1,1404.0,24.585,216,operational,g_2boca,natural_gas,33-veracruz
dos_bocas_u2,combined_cycle_natural_gas,02-oriental,11.0,0,4.43,,7.7,63.0,,61.1,1404.0,24.585,217,operational,g_2boca,natural_gas,33-veracruz
dos_bocas_u3,combined_cycle_natural_gas,02-oriental,11.0,0,4.43,,7.7,63.0,,61.1,1404.0,24.585,218,operational,g_2boca,natural_gas,33-veracruz
dos_bocas_u4,combined_cycle_natural_gas,02-oriental,11.0,0,4.43,,7.7,63.0,,61.1,1404.0,24.585,219,operational,g_2boca,natural_gas,33-veracruz
dos_bocas_u5,combined_cycle_natural_gas,02-oriental,11.0,0,4.43,,7.7,100.0,,96.9,1404.0,24.585,220,operational,g_2boca,natural_gas,33-veracruz
dos_bocas_u6,combined_cycle_natural_gas,02-oriental,11.0,0,4.43,,7.7,100.0,,96.9,1404.0,24.585,221,operational,g_2boca,natural_gas,33-veracruz
mocuzari,hydroelectric,04-noroeste,0.0,0,0.0,,1.0,21.0,,2.4,2891.0,30.576,222,operational,,,03-obregon
hidroelectricidad_del_pacifico,hydroelectric,03-occidental,0.0,0,0.0,,1.0,10.0,,7.0,2891.0,30.576,223,operational,,,27-manzanillo
puente_grande,hydroelectric,03-occidental,0.0,0,0.0,,1.0,1.6,,6.9,2891.0,30.576,224,operational,,,23-guadalajara
la_mata__pie,eolic,02-oriental,0.0,0,0.0,,0.0,102.0,,30.6,1836.0,24.963,225,operational,,,40-ixtepec
la_venta_i-ii,eolic,02-oriental,0.0,0,0.0,,0.0,84.2,,25.2,1836.0,24.963,226,operational,,,40-ixtepec
la_venta_iii_pie,eolic,02-oriental,0.0,0,0.0,,0.0,102.85,,30.8,1836.0,24.963,227,operational,,,40-ixtepec
laguna_verde_central,nuclear_uranium,02-oriental,10.4,0,2.25,,11.4,1510.0,,1457.2,3983.0,98.0,228,operational,nuc,uranium,33-veracruz
los_humeros_central,geothermal,02-oriental,0.0,0,0.06,,14.1,53.6,,50.3,2261.0,111.839,229,operational,,,34-puebla
los_humeros_u3,geothermal,02-oriental,0.0,0,0.06,,14.1,5.0,,4.7,1821.0,87.118,230,operational,,,34-puebla
los_humeros_u6,geothermal,02-oriental,0.0,0,0.06,,14.1,5.0,,4.7,1821.0,87.118,231,operational,,,34-puebla
los_humeros_u8,geothermal,02-oriental,0.0,0,0.06,,14.1,5.0,,4.7,1821.0,87.118,232,operational,,,34-puebla
zumpimito,hydroelectric,03-occidental,0.0,0,0.0,,1.0,1080.0,,6.5,1173.0,25.244,233,operational,,,28-carapan
hidroelectrica_arco_iris,hydroelectric,03-occidental,0.0,0,0.0,,1.0,220.0,,6.5,1173.0,25.244,234,operational,,,23-guadalajara
colotlipa,hydroelectric,02-oriental,0.0,0,0.0,,1.0,15.0,,6.1,2891.0,30.576,235,operational,,,35-acapulco
oaxaca_i_pie,eolic,02-oriental,0.0,0,0.0,,0.0,102.0,,30.6,1836.0,24.963,236,operational,,,40-ixtepec
oaxaca_ii_pie,eolic,02-oriental,0.0,0,0.0,,0.0,102.0,,30.6,1836.0,24.963,237,operational,,,40-ixtepec
oaxaca_iii_pie,eolic,02-oriental,0.0,0,0.0,,0.0,102.0,,30.6,1836.0,24.963,238,operational,,,40-ixtepec
oaxaca_iv_pie,eolic,02-oriental,0.0,0,0.0,,0.0,102.0,,30.6,1836.0,24.963,239,operational,,,40-ixtepec
alameda,hydroelectric,01-central,0.0,0,0.0,,1.0,420.0,,5.4,1173.0,25.244,240,operational,,,31-central
intermedia,hydroelectric,03-occidental,0.0,0,0.0,,1.0,2.0,,4.1,2891.0,30.576,241,operational,,,23-guadalajara
bombana,hydroelectric,02-oriental,0.0,0,0.0,,1.0,2.12,,4.0,2891.0,30.576,242,operational,,,39-grijalva
poza_rica_u1,thermal_fuel_oil,02-oriental,14.4,0,3.94,,7.1,39.0,,36.5,2018.0,44.254,243,operational,c_n_poza,fuel_oil,32-poza_rica
poza_rica_u2,thermal_fuel_oil,02-oriental,14.1,0,3.94,,7.1,39.0,,36.5,2018.0,44.254,244,operational,c_n_poza,fuel_oil,32-poza_rica
poza_rica_u3,thermal_fuel_oil,02-oriental,14.5,0,3.94,,7.1,39.0,,36.5,2018.0,44.254,245,operational,c_n_poza,fuel_oil,32-poza_rica
san_lorenzo_potencia,combined_cycle_natural_gas,02-oriental,7.3,0,2.73,,7.7,382.12,,372.2,777.0,15.553,246,operational,g_slorp,natural_gas,34-puebla
hidrorizaba_ii,hydroelectric,02-oriental,0.0,0,0.0,,1.0,2.24,,3.4,2891.0,30.576,247,operational,,,33-veracruz
gobierno_del_estado_de_michoacan_de_ocampo,hydroelectric,03-occidental,0.0,0,0.0,,1.0,2.48,,3.1,2891.0,30.576,248,operational,,,28-carapan
colina,hydroelectric,05-norte,0.0,0,0.0,,1.0,354.0,,2.3,1173.0,25.244,249,operational,,,09-chihuahua
san_pedro_poruas,hydroelectric,03-occidental,0.0,0,0.0,,1.0,1.6,,2.0,2891.0,30.576,250,operational,,,28-carapan
tuxpan_u1_tc,thermal_fuel_oil,02-oriental,10.3,0,2.2,,7.1,350.0,,333.6,1309.0,28.477,251,operational,c_n_tuxp,fuel_oil,32-poza_rica
tuxpan_u2_tc,thermal_fuel_oil,02-oriental,10.3,0,2.2,,7.1,350.0,,333.6,1309.0,28.477,252,operational,c_n_tuxp,fuel_oil,32-poza_rica
tuxpan_u3_tc,thermal_fuel_oil,02-oriental,10.3,0,2.2,,7.1,350.0,,333.6,1309.0,28.477,253,operational,c_n_tuxp,fuel_oil,32-poza_rica
tuxpan_u4_tc,thermal_fuel_oil,02-oriental,10.3,0,2.2,,7.1,350.0,,333.6,1309.0,28.477,254,operational,c_n_tuxp,fuel_oil,32-poza_rica
tuxpan_u5_tc,thermal_fuel_oil,02-oriental,10.3,0,2.2,,7.1,350.0,,333.6,1309.0,28.477,255,operational,c_n_tuxp,fuel_oil,32-poza_rica
tuxpan_u6_tc,thermal_fuel_oil,02-oriental,10.3,0,2.2,,7.1,350.0,,333.6,1309.0,28.477,256,operational,c_n_tuxp,fuel_oil,32-poza_rica
tuxpan_ii,combined_cycle_natural_gas,02-oriental,7.7,0,2.96,,7.7,495.0,,480.7,807.0,16.98,257,operational,g_tuxpoz,natural_gas,32-poza_rica
tuxpan_iii_y_iv,combined_cycle_natural_gas,02-oriental,7.4,0,2.69,,7.7,983.0,,953.5,764.0,15.029,258,operational,g_tuxpoz,natural_gas,32-poza_rica
tuxpan_v,combined_cycle_natural_gas,02-oriental,7.4,0,2.96,,7.7,495.0,,480.7,807.0,16.98,259,operational,gn_tuxp,natural_gas,32-poza_rica
compania_electrica_carolina,hydroelectric,00-autoabasto,0.0,0,0.0,,1.0,36.0,,1.9,2891.0,30.576,260,operational,,,00-autoabasto_local
cancun_tg1,gas_turbine_diesel,07-peninsular,18.3,0,3.08,,5.5,14.0,,13.7,1035.0,20.058,261,operational,d_penins,diesel,43-cancun
cancun_tg2,gas_turbine_diesel,07-peninsular,18.3,0,3.08,,5.5,14.0,,13.7,1035.0,20.058,262,operational,d_penins,diesel,43-cancun
cancun_tg3,gas_turbine_diesel,07-peninsular,18.3,0,3.08,,5.5,30.0,,29.3,1035.0,20.058,263,operational,d_penins,diesel,43-cancun
cancun_tg5,gas_turbine_diesel,07-peninsular,18.3,0,3.08,,5.5,44.0,,42.9,1035.0,20.058,264,operational,d_penins,diesel,43-cancun
chankanaab_u1,gas_turbine_diesel,07-peninsular,18.4,0,3.08,,5.5,14.0,,13.7,1035.0,20.058,265,operational,d_penins,diesel,45-cozumel
chankanaab_u2,gas_turbine_diesel,07-peninsular,18.4,0,3.08,,5.5,14.0,,13.7,1035.0,20.058,266,operational,d_penins,diesel,45-cozumel
chankanaab_u4,gas_turbine_diesel,07-peninsular,18.4,0,3.08,,5.5,25.0,,24.4,1035.0,20.058,267,operational,d_penins,diesel,45-cozumel
ciudad_del_carmen_u1,gas_turbine_diesel,07-peninsular,23.9,0,3.08,,5.5,14.0,,13.7,1035.0,20.058,268,operational,d_penins,diesel,41-lerma
ciudad_del_carmen_u2,gas_turbine_diesel,07-peninsular,23.9,0,3.08,,5.5,16.0,,15.6,1035.0,20.058,269,operational,d_penins,diesel,41-lerma
ciudad_del_carmen_u3,gas_turbine_diesel,07-peninsular,23.9,0,3.08,,5.5,17.0,,16.6,1035.0,20.058,270,operational,d_penins,diesel,41-lerma
holbox,internal_combustion_fuel_oil,07-peninsular,10.3,0,3.16,,7.4,3.2,,2.9,2960.0,28.044,271,operational,c_n_meri,fuel_oil,43-cancun
lerma_u2,thermal_fuel_oil,07-peninsular,12.9,0,3.94,,7.1,37.5,,35.1,2018.0,44.254,272,operational,c_n_lerm,fuel_oil,41-lerma
lerma_u3,thermal_fuel_oil,07-peninsular,12.9,0,3.94,,7.1,37.5,,35.1,2018.0,44.254,273,operational,c_n_lerm,fuel_oil,41-lerma
lerma_u4,thermal_fuel_oil,07-peninsular,12.9,0,3.94,,7.1,37.5,,35.1,2018.0,44.254,274,operational,c_n_lerm,fuel_oil,41-lerma
merida_ii_tg,gas_turbine_diesel,07-peninsular,20.1,0,3.08,,5.5,30.0,,29.3,1035.0,20.058,275,operational,d_penins,diesel,42-merida
merida_ii_u1_tc,thermal_fuel_oil,07-peninsular,12.5,0,3.94,,7.1,84.0,,78.7,2018.0,44.254,276,operational,c_n_meri,fuel_oil,42-merida
merida_ii_u2_tc,thermal_fuel_oil,07-peninsular,12.5,0,3.94,,7.1,84.0,,78.7,2018.0,44.254,277,operational,c_n_meri,fuel_oil,42-merida
merida_iii,combined_cycle_natural_gas,07-peninsular,7.9,0,2.73,,7.7,484.0,,470.0,765.0,15.471,278,operational,g_penin,natural_gas,42-merida
nachi_-_cocom_tg,gas_turbine_diesel,07-peninsular,26.5,0,3.08,,5.5,30.0,,29.3,1035.0,20.058,279,operational,d_penins,diesel,42-merida
nizuc_u1,gas_turbine_diesel,07-peninsular,16.1,0,3.08,,5.5,44.0,,42.9,1035.0,20.058,280,operational,d_penins,diesel,43-cancun
nizuc_u2,gas_turbine_diesel,07-peninsular,16.1,0,3.08,,5.5,44.0,,42.9,1035.0,20.058,281,operational,d_penins,diesel,43-cancun
transalta_campeche,combined_cycle_natural_gas,07-peninsular,8.2,0,3.02,,7.7,252.4,,245.8,834.0,17.314,282,operational,g_penin,natural_gas,41-lerma
valladolid,combined_cycle_natural_gas,07-peninsular,10.2,0,3.02,,7.7,220.0,,213.2,834.0,17.314,283,operational,g_penin,natural_gas,42-merida
valladolid_u1_tc,thermal_fuel_oil,07-peninsular,13.5,0,3.94,,7.1,37.5,,35.1,2018.0,44.254,284,operational,c_n_vall,fuel_oil,42-merida
valladolid_u2_tc,thermal_fuel_oil,07-peninsular,13.5,0,3.94,,7.1,37.5,,35.1,2018.0,44.254,285,operational,c_n_vall,fuel_oil,42-merida
valladolid_iii,combined_cycle_natural_gas,07-peninsular,7.3,0,2.96,,7.7,525.0,,510.8,807.0,16.98,286,operational,g_penin,natural_gas,42-merida
xul_-_ha_cfe_18000,gas_turbine_diesel,07-peninsular,9.6,0,3.08,,5.5,12.5,,12.2,1035.0,20.058,287,operational,d_penins,diesel,44-chetumal
xul_-_ha_u1_tg,gas_turbine_diesel,07-peninsular,24.4,0,3.08,,5.5,14.0,,13.7,1035.0,20.058,288,operational,d_penins,diesel,44-chetumal
xul_-_ha_u2_tg,gas_turbine_diesel,07-peninsular,24.4,0,3.08,,5.5,25.7,,25.1,1035.0,20.058,289,operational,d_penins,diesel,44-chetumal
yuumiliik,eolic,07-peninsular,0.0,0,0.0,,0.0,1.5,,0.4,1836.0,24.963,290,operational,,,43-cancun
agnico_eagle_mexico,internal_combustion_diesel,05-norte,12.4,0,3.16,,7.4,14.6,,13.4,2960.0,28.044,291,operational,d_naciona,diesel,09-chihuahua
agribrands_purina_mexico,internal_combustion_natural_gas,03-occidental,10.6,0,3.16,,7.4,0.874,,0.8,2960.0,28.044,292,operational,g_sauzqro,natural_gas,26-salamanca
agroenergia,thermal_natural_gas,03-occidental,9.6,0,3.94,,7.1,12.0,,11.2,2018.0,44.254,293,operational,g_petsal,natural_gas,30-queretaro
alimentos_kowi,internal_combustion_diesel,04-noroeste,13.3,0,3.16,,7.4,1.78,,1.6,2960.0,28.044,294,operational,d_naciona,diesel,03-obregon
almidones_mexicanos,gas_turbine_natural_gas,03-occidental,18.2,0,3.19,,5.5,12.0,,11.7,1059.0,28.477,295,operational,g_petsal,natural_gas,23-guadalajara
altos_hornos_de_mexico,combined_cycle_natural_gas,06-noreste,14.4,0,3.02,,7.7,220.3,,214.6,834.0,17.314,296,operational,g_ahnrr,natural_gas,12-rio_escondido
atlatec,bioenergy_natural_gas,03-occidental,10.2,0,15.0,,7.4,1.049,,1.0,1980.0,60.0,297,operational,g_sauzqro,natural_gas,30-queretaro
autoabastecimiento_renovable,solar,03-occidental,0.0,0,0.0,,0.0,0.787,,0.8,2128.0,19.0,298,operational,,,24-aguascalientes
avomex_internacional,internal_combustion_diesel,06-noreste,9.1,0,3.16,,7.4,4.0,,3.7,2960.0,28.044,299,operational,d_naciona,diesel,12-rio_escondido
bii_nee_stipa_energia_eolica,eolic,02-oriental,0.0,0,0.0,,0.0,26.35,,7.9,1836.0,24.963,300,operational,,,40-ixtepec
bio_pappel_printing,gas_turbine_natural_gas,02-oriental,13.4,0,3.19,,5.5,40.375,,39.4,1059.0,28.477,301,operational,gn_tuxp,natural_gas,36-temascal
bio_pappel,gas_turbine_natural_gas,05-norte,13.5,0,3.19,,5.5,22.86,,22.3,1059.0,28.477,302,operational,zzon_nort,natural_gas,10-durango
bioenergia_de_nuevo_leon,bioenergy_natural_gas,06-noreste,12.2,0,15.0,,7.4,16.96,,15.5,1980.0,60.0,303,operational,g_ahnrr,natural_gas,16-monterrey
bsm_energia_de_veracruz,bioenergy_diesel,02-oriental,51.5,0,15.0,,7.1,12.75,,12.0,1980.0,60.0,304,operational,d_naciona,diesel,36-temascal
cartones_ponderosa,internal_combustion_fuel_oil,03-occidental,10.0,0,3.16,,7.4,19.992,,18.3,2960.0,28.044,305,operational,c_n_vrey,fuel_oil,30-queretaro
ce_g_sanborns,cogen_natural_gas,01-central,10.1,0,3.05,,7.4,1.154,,1.1,866.0,17.017,306,operational,g_central,natural_gas,31-central
celulosa_de_fibras_mexicanas,combined_cycle_natural_gas,02-oriental,16.7,0,4.43,,7.7,6.641,,6.4,1404.0,24.585,307,operational,g_slorp,natural_gas,34-puebla
cobielec,internal_combustion_natural_gas,02-oriental,11.3,0,3.16,,7.4,2.8,,2.6,2960.0,28.044,308,operational,g_slorp,natural_gas,34-puebla
cogcoracion_de_energia_limpia_de_cosoleacaque,cogen_natural_gas,02-oriental,9.7,0,3.05,,7.7,118.0,,114.3,866.0,17.017,309,operational,gn_tuxp,natural_gas,37-coatzacoalcos
compania_cervecera_de_coahuila,thermal_fuel_oil,06-noreste,11.5,0,3.94,,7.1,16.0,,15.0,2018.0,44.254,310,operational,c_n_coah,fuel_oil,12-rio_escondido
tamazulapan,hydroelectric,02-oriental,0.0,0,0.0,,1.0,36.0,,1.9,2891.0,30.576,311,operational,,,36-temascal
compania_eolica_de_tamaulipas,eolic,06-noreste,0.0,0,0.0,,0.0,54.0,,13.5,1836.0,24.963,312,operational,,,21-guemez
cooperativa_la_cruz_azul,bioenergy_natural_gas,03-occidental,10.3,0,15.0,,7.4,1.01,,0.9,1980.0,60.0,313,operational,g_sauzqro,natural_gas,24-aguascalientes
coppel,solar,04-noroeste,0.0,0,0.0,,0.0,0.986,,1.0,2128.0,19.0,314,operational,,,01-hermosillo
csi_en_saltillo,gas_turbine_natural_gas,06-noreste,9.6,0,3.19,,5.5,2.6,,2.5,1059.0,28.477,315,operational,g_ahnrr,natural_gas,17-saltillo
deacero_power,combined_cycle_natural_gas,06-noreste,7.2,0,4.43,,7.7,200.0,,193.8,1404.0,24.585,316,operational,g_ahnrr,natural_gas,17-saltillo
desarrollos_eolicos_mexicanos_de_oaxaca_1,eolic,02-oriental,0.0,0,0.0,,0.0,90.0,,27.0,1836.0,24.963,317,operational,,,40-ixtepec
desarrolloseolicosmexicanos2_piedralarga,eolic,02-oriental,0.0,0,0.0,,0.0,137.5,,41.2,1836.0,24.963,318,operational,,,40-ixtepec
destileria_del_golfo,bioenergy_diesel,02-oriental,9.6,0,15.0,,7.1,8.0,,7.5,1980.0,60.0,319,operational,d_naciona,diesel,33-veracruz
dominica_energia_limpia,eolic,03-occidental,0.0,0,0.0,,0.0,200.0,,30.0,1836.0,24.963,320,operational,,,25-san_luis_potosi
draexlmaier_components_automotive_de_mexico,internal_combustion_diesel,03-occidental,10.3,0,3.16,,7.4,2.0,,1.8,2960.0,28.044,321,operational,d_naciona,diesel,25-san_luis_potosi
el_palacio_de_hierro_guadalajara,internal_combustion_diesel,03-occidental,11.3,0,3.16,,7.4,3.345,,3.1,2960.0,28.044,322,operational,d_naciona,diesel,23-guadalajara
el_palacio_de_hierro_monterrey,gas_turbine_natural_gas,06-noreste,17.6,0,3.19,,5.5,1.2,,1.2,1059.0,28.477,323,operational,g_ahnrr,natural_gas,16-monterrey
electrica_del_valle_de_mexico,eolic,02-oriental,0.0,0,0.0,,0.0,67.5,,20.2,1836.0,24.963,324,operational,,,40-ixtepec
schpoina,hydroelectric,02-oriental,0.0,0,0.0,,1.0,30.0,,1.7,2891.0,30.576,325,operational,,,39-grijalva
ener-g_planta_celaya,bioenergy_natural_gas,05-norte,11.1,0,15.0,,7.4,1.6,,1.5,1980.0,60.0,326,operational,zzon_nort,natural_gas,10-durango
energia_azteca_viii,combined_cycle_natural_gas,03-occidental,6.8,0,4.43,,7.7,131.1,,127.0,1404.0,24.585,327,operational,g_sauzqro,natural_gas,30-queretaro
energia_azteca_x,combined_cycle_natural_gas,08-baja_california,7.1,0,3.02,,7.7,218.62,,212.9,834.0,17.314,328,operational,zzon_noro,natural_gas,48-mexicali
energia_chihuahua,combined_cycle_natural_gas,05-norte,7.8,0,4.43,,7.7,50.0,,48.5,1404.0,24.585,329,operational,zzon_nort,natural_gas,07-juarez
jumatan,hydroelectric,03-occidental,0.0,0,0.0,,1.0,0.412,,1.7,2891.0,30.576,330,operational,,,22-tepic
energia_lactea,bioenergy_natural_gas,05-norte,10.3,0,15.0,,7.4,0.8,,0.7,1980.0,60.0,331,operational,zzon_nort,natural_gas,09-chihuahua
energia_mk_kf,cogen_natural_gas,06-noreste,9.5,0,3.05,,5.5,35.93,,35.0,866.0,17.017,332,operational,gn_altam,natural_gas,19-huasteca
energia_renovable_de_cuautla,cogen_natural_gas,01-central,10.3,0,3.05,,7.4,1.065,,1.0,866.0,17.017,333,operational,g_central,natural_gas,31-central
energia_san_luis_de_la_paz,combined_cycle_natural_gas,03-occidental,7.2,0,3.02,,7.7,220.0,,214.3,834.0,17.314,334,operational,g_sauzqro,natural_gas,30-queretaro
energia_san_pedro,cogen_natural_gas,06-noreste,19.4,0,3.05,,5.5,2.0,,2.0,866.0,17.017,335,operational,g_ahnrr,natural_gas,16-monterrey
energia_sonora_ppe,eolic,04-noroeste,0.0,0,0.0,,0.0,2.0,,1.1,1836.0,24.963,336,operational,,,01-hermosillo
energreen_energia_pi,bioenergy_natural_gas,01-central,31.1,0,15.0,,7.4,0.6,,0.6,1980.0,60.0,337,operational,g_central,natural_gas,31-central
enertek,gas_turbine_natural_gas,06-noreste,10.4,0,3.2,,5.5,168.0,,166.2,573.0,7.102,338,operational,gn_altam,natural_gas,19-huasteca
ensambles_hyson,internal_combustion_diesel,08-baja_california,11.0,0,3.16,,7.4,1.825,,1.7,2960.0,28.044,339,operational,d_bcn,diesel,46-tijuana
