project_name,gen_tech,balancing_area,full_load_heat_rate,connect_cost_per_mw,variable_o_m,forced_outage_rate,scheduled_outage_rate,capacity_limit_mw,start_year,capacity_mw,overnight_cost,fixed_o_m,project_id,being_built,fuel_code,fuel_oil,load_zone
punta_prieta_ii_u3,thermal_diesel,09-baja_california_sur-la_paz,12.0,0,3.94,,7.1,37.5,,35.1,2018.0,44.254,31,operational,d_bcn,diesel,51-la_paz
san_carlos_u1,internal_combustion_fuel_oil,09-baja_california_sur-la_paz,8.4,0,8.01,,7.4,31.5,,30.4,2706.0,61.852,32,operational,c_n_chih,fuel_oil,50-villa_constitucion
san_carlos_u2,internal_combustion_fuel_oil,09-baja_california_sur-la_paz,8.4,0,8.01,,7.4,31.5,,30.4,2706.0,61.852,33,operational,c_n_chih,fuel_oil,50-villa_constitucion
san_carlos_u3,internal_combustion_fuel_oil,09-baja_california_sur-la_paz,8.4,0,8.01,,7.4,41.13,,39.6,2706.0,61.852,34,operational,c_n_chih,fuel_oil,50-villa_constitucion
santa_rosalia_u1_u2,internal_combustion_fuel_oil,10-baja_california_sur-mulege,10.3,0,3.16,,7.4,2.6,,2.4,2960.0,28.044,35,operational,c_n_vizc,fuel_oil,53-mulege
santa_rosalia_u3_ci,internal_combustion_fuel_oil,10-baja_california_sur-mulege,15.4,0,3.16,,7.4,1.2,,1.1,2960.0,28.044,36,operational,c_n_vizc,fuel_oil,53-mulege
santa_rosalia_u4_ci,internal_combustion_fuel_oil,10-baja_california_sur-mulege,15.4,0,3.16,,7.4,1.2,,1.1,2960.0,28.044,37,operational,c_n_vizc,fuel_oil,53-mulege
santa_rosalia_u5_ci,internal_combustion_fuel_oil,10-baja_california_sur-mulege,15.4,0,3.16,,7.4,2.8,,2.6,2960.0,28.044,38,operational,c_n_vizc,fuel_oil,53-mulege
tres_virgcos_central,geothermal,10-baja_california_sur-mulege,0.0,0,0.06,,14.1,10.0,,9.4,1821.0,87.118,39,operational,,,53-mulege
u_movil,internal_combustion_fuel_oil,10-baja_california_sur-mulege,10.3,0,3.16,,7.4,7.5,,6.9,2960.0,28.044,40,operational,c_n_vizc,fuel_oil,53-mulege
chicoasen,hydroelectric,02-oriental,0.0,0,0.0,,1.0,6.99,,2101.4,2891.0,30.576,41,operational,,,39-grijalva
aragon,gas_turbine_natural_gas,01-central,10.1,0,3.19,,5.5,32.0,,31.2,1059.0,28.477,42,operational,g_central,natural_gas,31-central
atenco_lyfc,gas_turbine_natural_gas,01-central,9.9,0,3.19,,5.5,32.0,,31.2,1059.0,28.477,43,operational,g_central,natural_gas,31-central
coapa,gas_turbine_natural_gas,01-central,9.8,0,3.19,,5.5,32.0,,31.2,1059.0,28.477,44,operational,g_central,natural_gas,31-central
coyotepec,gas_turbine_natural_gas,01-central,10.1,0,3.19,,5.5,64.0,,62.4,1059.0,28.477,45,operational,g_central,natural_gas,31-central
cuautitlan_lyfc,gas_turbine_natural_gas,01-central,10.0,0,3.19,,5.5,32.0,,31.2,1059.0,28.477,46,operational,g_central,natural_gas,31-central
ecatepec_lyfc,gas_turbine_natural_gas,01-central,10.2,0,3.19,,5.5,32.0,,31.2,1059.0,28.477,47,operational,g_central,natural_gas,31-central
infiernillo,hydroelectric,03-occidental,0.0,0,0.0,,1.0,1200.0,,1050.7,1173.0,25.244,48,operational,,,29-lazaro_cardenas
iztapalapa_lyfc,gas_turbine_natural_gas,01-central,10.0,0,3.19,,5.5,32.0,,31.2,1059.0,28.477,49,operational,g_central,natural_gas,31-central
malpaso,hydroelectric,02-oriental,0.0,0,0.0,,1.0,74.0,,945.6,2891.0,30.576,50,operational,,,39-grijalva
magdalena,gas_turbine_natural_gas,01-central,10.1,0,3.19,,5.5,32.0,,31.2,1059.0,28.477,51,operational,g_central,natural_gas,31-central
aguamilpa_solidaridad,hydroelectric,03-occidental,0.0,0,0.0,,1.0,109.0,,840.6,2891.0,30.576,52,operational,,,22-tepic
nonoalco_lyfc_u1,gas_turbine_natural_gas,01-central,21.2,0,3.19,,5.5,32.0,,31.2,1059.0,28.477,53,operational,g_central,natural_gas,31-central
nonoalco_lyfc_u2,gas_turbine_natural_gas,01-central,21.2,0,3.19,,5.5,32.0,,31.2,1059.0,28.477,54,operational,g_central,natural_gas,31-central
nonoalco_lyfc_u3,gas_turbine_natural_gas,01-central,21.2,0,3.19,,5.5,42.0,,41.0,1059.0,28.477,55,operational,g_central,natural_gas,31-central
angostura,hydroelectric,02-oriental,0.0,0,0.0,,1.0,37.0,,788.0,2891.0,30.576,56,operational,,,39-grijalva
remedios_lyfc,gas_turbine_natural_gas,01-central,9.6,0,3.19,,5.5,32.0,,31.2,1059.0,28.477,57,operational,g_central,natural_gas,31-central
santa_cruz,gas_turbine_natural_gas,01-central,10.1,0,3.19,,5.5,32.0,,31.2,1059.0,28.477,58,operational,g_central,natural_gas,31-central
el_cajon,hydroelectric,03-occidental,0.0,0,0.0,,1.0,39.0,,656.7,2891.0,30.576,59,operational,,,23-guadalajara
tula,combined_cycle_natural_gas,01-central,10.0,0,2.73,,7.7,489.0,,474.8,765.0,15.471,60,operational,g,natural_gas,31-central
tula_tc_u1,thermal_fuel_oil,01-central,10.0,0,2.2,,7.1,330.0,,314.5,1309.0,28.477,61,operational,c_n_tula,fuel_oil,31-central
tula_tc_u2,thermal_fuel_oil,01-central,10.0,0,2.2,,7.1,330.0,,314.5,1309.0,28.477,62,operational,c_n_tula,fuel_oil,31-central
tula_tc_u3,thermal_fuel_oil,01-central,10.0,0,2.2,,7.1,322.8,,307.6,1309.0,28.477,63,operational,c_n_tula,fuel_oil,31-central
tula_tc_u4,thermal_fuel_oil,01-central,10.0,0,2.2,,7.1,322.8,,307.6,1309.0,28.477,64,operational,c_n_tula,fuel_oil,31-central
tula_tc_u5,thermal_fuel_oil,01-central,10.0,0,2.2,,7.1,300.0,,285.9,1309.0,28.477,65,operational,c_n_tula,fuel_oil,31-central
valle_de_mexico,combined_cycle_natural_gas,01-central,11.3,0,2.96,,7.7,549.3,,534.5,807.0,16.98,66,operational,g,natural_gas,31-central
valle_de_mexico_tc_u1,thermal_fuel_oil,01-central,9.5,0,3.13,,7.1,150.0,,140.4,1607.0,35.183,67,operational,c_n_tula,fuel_oil,31-central
valle_de_mexico_tc_u2,thermal_fuel_oil,01-central,9.5,0,3.13,,7.1,150.0,,140.4,1607.0,35.183,68,operational,c_n_tula,fuel_oil,31-central
valle_de_mexico_tc_u3,thermal_fuel_oil,01-central,9.5,0,3.13,,7.1,150.0,,140.4,1607.0,35.183,69,operational,c_n_tula,fuel_oil,31-central
vallejo_lyfc,gas_turbine_natural_gas,01-central,10.0,0,3.19,,5.5,32.0,,31.2,1059.0,28.477,70,operational,g_central,natural_gas,31-central
victoria_lyfc,gas_turbine_natural_gas,01-central,10.1,0,3.19,,5.5,32.0,,31.2,1059.0,28.477,71,operational,g_central,natural_gas,31-central
villa_de_las_flores_lyfc,gas_turbine_natural_gas,01-central,10.6,0,3.19,,5.5,32.0,,31.2,1059.0,28.477,72,operational,g_central,natural_gas,31-central
la_yesca,hydroelectric,03-occidental,0.0,0,0.0,,1.0,320.0,,656.7,1173.0,25.244,73,operational,,,23-guadalajara
guerrero_negro_ii_tgmovil,gas_turbine_diesel,10-baja_california_sur-mulege,27.8,0,3.08,,5.5,12.5,,12.2,1035.0,20.058,74,operational,d_bcn,diesel,53-mulege
guerrero_negro_eolica,eolic,10-baja_california_sur-mulege,0.0,0,0.0,,0.0,0.6,,0.1,1836.0,24.963,75,operational,,,53-mulege
sta_rosalia,solar,10-baja_california_sur-mulege,0.0,0,0.0,,0.0,1.0,,1.0,2128.0,19.0,76,operational,,,53-mulege
u_movil_cfe-ume,gas_turbine_diesel,10-baja_california_sur-mulege,11.9,0,3.08,,5.5,57.0,,55.6,1035.0,20.058,77,operational,d_bcn,diesel,53-mulege
u_movil_de_emergencia_ume-18,internal_combustion_fuel_oil,10-baja_california_sur-mulege,10.3,0,3.16,,7.4,1.6,,1.5,2960.0,28.044,78,operational,c_n_vizc,fuel_oil,53-mulege
u_movil_de_emergencia_ume-19,internal_combustion_fuel_oil,10-baja_california_sur-mulege,10.3,0,3.16,,7.4,1.6,,1.5,2960.0,28.044,79,operational,c_n_vizc,fuel_oil,53-mulege
u_movil_de_emergencia_ume-20,internal_combustion_fuel_oil,10-baja_california_sur-mulege,10.3,0,3.16,,7.4,1.6,,1.5,2960.0,28.044,80,operational,c_n_vizc,fuel_oil,53-mulege
vizcaino,gas_turbine_diesel,10-baja_california_sur-mulege,37.2,0,3.08,,5.5,14.0,,13.7,1035.0,20.058,81,operational,d_bcn,diesel,53-mulege
caracol,hydroelectric,02-oriental,0.0,0,0.0,,1.0,25.0,,525.4,2891.0,30.576,82,operational,,,35-acapulco
chavez_u1,gas_turbine_natural_gas,05-norte,24.8,0,3.19,,5.5,14.0,,13.7,1059.0,28.477,83,operational,zzon_nort,natural_gas,11-laguna
chavez_u2,gas_turbine_natural_gas,05-norte,24.8,0,3.19,,5.5,14.0,,13.7,1059.0,28.477,84,operational,zzon_nort,natural_gas,11-laguna
chihuahua_ii,combined_cycle_natural_gas,05-norte,6.9,0,2.96,,7.7,619.4,,602.7,807.0,16.98,85,operational,zzon_nort,natural_gas,09-chihuahua
huites,hydroelectric,04-noroeste,0.0,0,0.0,,1.0,3.0,,105.0,2891.0,30.576,86,operational,,,03-obregon
francisco_villa_u4,thermal_fuel_oil,05-norte,11.0,0,3.13,,7.1,150.0,,140.4,1607.0,35.183,87,operational,c_n_chih,fuel_oil,09-chihuahua
francisco_villa_u5,thermal_fuel_oil,05-norte,11.0,0,3.13,,7.1,150.0,,140.4,1607.0,35.183,88,operational,c_n_chih,fuel_oil,09-chihuahua
gomez_palacio,combined_cycle_natural_gas,05-norte,9.7,0,3.02,,7.7,239.8,,233.6,834.0,17.314,89,operational,zzon_nort,natural_gas,11-laguna
industrial_juarez,gas_turbine_natural_gas,05-norte,19.1,0,3.19,,5.5,18.0,,17.6,1059.0,28.477,90,operational,zzon_nort,natural_gas,07-juarez
la_laguna_ii,combined_cycle_natural_gas,05-norte,8.0,0,2.96,,7.7,498.0,,483.6,807.0,16.98,91,operational,zzon_nort,natural_gas,11-laguna
la_laguna_u1_tg,gas_turbine_natural_gas,05-norte,19.5,0,3.19,,5.5,14.0,,13.7,1059.0,28.477,92,operational,zzon_nort,natural_gas,11-laguna
la_laguna_u2_tg,gas_turbine_natural_gas,05-norte,19.5,0,3.19,,5.5,14.0,,13.7,1059.0,28.477,93,operational,zzon_nort,natural_gas,11-laguna
la_laguna_u3_tg,gas_turbine_natural_gas,05-norte,19.5,0,3.19,,5.5,14.0,,13.7,1059.0,28.477,94,operational,zzon_nort,natural_gas,11-laguna
la_laguna_u4_tg,gas_turbine_natural_gas,05-norte,19.5,0,3.19,,5.5,14.0,,13.7,1059.0,28.477,95,operational,zzon_nort,natural_gas,11-laguna
lerdo_u1,thermal_fuel_oil,05-norte,10.6,0,3.13,,7.1,160.0,,149.8,1607.0,35.183,96,operational,c_n_gpal,fuel_oil,11-laguna
lerdo_u2,thermal_fuel_oil,05-norte,10.6,0,3.13,,7.1,160.0,,149.8,1607.0,35.183,97,operational,c_n_gpal,fuel_oil,11-laguna
norte_ii,combined_cycle_natural_gas,05-norte,7.0,0,2.73,,7.7,433.0,,420.0,765.0,15.471,98,operational,zzon_nort,natural_gas,09-chihuahua
norte,combined_cycle_natural_gas,05-norte,7.3,0,2.73,,7.7,450.0,,437.0,765.0,15.471,99,operational,zzon_nort,natural_gas,10-durango
parque_u2,gas_turbine_diesel,05-norte,26.9,0,3.08,,5.5,18.0,,17.6,1035.0,20.058,100,operational,d_naciona,diesel,07-juarez
parque_u3,gas_turbine_diesel,05-norte,26.9,0,3.08,,5.5,13.0,,12.7,1035.0,20.058,101,operational,d_naciona,diesel,07-juarez
parque_u4,gas_turbine_diesel,05-norte,9.6,0,3.08,,5.5,28.0,,27.3,1035.0,20.058,102,operational,d_naciona,diesel,07-juarez
samalayuca_ii,combined_cycle_natural_gas,05-norte,7.9,0,2.96,,7.7,521.76,,507.7,807.0,16.98,103,operational,zzon_nort,natural_gas,07-juarez
samalayuca_u1,thermal_fuel_oil,05-norte,11.5,0,3.13,,7.1,158.0,,147.9,1607.0,35.183,104,operational,c_n_sama,fuel_oil,07-juarez
samalayuca_u2,thermal_fuel_oil,05-norte,11.5,0,3.13,,7.1,158.0,,147.9,1607.0,35.183,105,operational,c_n_sama,fuel_oil,07-juarez
transalta_chihuahua_iii,combined_cycle_natural_gas,05-norte,8.6,0,3.02,,7.7,259.0,,252.3,834.0,17.314,106,operational,zzon_nort,natural_gas,07-juarez
penitas,hydroelectric,02-oriental,0.0,0,0.0,,1.0,92.0,,367.8,2891.0,30.576,107,operational,,,38-tabasco
temascal,hydroelectric,02-oriental,0.0,0,0.0,,1.0,100.0,,310.0,2891.0,30.576,108,operational,,,36-temascal
culiacan,gas_turbine_diesel,04-noroeste,15.4,0,3.08,,5.5,30.0,,29.3,1035.0,20.058,109,operational,d_naciona,diesel,05-culiacan
villita,hydroelectric,03-occidental,0.0,0,0.0,,1.0,59.4,,280.2,2891.0,30.576,110,operational,,,29-lazaro_cardenas
zimapan,hydroelectric,03-occidental,0.0,0,0.0,,1.0,135.0,,253.1,2891.0,30.576,111,operational,,,30-queretaro
fuerza_y_energia_de_hermosillo,combined_cycle_natural_gas,04-noroeste,7.0,0,3.02,,7.7,250.0,,243.5,834.0,17.314,112,operational,zzon_noro,natural_gas,01-hermosillo
guaymas_ii_u1,thermal_fuel_oil,04-noroeste,10.8,0,3.94,,7.1,84.0,,78.7,2018.0,44.254,113,operational,c_n_guay,fuel_oil,03-obregon
guaymas_ii_u2,thermal_fuel_oil,04-noroeste,10.8,0,3.94,,7.1,84.0,,78.7,2018.0,44.254,114,operational,c_n_guay,fuel_oil,03-obregon
guaymas_ii_u3,thermal_fuel_oil,04-noroeste,10.8,0,3.13,,7.1,158.0,,147.9,1607.0,35.183,115,operational,c_n_guay,fuel_oil,03-obregon
guaymas_ii_u4,thermal_fuel_oil,04-noroeste,10.8,0,3.13,,7.1,158.0,,147.9,1607.0,35.183,116,operational,c_n_guay,fuel_oil,03-obregon
hermosillo,combined_cycle_natural_gas,04-noroeste,7.3,0,3.02,,7.7,227.022,,221.1,834.0,17.314,117,operational,zzon_noro,natural_gas,01-hermosillo
agua_prieta,hydroelectric,03-occidental,0.0,0,0.0,,1.0,422.0,,184.4,1173.0,25.244,118,operational,,,23-guadalajara
mazatepec,hydroelectric,02-oriental,0.0,0,0.0,,1.0,90.0,,169.0,2891.0,30.576,119,operational,,,32-poza_rica
industrial_caborca_u1,gas_turbine_diesel,04-noroeste,20.7,0,3.08,,5.5,12.0,,11.7,1035.0,20.058,120,operational,d_naciona,diesel,01-hermosillo
industrial_caborca_u2,gas_turbine_diesel,04-noroeste,20.7,0,3.08,,5.5,30.0,,29.3,1035.0,20.058,121,operational,d_naciona,diesel,01-hermosillo
mazatlan_ii_u1,thermal_fuel_oil,04-noroeste,10.5,0,3.13,,7.1,158.0,,147.9,1607.0,35.183,122,operational,c_n_maza,fuel_oil,06-mazatlan
mazatlan_ii_u2,thermal_fuel_oil,04-noroeste,10.5,0,3.13,,7.1,158.0,,147.9,1607.0,35.183,123,operational,c_n_maza,fuel_oil,06-mazatlan
