central/proyecto_clean,Combustible
compania_de_energia_mexicana,Run Of The River
electricidad_del_golfo,Run Of The River
mexicana_de_hidroelectricidad_mexhidro,Run Of The River
primero_empresa_minera,Run Of The River
proveedora_de_electricidad_de_occidente,Run Of The River
procesamiento_energetico_mexicano,Run Of The River
hidroelectricidad_del_pacifico,Run Of The River
hidroelectrica_arco_iris,Run Of The River
hidrorizaba_ii,Run Of The River
gobierno_del_estado_de_michoacan_de_ocampo,Run Of The River
compania_electrica_carolina,Run Of The River
hidrorizaba,Run Of The River
papelera_veracruzana,Run Of The River
hidroelectrica_cajon_de_pena,Run Of The River
energia_ep,Run Of The River
