load_area	fuel	year	fuel_cost
03-obregon	diesel	2021	101.2292603
03-obregon	diesel	2022	103.177233
03-obregon	diesel	2023	105.483126
03-obregon	diesel	2024	109.4306708
03-obregon	diesel	2025	111.903307
03-obregon	diesel	2026	113.3829141
03-obregon	diesel	2027	114.7340394
03-obregon	diesel	2028	115.8817747
03-obregon	diesel	2029	116.8131417
03-obregon	diesel	2030	117.7435751
03-obregon	fuel_oil	2016	36.37886019
03-obregon	fuel_oil	2017	50.32054464
03-obregon	fuel_oil	2018	53.51958333
03-obregon	fuel_oil	2019	56.39079971
03-obregon	fuel_oil	2020	58.10721893
03-obregon	fuel_oil	2021	59.40017801
03-obregon	fuel_oil	2022	60.61578037
03-obregon	fuel_oil	2023	61.84210024
03-obregon	fuel_oil	2024	62.92177797
03-obregon	fuel_oil	2025	63.82507951
03-obregon	fuel_oil	2026	65.14762852
03-obregon	fuel_oil	2027	66.3728146
03-obregon	fuel_oil	2028	67.68586703
03-obregon	fuel_oil	2029	69.02075664
03-obregon	fuel_oil	2030	70.32012032
04-los_mochis	natural_gas	2016	4.775580214
04-los_mochis	natural_gas	2017	5.272028665
04-los_mochis	natural_gas	2018	5.164241901
04-los_mochis	natural_gas	2019	5.389184374
04-los_mochis	natural_gas	2020	5.507477227
04-los_mochis	natural_gas	2021	5.611838012
04-los_mochis	natural_gas	2022	5.716198314
04-los_mochis	natural_gas	2023	5.768378465
04-los_mochis	natural_gas	2024	5.820559099
04-los_mochis	natural_gas	2025	5.87273925
04-los_mochis	natural_gas	2026	5.924919884
04-los_mochis	natural_gas	2027	5.977100518
04-los_mochis	natural_gas	2028	6.029280186
04-los_mochis	natural_gas	2029	6.08146082
04-los_mochis	natural_gas	2030	6.133640971
04-los_mochis	fuel_oil	2016	36.32031557
04-los_mochis	fuel_oil	2017	50.26200002
04-los_mochis	fuel_oil	2018	53.46103871
04-los_mochis	fuel_oil	2019	56.33225509
04-los_mochis	fuel_oil	2020	58.04867431
04-los_mochis	fuel_oil	2021	59.34163339
04-los_mochis	fuel_oil	2022	60.55723575
04-los_mochis	fuel_oil	2023	61.78355562
04-los_mochis	fuel_oil	2024	62.86323335
04-los_mochis	fuel_oil	2025	63.76653489
04-los_mochis	fuel_oil	2026	65.0890839
04-los_mochis	fuel_oil	2027	66.31426998
04-los_mochis	fuel_oil	2028	67.62732241
04-los_mochis	fuel_oil	2029	68.96221202
04-los_mochis	fuel_oil	2030	70.2615757
05-culiacan	diesel	2016	75.14576594
05-culiacan	diesel	2017	90.35904729
05-culiacan	diesel	2018	94.07090181
05-culiacan	diesel	2019	97.30933255
05-culiacan	diesel	2020	99.38284098
05-culiacan	diesel	2021	101.2292603
05-culiacan	diesel	2022	103.177233
05-culiacan	diesel	2023	105.483126
05-culiacan	diesel	2024	109.4306708
05-culiacan	diesel	2025	111.903307
05-culiacan	diesel	2026	113.3829141
05-culiacan	diesel	2027	114.7340394
05-culiacan	diesel	2028	115.8817747
05-culiacan	diesel	2029	116.8131417
05-culiacan	diesel	2030	117.7435751
06-mazatlan	natural_gas	2016	4.775580214
06-mazatlan	natural_gas	2017	5.272028665
06-mazatlan	natural_gas	2018	5.164241901
06-mazatlan	natural_gas	2019	5.389184374
06-mazatlan	natural_gas	2020	5.507477227
06-mazatlan	natural_gas	2021	5.611838012
06-mazatlan	natural_gas	2022	5.716198314
06-mazatlan	natural_gas	2023	5.768378465
06-mazatlan	natural_gas	2024	5.820559099
06-mazatlan	natural_gas	2025	5.87273925
06-mazatlan	natural_gas	2026	5.924919884
06-mazatlan	natural_gas	2027	5.977100518
06-mazatlan	natural_gas	2028	6.029280186
06-mazatlan	natural_gas	2029	6.08146082
06-mazatlan	natural_gas	2030	6.133640971
06-mazatlan	fuel_oil	2016	36.19403667
06-mazatlan	fuel_oil	2017	50.13572113
06-mazatlan	fuel_oil	2018	53.33475982
06-mazatlan	fuel_oil	2019	56.2059762
06-mazatlan	fuel_oil	2020	57.92239541
06-mazatlan	fuel_oil	2021	59.2153545
06-mazatlan	fuel_oil	2022	60.43095686
06-mazatlan	fuel_oil	2023	61.65727673
06-mazatlan	fuel_oil	2024	62.73695446
06-mazatlan	fuel_oil	2025	63.64025599
06-mazatlan	fuel_oil	2026	64.96280501
06-mazatlan	fuel_oil	2027	66.18799108
06-mazatlan	fuel_oil	2028	67.50104352
06-mazatlan	fuel_oil	2029	68.83593313
06-mazatlan	fuel_oil	2030	70.1352968
07-juarez	natural_gas	2016	4.074080214
07-juarez	natural_gas	2017	4.570528665
07-juarez	natural_gas	2018	4.462741901
07-juarez	natural_gas	2019	4.687684374
07-juarez	natural_gas	2020	4.805977227
07-juarez	natural_gas	2021	4.910338012
07-juarez	natural_gas	2022	5.014698314
07-juarez	natural_gas	2023	5.066878465
07-juarez	natural_gas	2024	5.119059099
07-juarez	natural_gas	2025	5.17123925
07-juarez	natural_gas	2026	5.223419884
07-juarez	natural_gas	2027	5.275600518
07-juarez	natural_gas	2028	5.327780186
07-juarez	natural_gas	2029	5.37996082
07-juarez	natural_gas	2030	5.432140971
07-juarez	diesel	2016	75.14576594
07-juarez	diesel	2017	90.35904729
07-juarez	diesel	2018	94.07090181
07-juarez	diesel	2019	97.30933255
07-juarez	diesel	2020	99.38284098
07-juarez	diesel	2021	101.2292603
07-juarez	diesel	2022	103.177233
07-juarez	diesel	2023	105.483126
07-juarez	diesel	2024	109.4306708
07-juarez	diesel	2025	111.903307
07-juarez	diesel	2026	113.3829141
07-juarez	diesel	2027	114.7340394
07-juarez	diesel	2028	115.8817747
07-juarez	diesel	2029	116.8131417
07-juarez	diesel	2030	117.7435751
07-juarez	fuel_oil	2016	37.56080445
07-juarez	fuel_oil	2017	51.50248891
07-juarez	fuel_oil	2018	54.7015276
07-juarez	fuel_oil	2019	57.57274398
07-juarez	fuel_oil	2020	59.28916319
07-juarez	fuel_oil	2021	60.58212228
07-juarez	fuel_oil	2022	61.79772464
07-juarez	fuel_oil	2023	63.02404451
07-juarez	fuel_oil	2024	64.10372224
07-juarez	fuel_oil	2025	65.00702378
07-juarez	fuel_oil	2026	66.32957279
07-juarez	fuel_oil	2027	67.55475887
07-juarez	fuel_oil	2028	68.8678113
07-juarez	fuel_oil	2029	70.20270091
07-juarez	fuel_oil	2030	71.50206459
09-chihuahua	natural_gas	2016	3.925180214
09-chihuahua	natural_gas	2017	4.421628665
09-chihuahua	natural_gas	2018	4.313841901
09-chihuahua	natural_gas	2019	4.538784374
09-chihuahua	natural_gas	2020	4.657077227
09-chihuahua	natural_gas	2021	4.761438012
09-chihuahua	natural_gas	2022	4.865798314
09-chihuahua	natural_gas	2023	4.917978465
09-chihuahua	natural_gas	2024	4.970159099
09-chihuahua	natural_gas	2025	5.02233925
09-chihuahua	natural_gas	2026	5.074519884
09-chihuahua	natural_gas	2027	5.126700518
09-chihuahua	natural_gas	2028	5.178880186
09-chihuahua	natural_gas	2029	5.23106082
09-chihuahua	natural_gas	2030	5.283240971
09-chihuahua	diesel	2016	75.14576594
09-chihuahua	diesel	2017	90.35904729
09-chihuahua	diesel	2018	94.07090181
09-chihuahua	diesel	2019	97.30933255
09-chihuahua	diesel	2020	99.38284098
09-chihuahua	diesel	2021	101.2292603
09-chihuahua	diesel	2022	103.177233
09-chihuahua	diesel	2023	105.483126
09-chihuahua	diesel	2024	109.4306708
09-chihuahua	diesel	2025	111.903307
09-chihuahua	diesel	2026	113.3829141
09-chihuahua	diesel	2027	114.7340394
09-chihuahua	diesel	2028	115.8817747
09-chihuahua	diesel	2029	116.8131417
09-chihuahua	diesel	2030	117.7435751
09-chihuahua	fuel_oil	2016	37.21760555
09-chihuahua	fuel_oil	2017	51.2372069
09-chihuahua	fuel_oil	2018	54.45422153
09-chihuahua	fuel_oil	2019	57.34153082
09-chihuahua	fuel_oil	2020	59.06763094
09-chihuahua	fuel_oil	2021	60.3680077
09-chihuahua	fuel_oil	2022	61.59067722
09-chihuahua	fuel_oil	2023	62.82427648
09-chihuahua	fuel_oil	2024	63.91120671
09-chihuahua	fuel_oil	2025	64.82021079
09-chihuahua	fuel_oil	2026	66.15016726
09-chihuahua	fuel_oil	2027	67.38220687
09-chihuahua	fuel_oil	2028	68.70247223
09-chihuahua	fuel_oil	2029	70.04459113
09-chihuahua	fuel_oil	2030	71.35100219
10-durango	natural_gas	2016	4.074080214
10-durango	natural_gas	2017	4.570528665
10-durango	natural_gas	2018	4.462741901
10-durango	natural_gas	2019	4.687684374
10-durango	natural_gas	2020	4.805977227
10-durango	natural_gas	2021	4.910338012
10-durango	natural_gas	2022	5.014698314
10-durango	natural_gas	2023	5.066878465
10-durango	natural_gas	2024	5.119059099
10-durango	natural_gas	2025	5.17123925
10-durango	natural_gas	2026	5.223419884
10-durango	natural_gas	2027	5.275600518
10-durango	natural_gas	2028	5.327780186
10-durango	natural_gas	2029	5.37996082
10-durango	natural_gas	2030	5.432140971
10-durango	diesel	2016	75.14576594
10-durango	diesel	2017	90.35904729
10-durango	diesel	2018	94.07090181
10-durango	diesel	2019	97.30933255
10-durango	diesel	2020	99.38284098
10-durango	diesel	2021	101.2292603
10-durango	diesel	2022	103.177233
10-durango	diesel	2023	105.483126
10-durango	diesel	2024	109.4306708
10-durango	diesel	2025	111.903307
10-durango	diesel	2026	113.3829141
10-durango	diesel	2027	114.7340394
10-durango	diesel	2028	115.8817747
10-durango	diesel	2029	116.8131417
10-durango	diesel	2030	117.7435751
11-laguna	natural_gas	2016	3.925180214
11-laguna	natural_gas	2017	4.421628665
11-laguna	natural_gas	2018	4.313841901
11-laguna	natural_gas	2019	4.538784374
11-laguna	natural_gas	2020	4.657077227
11-laguna	natural_gas	2021	4.761438012
11-laguna	natural_gas	2022	4.865798314
11-laguna	natural_gas	2023	4.917978465
11-laguna	natural_gas	2024	4.970159099
11-laguna	natural_gas	2025	5.02233925
11-laguna	natural_gas	2026	5.074519884
11-laguna	natural_gas	2027	5.126700518
11-laguna	natural_gas	2028	5.178880186
11-laguna	natural_gas	2029	5.23106082
11-laguna	natural_gas	2030	5.283240971
11-laguna	diesel	2016	75.14576594
11-laguna	diesel	2017	90.35904729
11-laguna	diesel	2018	94.07090181
11-laguna	diesel	2019	97.30933255
11-laguna	diesel	2020	99.38284098
11-laguna	diesel	2021	101.2292603
11-laguna	diesel	2022	103.177233
11-laguna	diesel	2023	105.483126
11-laguna	diesel	2024	109.4306708
11-laguna	diesel	2025	111.903307
11-laguna	diesel	2026	113.3829141
11-laguna	diesel	2027	114.7340394
11-laguna	diesel	2028	115.8817747
11-laguna	diesel	2029	116.8131417
11-laguna	diesel	2030	117.7435751
11-laguna	fuel_oil	2016	34.85680942
11-laguna	fuel_oil	2017	48.87641076
11-laguna	fuel_oil	2018	52.0934254
11-laguna	fuel_oil	2019	54.98073469
11-laguna	fuel_oil	2020	56.70683481
11-laguna	fuel_oil	2021	58.00721157
11-laguna	fuel_oil	2022	59.22988109
11-laguna	fuel_oil	2023	60.46348034
11-laguna	fuel_oil	2024	61.55041057
11-laguna	fuel_oil	2025	62.45941466
11-laguna	fuel_oil	2026	63.78937112
11-laguna	fuel_oil	2027	65.02141073
11-laguna	fuel_oil	2028	66.34167609
11-laguna	fuel_oil	2029	67.68379499
11-laguna	fuel_oil	2030	68.99020606
12-rio_escondido	coal	2016	44.23584813
12-rio_escondido	coal	2017	61.14436344
12-rio_escondido	coal	2018	68.68607232
12-rio_escondido	coal	2019	70.60085122
12-rio_escondido	coal	2020	76.92635992
12-rio_escondido	coal	2021	78.97102166
12-rio_escondido	coal	2022	79.36976017
12-rio_escondido	coal	2023	80.19318834
12-rio_escondido	coal	2024	80.59638637
12-rio_escondido	coal	2025	81.00071463
12-rio_escondido	coal	2026	81.617322
12-rio_escondido	coal	2027	81.61357213
12-rio_escondido	coal	2028	82.0213436
12-rio_escondido	coal	2029	82.42729271
12-rio_escondido	coal	2030	82.83580013
12-rio_escondido	natural_gas	2016	3.776280214
12-rio_escondido	natural_gas	2017	4.272728665
12-rio_escondido	natural_gas	2018	4.164941901
12-rio_escondido	natural_gas	2019	4.389884374
12-rio_escondido	natural_gas	2020	4.508177227
12-rio_escondido	natural_gas	2021	4.612538012
12-rio_escondido	natural_gas	2022	4.716898314
12-rio_escondido	natural_gas	2023	4.769078465
12-rio_escondido	natural_gas	2024	4.821259099
12-rio_escondido	natural_gas	2025	4.87343925
12-rio_escondido	natural_gas	2026	4.925619884
12-rio_escondido	natural_gas	2027	4.977800518
12-rio_escondido	natural_gas	2028	5.029980186
12-rio_escondido	natural_gas	2029	5.08216082
12-rio_escondido	natural_gas	2030	5.134340971
12-rio_escondido	diesel	2016	75.14576594
12-rio_escondido	diesel	2017	90.35904729
12-rio_escondido	diesel	2018	94.07090181
12-rio_escondido	diesel	2019	97.30933255
12-rio_escondido	diesel	2020	99.38284098
12-rio_escondido	diesel	2021	101.2292603
12-rio_escondido	diesel	2022	103.177233
12-rio_escondido	diesel	2023	105.483126
12-rio_escondido	diesel	2024	109.4306708
12-rio_escondido	diesel	2025	111.903307
12-rio_escondido	diesel	2026	113.3829141
12-rio_escondido	diesel	2027	114.7340394
12-rio_escondido	diesel	2028	115.8817747
12-rio_escondido	diesel	2029	116.8131417
12-rio_escondido	diesel	2030	117.7435751
12-rio_escondido	fuel_oil	2016	33.09638853
12-rio_escondido	fuel_oil	2017	47.03807299
12-rio_escondido	fuel_oil	2018	50.23711168
