generation_technology	energy_source	g_full_load_heat_rate	g_is_variable	g_is_baseload	g_is_flexible_baseload	g_is_cogen	g_competes_for_space	g_variable_o_m	g_min_build_capacity	g_scheduled_outage_rate	g_forced_outage_rate	g_max_age	g_unit_size	g_ccs_capture_efficiency	g_ccs_energy_load	g_storage_efficiency	g_store_to_release_ratio	
carboelectric_coal	coal 	8.953724713	0	0	0	0	0	3.782	0	6.4	6.4	20	0	0	0	0	0	
combined_cycle_natural_gas	natural_gas	6.835968312	0	0	0	0	0	3.05	0	7.7	7.7	30	0	0	0	0	0	
internal_combustion_fuel_oil	fuel_oil 	9.681161912	0	0	0	0	0	6.63	0	7.4	7.4	20	0	0	0	0	0	
internal_combustion_diesel	diesel	9.409293253	0	0	0	0	0	6.63	0	7.4	7.4	20	0	0	0	0	0	
internal_combustion_natural_gas	natural_gas	9.142223828	0	0	0	0	0	6.63	0	7.4	7.4	30	0	0	0	0	0	
wind	wind	0	1	0	0	0	0	0	0	0	0	25	0	0	0	0	0	
geothermal	geosteam	0	1	1	0	0	0	0.06	0	14.1	14.1	30	0	0	0	0	0	
hydroelectric	water	0	0	0	0	0	0	0	0	1	1	50	0	0	0	0	0	
nuclear_uranium	uranium 	9.780028982	0	0	0	0	0	2.25	1312.7	11.4	11.4	60	0	0	0	0	0	
solar	solar	0	1	1	0	0	0	0	0	0	0	25	0	0	0	0	0	
thermal_fuel_oil	fuel_oil 	10.23841384	0	0	0	0	0	2.688	0	7.1	7.1	30	0	0	0	0	0	
thermal_natural_gas	natural_gas	15.08460654	0	0	0	0	0	2.688	0	7.1	7.1	30	0	0	0	0	0	
thermal_diesel	diesel	11.29409996	0	0	0	0	0	2.688	0	7.1	7.1	30	0	0	0	0	0	
thermosolar	solar	0	1	0	0	0	0	0	0	0	0	20	0	0	0	0	0	
gas_turbine_diesel	diesel	16.88270099	0	0	0	0	0	3.432	0	5.5	5.5	30	0	0	0	0	0	
gas_turbine_natural_gas	natural_gas	14.21509038	0	0	0	0	0	3.432	0	5.5	5.5	30	0	0	0	0	0	
bioenergy_fuel_oil	fuel_oil 	83.73217977	0	1	0	0	0	3.94	0	7.1	7.1	20	0	0	0	0	0	
bioenergy_natural_gas	natural_gas	8.842015479	0	1	0	0	0	4.37	0	7.4	7.4	20	0	0	0	0	0	
bioenergy_diesel	diesel	133.5376368	0	1	0	0	0	3.94	0	7.1	7.1	20	0	0	0	0	0	
cogen_fuel_oil	fuel_oil 	9.099526066	0	0	0	1	0	3.0846	0	7.1	7.1	30	0	0	0	0	0	
cogen_natural_gas	natural_gas	6.758823054	0	0	0	1	0	3.08	0	7.4	7.4	30	0	0	0	0	0	
cogen_diesel	diesel	9.467652297	0	0	0	1	0	3.99	0	7.1	7.1	30	0	0	0	0	0	
fluidized_bed_coal	coal 	9.383886256	0	0	0	0	0	2.46	0	6.4	6.4	20	0	0	0	0	0	
import_natural_gas	natural_gas	9.099526066	0	0	0	0	0	0	0	5.5	5.5	20	0	0	0	0	0	
regen_brakes	kinetic	6.82464455	0	0	0	0	0	4.43	0	7.7	7.7	0	0	0	0	0	0	
