load_area	fuel	period	fuel_cost
23-guadalajara	diesel	2016	75.14576594
23-guadalajara	diesel	2021	101.2292603
23-guadalajara	diesel	2026	113.38291409999998
23-guadalajara	fuel_oil	2016	30.63251228
23-guadalajara	fuel_oil	2021	53.78291443
23-guadalajara	fuel_oil	2026	59.56507399
24-aguascalientes	natural_gas	2016	4.0736802139999995
24-aguascalientes	natural_gas	2021	4.804880332
24-aguascalientes	natural_gas	2026	5.1179622039999995
24-aguascalientes	diesel	2016	75.14576594
24-aguascalientes	diesel	2021	101.2292603
24-aguascalientes	diesel	2026	113.38291409999998
25-san_luis_potosi	coal	2016	
25-san_luis_potosi	coal	2021	
25-san_luis_potosi	coal	2026	
25-san_luis_potosi	natural_gas	2016	4.125730214
25-san_luis_potosi	natural_gas	2021	4.856930332
25-san_luis_potosi	natural_gas	2026	5.170012204
25-san_luis_potosi	diesel	2016	75.14576594
25-san_luis_potosi	diesel	2021	101.2292603
25-san_luis_potosi	diesel	2026	113.38291409999998
25-san_luis_potosi	fuel_oil	2016	33.5309341
25-san_luis_potosi	fuel_oil	2021	56.68133625
25-san_luis_potosi	fuel_oil	2026	62.4634958
26-salamanca	natural_gas	2016	4.125730214
26-salamanca	natural_gas	2021	4.856930332
26-salamanca	natural_gas	2026	5.170012204
26-salamanca	diesel	2016	75.14576594
26-salamanca	diesel	2021	101.2292603
26-salamanca	diesel	2026	113.38291409999998
26-salamanca	fuel_oil	2016	30.63251228
26-salamanca	fuel_oil	2021	53.78291443
26-salamanca	fuel_oil	2026	59.56507399
27-manzanillo	natural_gas	2016	4.177780213999999
27-manzanillo	natural_gas	2021	4.908980332
27-manzanillo	natural_gas	2026	5.222062203999999
27-manzanillo	diesel	2016	75.14576594
27-manzanillo	diesel	2021	101.2292603
27-manzanillo	diesel	2026	113.38291409999998
27-manzanillo	fuel_oil	2016	45.32976302
27-manzanillo	fuel_oil	2021	72.90830395
27-manzanillo	fuel_oil	2026	80.32380533
28-carapan	natural_gas	2016	4.177780213999999
28-carapan	natural_gas	2021	4.908980332
28-carapan	natural_gas	2026	5.222062203999999
29-lazaro_cardenas	coal	2016	62.6892361
29-lazaro_cardenas	coal	2021	114.613367
29-lazaro_cardenas	coal	2026	118.5692086
30-queretaro	natural_gas	2016	4.125730214
30-queretaro	natural_gas	2021	4.856930332
30-queretaro	natural_gas	2026	5.170012204
30-queretaro	diesel	2016	75.14576594
30-queretaro	diesel	2021	101.2292603
30-queretaro	diesel	2026	113.38291409999998
30-queretaro	fuel_oil	2016	33.41284775
30-queretaro	fuel_oil	2021	56.5202218
30-queretaro	fuel_oil	2026	62.29081167
31-central	natural_gas	2016	4.0736802139999995
31-central	natural_gas	2021	4.804880332
31-central	natural_gas	2026	5.1179622039999995
31-central	diesel	2016	75.14576594
31-central	diesel	2021	101.2292603
31-central	diesel	2026	113.38291409999998
31-central	fuel_oil	2016	31.05193191
31-central	fuel_oil	2021	54.65412919
31-central	fuel_oil	2026	60.55777042
32-poza_rica	natural_gas	2016	3.9026802139999996
32-poza_rica	natural_gas	2021	4.686409172
32-poza_rica	natural_gas	2026	4.999491044
32-poza_rica	diesel	2016	75.14576594
32-poza_rica	diesel	2021	101.2292603
32-poza_rica	diesel	2026	113.38291409999998
32-poza_rica	fuel_oil	2016	34.57182317
32-poza_rica	fuel_oil	2021	57.94812289
32-poza_rica	fuel_oil	2026	63.79102329
33-veracruz	diesel	2016	75.14576594
33-veracruz	diesel	2021	101.2292603
33-veracruz	diesel	2026	113.38291409999998
33-veracruz	natural_gas	2016	3.8803802139999997
33-veracruz	natural_gas	2021	4.716638012
33-veracruz	natural_gas	2026	5.0297198839999995
33-veracruz	uranium	2016	1.97
33-veracruz	uranium	2021	2.01
33-veracruz	uranium	2026	2.04
33-veracruz	fuel_oil	2016	35.040717
33-veracruz	fuel_oil	2021	58.19111915
33-veracruz	fuel_oil	2026	63.97327871
34-puebla	natural_gas	2016	3.9249802139999996
34-puebla	natural_gas	2021	4.708709172
34-puebla	natural_gas	2026	5.0217910439999995
36-temascal	natural_gas	2016	3.876655214
36-temascal	natural_gas	2021	4.660384172
36-temascal	natural_gas	2026	4.973466043999999
36-temascal	diesel	2016	75.14576594
36-temascal	diesel	2021	101.2292603
36-temascal	diesel	2026	113.38291409999998
37-coatzacoalcos	natural_gas	2016	3.9249802139999996
37-coatzacoalcos	natural_gas	2021	4.708709172
37-coatzacoalcos	natural_gas	2026	5.0217910439999995
37-coatzacoalcos	diesel	2016	75.14576594
37-coatzacoalcos	diesel	2021	101.2292603
37-coatzacoalcos	diesel	2026	113.38291409999998
38-tabasco	natural_gas	2016	3.9026802139999996
38-tabasco	natural_gas	2021	4.686409172
38-tabasco	natural_gas	2026	4.999491044
38-tabasco	diesel	2016	75.14576594
38-tabasco	diesel	2021	101.2292603
38-tabasco	diesel	2026	113.38291409999998
39-grijalva	diesel	2016	75.14576594
39-grijalva	diesel	2021	101.2292603
39-grijalva	diesel	2026	113.38291409999998
41-lerma	natural_gas	2016	3.890380214
41-lerma	natural_gas	2021	4.621580332
41-lerma	natural_gas	2026	4.934662203999999
41-lerma	diesel	2016	77.64585804
41-lerma	diesel	2021	104.59714759999999
41-lerma	diesel	2026	117.1551523
41-lerma	fuel_oil	2016	35.49231023
41-lerma	fuel_oil	2021	58.64271238
41-lerma	fuel_oil	2026	64.42487193
42-merida	natural_gas	2016	3.890380214
42-merida	natural_gas	2021	4.621580332
42-merida	natural_gas	2026	4.934662203999999
42-merida	diesel	2016	77.64585804
42-merida	diesel	2021	104.59714759999999
42-merida	diesel	2026	117.1551523
42-merida	fuel_oil	2016	38.45061138
42-merida	fuel_oil	2021	61.60101353
42-merida	fuel_oil	2026	67.38317309
43-cancun	natural_gas	2016	3.890380214
43-cancun	natural_gas	2021	4.621580332
43-cancun	natural_gas	2026	4.934662203999999
43-cancun	diesel	2016	77.64585804
43-cancun	diesel	2021	104.59714759999999
43-cancun	diesel	2026	117.1551523
43-cancun	fuel_oil	2016	38.98997885
43-cancun	fuel_oil	2021	62.140381000000005
43-cancun	fuel_oil	2026	67.92254056
44-chetumal	diesel	2016	77.64585804
44-chetumal	diesel	2021	104.59714759999999
44-chetumal	diesel	2026	117.1551523
45-cozumel	diesel	2016	77.64585804
45-cozumel	diesel	2021	104.59714759999999
45-cozumel	diesel	2026	117.1551523
46-tijuana	natural_gas	2016	4.93656929
46-tijuana	natural_gas	2021	5.78291421
46-tijuana	natural_gas	2026	6.1471387
46-tijuana	diesel	2016	76.51154122
46-tijuana	diesel	2021	103.06910340000002
46-tijuana	diesel	2026	115.4436501
46-tijuana	fuel_oil	2016	41.26796681
46-tijuana	fuel_oil	2021	64.28928464
46-tijuana	fuel_oil	2026	70.03673514
47-ensenada	natural_gas	2016	4.725145492
47-ensenada	natural_gas	2021	5.706328246
47-ensenada	natural_gas	2026	6.070552736000001
