PROJECT	build_year	gen_overnight_cost	gen_fixed_om	g_variable_o_m
guaymas_ii_u3	2015.0	1728420.0	32104.6	.
guaymas_ii_u4	2015.0	1728420.0	32104.6	.
hermosillo	2015.0	910280.0	16024.8	.
agua_prieta	2015.0	1910425.0	24967.8	.
mazatepec	2015.0	1910425.0	24967.8	.
industrial_caborca_u1	2015.0	1085000.0	20058.0	.
industrial_caborca_u2	2015.0	1085000.0	20058.0	.
mazatlan_ii_u1	2015.0	1728420.0	32104.6	.
mazatlan_ii_u2	2015.0	1728420.0	32104.6	.
mazatlan_ii_u3	2015.0	1728420.0	32104.6	.
el_novillo	2015.0	1910425.0	24967.8	.
naco_nogales	2015.0	910280.0	16024.8	.
necaxa	2015.0	1910425.0	24967.8	.
puerto_libertad_u1	2015.0	1728420.0	32104.6	.
puerto_libertad_u2	2015.0	1728420.0	32104.6	.
puerto_libertad_u3	2015.0	1728420.0	32104.6	.
puerto_libertad_u4	2015.0	1728420.0	32104.6	.
comedero	2015.0	1910425.0	24967.8	.
topolobampo_ii_u1	2015.0	1728420.0	32104.6	.
topolobampo_ii_u2	2015.0	1728420.0	32104.6	.
yecora_u1	2015.0	3167700.0	53203.8	.
yecora_u2	2015.0	3167700.0	53203.8	.
yecora_u3	2015.0	3167700.0	53203.8	.
yecora_u4	2015.0	3167700.0	53203.8	.
altamira_ii	2015.0	910280.0	16024.8	.
altamira_iii_y_iv	2015.0	910280.0	16024.8	.
altamira_v	2015.0	910280.0	16024.8	.
altamira_u3	2015.0	1728420.0	32104.6	.
altamira_u4	2015.0	1728420.0	32104.6	.
carbon_ii_u1	2015.0	1899339.0	36463.6	.
carbon_ii_u2	2015.0	1899339.0	36463.6	.
carbon_ii_u3	2015.0	1899339.0	36463.6	.
carbon_ii_u4	2015.0	1899339.0	36463.6	.
bacurato	2015.0	1910425.0	24967.8	.
humaya	2015.0	1910425.0	24967.8	.
cupatitzio	2015.0	1910425.0	24967.8	.
fundidora	2015.0	622320.0	7634.45	.
huinala_ii	2015.0	910280.0	16024.8	.
huinala	2015.0	910280.0	16024.8	.
huinala_tg	2015.0	622320.0	7634.45	.
lerma	2015.0	1910425.0	24967.8	.
leona_u1	2015.0	622320.0	7634.45	.
leona_u2	2015.0	622320.0	7634.45	.
santa_rosa	2015.0	1910425.0	24967.8	.
monclova_u1	2015.0	622320.0	7634.45	.
monclova_u2	2015.0	622320.0	7634.45	.
monterrey_iii	2015.0	910280.0	16024.8	.
rio_bravo	2015.0	910280.0	16024.8	.
rio_bravo_tc	2015.0	1860700.0	37694.0	.
rio_bravo_ii	2015.0	910280.0	16024.8	.
rio_bravo_iii	2015.0	910280.0	16024.8	.
rio_bravo_iv	2015.0	910280.0	16024.8	.
rio_escondido	2015.0	1899339.0	36463.6	.
saltillo	2015.0	910280.0	16024.8	.
tamazunchale	2015.0	910280.0	16024.8	.
tecnologico	2015.0	1085000.0	20058.0	.
universidad_u1	2015.0	622320.0	7634.45	.
universidad_u2	2015.0	622320.0	7634.45	.
el_sauz_ii	2015.0	910280.0	16024.8	.
la_amistad	2015.0	1910425.0	24967.8	.
cobano	2015.0	1910425.0	24967.8	.
el_fuerte	2015.0	1910425.0	24967.8	.
colimilla	2015.0	1910425.0	24967.8	.
tepexic	2015.0	1910425.0	24967.8	.
cogcoracion_salamanca	2015.0	622320.0	7634.45	.
patla	2015.0	1910425.0	24967.8	.
tuxpango	2015.0	1910425.0	24967.8	.
compania_de_energia_mexicana	2015.0	1910425.0	24967.8	.
el_sauz	2015.0	910280.0	16024.8	.
huicot	2015.0	3167700.0	53203.8	.
falcon	2015.0	1910425.0	24967.8	.
electricidad_del_golfo	2015.0	1910425.0	24967.8	.
mexicana_de_hidroelectricidad_mexhidro	2015.0	1910425.0	24967.8	.
chilapan	2015.0	1910425.0	24967.8	.
los_azufres	2015.0	2038100.0	87118.0	.
los_azufres_u2	2015.0	2038100.0	87118.0	.
los_azufres_u6	2015.0	2038100.0	87118.0	.
los_azufres_u8	2015.0	2038100.0	87118.0	.
manzanillo_central	2015.0	1728420.0	32104.6	.
manzanillo_u3_tc	2015.0	1728420.0	32104.6	.
manzanillo_u4_tc	2015.0	1728420.0	32104.6	.
manzanillo_p1	2015.0	910280.0	16024.8	.
manzanillo_p2	2015.0	910280.0	16024.8	.
petacalco	2015.0	1899339.0	36463.6	.
boquilla	2015.0	1910425.0	24967.8	.
el_retiro	2015.0	1910425.0	24967.8	.
salamanca_u3	2015.0	1728420.0	32104.6	.
salamanca_u4	2015.0	1728420.0	32104.6	.
primero_empresa_minera	2015.0	1910425.0	24967.8	.
oviachic	2015.0	1910425.0	24967.8	.
proveedora_de_electricidad_de_occidente	2015.0	1910425.0	24967.8	.
villa_de_reyes_u1	2015.0	1728420.0	32104.6	.
villa_de_reyes_u2	2015.0	1728420.0	32104.6	.
el_salto	2015.0	1910425.0	24967.8	.
botello	2015.0	1910425.0	24967.8	.
minas	2015.0	1910425.0	24967.8	.
sanalona	2015.0	1910425.0	24967.8	.
platanal	2015.0	1910425.0	24967.8	.
procesamiento_energetico_mexicano	2015.0	1910425.0	24967.8	.
encanto	2015.0	1910425.0	24967.8	.
dos_bocas_u1	2015.0	910280.0	16024.8	.
dos_bocas_u2	2015.0	910280.0	16024.8	.
dos_bocas_u3	2015.0	910280.0	16024.8	.
dos_bocas_u4	2015.0	910280.0	16024.8	.
dos_bocas_u5	2015.0	910280.0	16024.8	.
dos_bocas_u6	2015.0	910280.0	16024.8	.
mocuzari	2015.0	1910425.0	24967.8	.
hidroelectricidad_del_pacifico	2015.0	1910425.0	24967.8	.
puente_grande	2015.0	1910425.0	24967.8	.
la_mata_pie	2015.0	2016000.0	24963.0	.
la_venta_i-ii	2015.0	2016000.0	24963.0	.
la_venta_iii_pie	2015.0	2016000.0	24963.0	.
laguna_verde_central	2015.0	6405301.0	98040.5	.
los_humeros_central	2015.0	2038100.0	87118.0	.
los_humeros_u3	2015.0	2038100.0	87118.0	.
los_humeros_u6	2015.0	2038100.0	87118.0	.
los_humeros_u8	2015.0	2038100.0	87118.0	.
zumpimito	2015.0	1910425.0	24967.8	.
hidroelectrica_arco_iris	2015.0	1910425.0	24967.8	.
colotlipa	2015.0	1910425.0	24967.8	.
oaxaca_i_pie	2015.0	2016000.0	24963.0	.
oaxaca_ii_pie	2015.0	2016000.0	24963.0	.
oaxaca_iii_pie	2015.0	2016000.0	24963.0	.
oaxaca_iv_pie	2015.0	2016000.0	24963.0	.
alameda	2015.0	1910425.0	24967.8	.
intermedia	2015.0	1910425.0	24967.8	.
bombana	2015.0	1910425.0	24967.8	.
poza_rica_u1	2015.0	1728420.0	32104.6	.
poza_rica_u2	2015.0	1728420.0	32104.6	.
poza_rica_u3	2015.0	1728420.0	32104.6	.
san_lorenzo_potencia	2015.0	910280.0	16024.8	.
hidrorizaba_ii	2015.0	1910425.0	24967.8	.
gobierno_del_estado_de_michoacan_de_ocampo	2015.0	1910425.0	24967.8	.
colina	2015.0	1910425.0	24967.8	.
san_pedro_poruas	2015.0	1910425.0	24967.8	.
tuxpan_u1_tc	2015.0	1728420.0	32104.6	.
tuxpan_u2_tc	2015.0	1728420.0	32104.6	.
tuxpan_u3_tc	2015.0	1728420.0	32104.6	.
tuxpan_u4_tc	2015.0	1728420.0	32104.6	.
tuxpan_u5_tc	2015.0	1728420.0	32104.6	.
tuxpan_u6_tc	2015.0	1728420.0	32104.6	.
