GENERATIONS_PROJECT	gen_tech	gen_load_zone	gen_connect_cost_per_mw	gen_full_load_heat_rate	proj_variable_o_m	gen_capacity_limit_mw	gen_energy_source	gen_variable_om	gen_min_build_capacity	gen_scheduled_outage_rate	gen_forced_outage_rate	gen_max_age	gen_unit_size	proj_ccs_capture_efficiency	proj_ccs_energy_load	gen_storage_efficiency	proj_store_to_release_ratio	gen_is_variable	gen_is_baseload	gen_is_cogen
caracol	hydroelectric	35-acapulco	99048.565	.	0	.	water	0	0	0.03	0.03	50	.	.	.	.	.	0	1	0
carbon_ii_u1	carboelectric_coal	12-rio_escondido	99048.565	9.163728341	3.782	.	coal	3.782	0	0.1171	0.1171	20	.	.	.	.	.	0	1	0
carbon_ii_u2	carboelectric_coal	12-rio_escondido	99048.565	9.163728341	3.782	.	coal	3.782	0	0.1171	0.1171	20	.	.	.	.	.	0	1	0
carbon_ii_u3	carboelectric_coal	12-rio_escondido	99048.565	9.163728341	3.782	.	coal	3.782	0	0.1171	0.1171	20	.	.	.	.	.	0	1	0
carbon_ii_u4	carboelectric_coal	12-rio_escondido	99048.565	9.163728341	3.782	.	coal	3.782	0	0.1171	0.1171	20	.	.	.	.	.	0	1	0
cartones_ponderosa	internal_combustion_fuel_oil	30-queretaro	99048.565	8.984047394	6.63	.	fuel_oil	6.63	0	0.1123	0.1123	20	.	.	.	.	.	0	1	0
cbio_pp_04	bioenergy_natural_gas	42-merida	99048.565	8.624685497	4.37	.	natural_gas	4.37	0	0.1123	0.1123	20	.	.	.	.	.	0	1	0
ccar_cfe_01	carboelectric_coal	12-rio_escondido	99048.565	7.726280759	3.782	.	coal	3.782	0	0.1171	0.1171	20	.	.	.	.	.	0	1	0
ccc_01	combined_cycle_natural_gas	47-ensenada	99048.565	5.839630806	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
ccc_02	combined_cycle_natural_gas	07-juarez	99048.565	5.749790332	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
ccc_03	combined_cycle_natural_gas	16-monterrey	99048.565	5.570109384	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
ccc_04	combined_cycle_natural_gas	04-los_mochis	99048.565	6.198992701	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
ccc_06	combined_cycle_natural_gas	04-los_mochis	99048.565	5.92947128	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
ccc_aut_05	combined_cycle_natural_gas	21-guemez	99048.565	6.198992701	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
ccc_aut_06	combined_cycle_natural_gas	16-monterrey	99048.565	6.198992701	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
ccc_aut_07	combined_cycle_natural_gas	16-monterrey	99048.565	5.839630806	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
ccc_cfe_01	combined_cycle_natural_gas	02-cananea	99048.565	6.558354598	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
