,month,day,hour,central,oriental,occidental,norte,noreste,peninsular,noroeste,baja_california,baja_california_sur,sin,sen
0,1,1,1,5572.589999,4437.890014,5311.529,1720.497532,3065.93333,922.899,1356.263,887.671,189.30935648655918,22387.601875,23464.582231486558
1,1,1,2,5192.834999,4186.509014,5058.16,1652.212532,3026.79733,890.861,1297.832,859.611549,181.01035848655917,21305.206875,22345.82878248656
2,1,1,3,4804.654999,3948.359014,4784.748,1564.4826649,2858.08333,861.937,1251.347,831.406,172.45335848655918,20073.612007900003,21077.471366386562
3,1,1,4,4481.470999,3770.609014,4621.731,1525.970532,2767.58133,831.483,1209.954,804.783,166.87535848655918,19208.799875,20180.45823348656
4,1,1,5,4242.879999,3672.134014,4495.329,1488.642532,2673.99033,806.439,1170.321,778.978,162.22035848655918,18549.735875,19490.934233486558
5,1,1,6,4143.213999,3598.873014,4320.425,1461.663532,2714.91733,784.667,1138.814,760.409,160.2103584865592,18162.573875,19083.193233486556
6,1,1,7,4029.511999,3497.736014,4397.64,1456.927532,2764.7994559999997,722.611,1126.313,728.995,158.9193584865592,17995.539000999997,18883.453359486557
7,1,1,8,3752.8804339999997,3212.969014,4207.657,1428.667571,2657.02533,703.317,1111.315,691.517,152.21235848655917,17073.831349,17917.56070748656
8,1,1,9,3818.587999,3200.390014,4081.955,1367.187353,2602.51433,731.6,1116.736,697.779,157.91635848655918,16918.970696,17774.66605448656
9,1,1,10,4004.322999,3204.778972,4314.471,1427.385532,2558.42103,770.355,1121.241,718.38,167.00935848655917,17400.975532999997,18286.36489148656
10,1,1,11,4099.109999,3236.285014,4426.504,1475.713532,2667.87233,807.674,1148.406,740.666,172.9783584865592,17861.564875,18775.20923348656
11,1,1,12,4219.400999,3343.132014,4481.73,1517.494532,2753.84133,835.615,1127.008,746.927,175.61735848655917,18278.221875000003,19200.76623348656
12,1,1,13,4282.432999,3458.776014,4507.529,1530.368532,2798.09633,850.776,1143.091,744.883,175.97435848655917,18571.069875,19491.927233486564
13,1,1,14,4284.418999,3525.937014,4530.888,1529.144631,2796.54833,857.665,1151.816,737.859,175.00935848655917,18676.417974,19589.28633248656
14,1,1,15,4303.715999,3547.451014,4490.778,1523.490739,2775.71233,853.7,1153.849,729.795,173.4133584865592,18648.697082,19551.905440486556
15,1,1,16,4312.170999,3532.591014,4632.049,1509.595532,2819.88533,852.469,1143.077,731.752,174.47035848655918,18801.837875,19708.06023348656
16,1,1,17,4392.070999,3559.620014,4801.89,1498.269787,2818.77233,857.555,1131.793,771.279,172.3713584865592,19059.97113,20003.62148848656
17,1,1,18,4599.890999,3689.407014,4898.198,1531.540532,2925.43133,932.437,1126.884,932.227,180.64435848655918,19703.788875,20816.660233486557
18,1,1,19,5522.970999,4617.098014,5629.66,1708.835532,3304.12633,1070.327,1200.227,988.41,213.51069048655918,23053.244875,24255.16556548656
19,1,1,20,6192.343999,5043.892014,6213.273,1889.373532,3535.57833,1060.713,1410.82,1002.6,219.28102348655918,25345.993875,26567.874898486556
20,1,1,21,6185.882999,5054.814014,6169.166,1888.351532,3546.23433,1040.722,1433.053,995.445,211.8720234865592,25318.223875000003,26525.54089848656
21,1,1,22,5980.109999,4873.769014,6028.063,1841.022378,3457.31533,1015.713,1412.633,959.85,205.17135748655917,24608.625721000004,25773.647078486563
22,1,1,23,5651.382999,4562.459014,5586.559,1771.866532,3334.49333,980.305,1376.82,910.91,191.02135848655917,23263.885875000004,24365.817233486563
23,1,1,24,5106.023999,4165.833014,5423.528,1679.698532,3192.65233,921.268,1283.787,851.77,178.6163584865592,21772.790875000002,22803.177233486564
24,1,2,1,4582.154999,3958.974014,4902.018,1576.904532,3083.86833,861.677,1209.871,804.872,167.41435848655917,20175.467875,21147.754233486557
25,1,2,2,4190.954999,3779.038014,4737.956,1496.615532,2971.11233,813.878,1148.098,771.211,157.35135848655918,19137.652875,20066.215233486557
26,1,2,3,4040.633999,3693.036014,4532.551,1442.305532,2899.16133,778.772,1111.581,749.128,153.23735848655917,18498.040875,19400.40623348656
27,1,2,4,4006.998999,3614.525014,4404.513,1408.430532,2890.43133,755.267,1091.09,737.578,150.51335848655918,18171.255875000003,19059.347233486562
28,1,2,5,3932.112999,3564.145014,4339.031,1395.205532,2870.17333,739.74,1070.476,735.876,150.41035848655918,17910.883875,18797.17023348656
29,1,2,6,3995.944999,3556.863014,4483.931,1401.874572,2851.99933,736.649,1070.827,741.275,154.54235848655918,18098.088915,18993.906273486562
30,1,2,7,4108.377999,3572.724014,4796.324,1427.071079,2943.49833,705.38,1088.376,743.271,155.5983584865592,18641.751422,19540.620780486563
31,1,2,8,4148.125999,3391.007014,4846.749,1447.09896,2827.20333,714.013,1108.085,739.067,157.52135848655917,18482.282302999996,19378.870661486555
32,1,2,9,4351.731999,3500.147014,4996.603,1455.905532,2933.28133,766.877,1102.385,776.362,172.78935848655917,19106.930875000002,20056.082233486562
33,1,2,10,4613.463999,3608.284014,5225.819,1549.851532,3101.02033,823.155,1166.26,809.738,187.3473584865592,20087.853874999997,21084.93923348656
34,1,2,11,4915.887999,3687.294014,5293.039,1622.215532,3189.89433,865.012,1228.754,833.116,195.4673584865592,20802.096875,21830.680233486557
35,1,2,12,5043.564999,3692.787014,5430.201,1660.721109,3304.08533,886.875,1268.501,841.932,196.4913584865592,21286.735452,22325.158810486562
36,1,2,13,5017.706999,3722.903014,5439.742,1664.529108,3285.95233,890.052,1283.127,840.403,198.47535848655917,21304.012451,22342.890809486555
37,1,2,14,5020.909999,3727.421014,5491.763,1648.197532,3360.81333,890.285,1283.767,839.205,197.74935848655917,21423.156875,22460.11123348656
38,1,2,15,4975.141999,3704.460014,5347.726,1635.869532,3323.26733,880.501,1281.834,837.302,195.90835848655917,21148.799874999997,22182.010233486555
39,1,2,16,4969.965999,3655.447014,5393.421,1622.728406,3294.57833,871.825,1266.887,846.51,193.3663584865592,21074.852748999998,22114.729107486557
40,1,2,17,5015.416999,3736.327014,5415.002,1623.979532,3322.84733,873.471,1260.444,897.568,191.79335848655919,21247.487875,22336.84923348656
41,1,2,18,5178.922999,3917.849014,5556.208,1660.245532,3403.03333,955.261,1267.017,1041.398,199.67335848655918,21938.536874999998,23179.608233486557
42,1,2,19,6271.481999,4776.491014,5892.805,1852.743532,3851.49633,1085.306,1342.505,1084.137,230.71769048655918,25072.828875,26387.683565486557
43,1,2,20,6944.245999,5229.201014,6728.305,2034.471532,4038.32833,1082.567,1537.392,1092.406,237.36302348655917,27594.510875,28924.27989848656
44,1,2,21,6936.617999,5188.983014,6772.391,2054.233532,4047.84533,1069.263,1574.133,1077.537,233.09102348655918,27643.466875000002,28954.09489848656
45,1,2,22,6766.277999,4997.130014,6603.78,2021.044532,4055.80233,1044.973,1556.816,1034.318,224.06068948655917,27045.823874999995,28304.202564486553
46,1,2,23,6332.839999,4612.963014,6192.276,1943.016845,3912.68333,992.586,1474.218,971.032,209.66035848655918,25460.583188,26641.27554648656
47,1,2,24,5657.995999,4201.892014,5930.129,1822.902532,3721.76533,921.395,1377.673,894.481,191.34335848655917,23633.752875,24719.577233486558
48,1,3,1,4902.489999,3812.203014,5355.131,1694.965773,3557.23933,854.105,1276.163,839.201,174.73935848655918,21452.297116,22466.237474486563
49,1,3,2,4486.150999,3648.488014,5150.388,1596.247986,3545.05833,805.556,1202.435,807.796,168.9013584865592,20434.324329000003,21411.021687486562
50,1,3,3,4344.135999,3618.724014,5035.813,1564.47864,3451.88233,774.392,1161.047,788.97,164.71435848655918,19950.472982999996,20904.157341486556
51,1,3,4,4276.385999,3511.475014,4997.568,1550.744532,3401.32733,754.148,1138.442,784.115,161.71935848655917,19630.090875,20575.925233486563
52,1,3,5,4346.650999,3508.970014,5041.363,1551.464532,3428.89233,742.672,1130.561,798.371,162.5023584865592,19750.573875000002,20711.44723348656
53,1,3,6,4604.592999,3599.784014,5271.097,1583.179532,3523.48133,742.479,1143.802,844.095,167.24735848655916,20468.415875,21479.75823348656
54,1,3,7,5135.349999,3729.783014,5511.87,1655.232448,3792.54733,733.506,1198.589,917.241,174.15635848655918,21756.877791000003,22848.27514948656
55,1,3,8,5391.212999,3691.101014,5807.598,1778.913568,3994.40133,779.578,1281.168,983.227,178.7413584865592,22723.972911,23885.94126948656
56,1,3,9,5745.074999,3852.483014,6268.669,1871.813972,4118.91333,884.738,1319.019,1022.243,192.8423584865592,24060.711315,25275.79667348656
57,1,3,10,6100.226999,4036.097014,6578.092,2002.402532,4336.46233,978.249,1382.778,1072.745,210.8336904865592,25414.307875000002,26697.886565486562
58,1,3,11,6374.693999,4161.695014,6812.335,2092.169532,4431.28733,1036.544,1447.893,1110.698,220.52435648655918,26356.617875,27687.84023148656
