,month,day,hour,central,oriental,occidental,norte,noreste,peninsular,noroeste,baja_california,baja_california_sur,sin,sen
0,1,1,1,5367.234005921939,4631.773849666218,5371.092991924629,1785.2582439905775,3348.3304939434724,919.665,1456.8105248990578,945.2935242261103,200.48069587062,22880.165110345893,24025.939330442627
1,1,1,2,5049.3360059219385,4396.642849666217,5081.65899192463,1710.6100919905775,3245.8724939434724,893.475,1396.6715248990579,908.9355242261103,193.62769587062,21774.266958345892,22876.830178442622
2,1,1,3,4724.795005921938,4161.702849666217,4790.13099192463,1649.3225649905776,3117.2874939434723,864.327,1353.1675248990578,874.5085242261104,184.62469587062,20660.733431345892,21719.866651442626
3,1,1,4,4391.259005921938,3976.8168496662174,4544.39599192463,1598.9040869905773,3046.0044939434724,838.492,1311.3755248990578,846.2335242261103,179.64569587062,19707.24795334589,20733.12717344262
4,1,1,5,4183.469005921939,3836.451849666217,4439.339991924629,1558.1187269905774,2964.7874939434723,815.847,1274.632524899058,812.5575242261103,172.68269587062,19072.646593345893,20057.886813442623
5,1,1,6,4075.901005921939,3756.9568496662173,4351.909991924629,1540.5320929905774,2947.10855109968,796.737,1240.4915248990578,787.2905242261103,170.31469587062,18709.6370165021,19667.24223659883
6,1,1,7,4011.397005921939,3635.634849666217,4375.79299192463,1543.0550929905774,2975.9064939434725,742.064,1231.257524899058,761.2725242261104,169.10769587062,18515.107959345893,19445.488179442626
7,1,1,8,3811.459005921939,3324.375849666217,4150.21799192463,1514.1349089905775,2906.3724939434724,713.242,1213.2685248990579,744.2725242261104,161.79869587062,17633.070775345892,18539.141995442624
8,1,1,9,3828.35706307815,3346.37690682242,4196.69704908084,1512.93403714678,2899.3424939434726,740.785,1194.41258205527,716.2255242261103,168.21869587062,17718.905132126933,18603.34935222366
9,1,1,10,3938.939005921939,3387.9888496662174,4259.70699192463,1491.1732179905775,2920.6094939434724,779.938,1155.112524899058,685.4015242261103,181.02669587062,17933.468084345892,18799.89630444262
10,1,1,11,4101.207005921939,3450.4638496662174,4401.72599192463,1530.1269539905775,3050.4244939434725,817.78,1188.4365248990578,695.6175242261103,190.52669587062,18540.164820345894,19426.309040442622
11,1,1,12,4194.825005921938,3535.6408496662175,4496.830991924629,1558.5640989905776,3084.0794939434722,845.224,1221.9895248990579,726.6435242261103,191.75369587062,18937.15396534589,19855.55118544262
12,1,1,13,4268.881005921939,3549.297849666217,4523.691991924629,1557.3388869905775,3067.7334939434722,867.28,1240.3605248990577,751.9865242261103,190.61269587062,19074.58375334589,20017.18297344262
13,1,1,14,4241.715005921938,3560.7188496662175,4530.146991924629,1539.7230819905776,3136.6414939434726,877.048,1253.997524899058,762.5735242261103,190.23769587062,19139.990948345894,20092.802168442624
14,1,1,15,4236.201005921938,3618.1358496662174,4741.49299192463,1530.8871619905774,3149.6214939434726,876.192,1255.7115248990578,769.5795242261103,188.10569587062,19408.242028345892,20365.927248442626
15,1,1,16,4250.748005921939,3601.2338496662173,4728.8849919246295,1513.2295159905775,3146.4814939434723,871.911,1254.429524899058,761.0345242261103,187.28369587062,19366.91838234589,20315.236602442623
16,1,1,17,4317.258005921938,3624.0868496662174,4737.320991924629,1513.0626189905774,3223.6354939434723,872.511,1254.9945248990578,762.1365242261103,188.08869587062,19542.86948534589,20493.09470544262
17,1,1,18,4550.467005921939,3770.9468496662175,4850.72899192463,1545.4970599905773,3350.6114939434724,952.824,1259.3685248990578,763.4385242261103,195.66769587062,20280.443926345895,21239.550146442623
18,1,1,19,5504.886005921939,4754.456849666218,5503.816991924629,1733.1504929905773,3705.6424939434723,1080.252,1324.8375248990578,791.0265242261103,229.41369587062,23607.042359345898,24627.482579442625
19,1,1,20,6293.977005921938,5202.1208496662175,6045.735991924629,1939.7699399905775,3850.6464939434723,1076.59,1525.1575248990578,932.7095242261103,233.72469587062,25933.997806345895,27100.432026442624
20,1,1,21,6305.4830059219385,5138.840849666218,6185.339991924629,1967.0308549905776,3847.7034939434725,1051.013,1560.6685248990577,976.9425242261103,229.30469587062,26056.07972134589,27262.32694144262
21,1,1,22,6045.664005921938,4865.358849666218,6017.26499192463,1940.6434499905774,3811.0604939434725,1017.316,1545.756524899058,981.6765242261104,220.66469587062,25243.064316345888,26445.405536442617
22,1,1,23,5554.428005921938,4637.059849666217,5653.476991924629,1878.4568179905775,3689.2744939434724,972.085,1495.6055248990579,964.9925242261103,205.96369587062,23880.38668434589,25051.34290444262
23,1,1,24,5016.160005921938,4317.932849666217,5251.52899192463,1780.3863899905775,3657.4514939434725,911.106,1410.2735248990577,927.7325242261103,188.96869587062,22344.83925634589,23461.54047644262
24,1,2,1,4299.171005921939,4004.5268496662175,5011.06599192463,1665.6424439905775,3499.0744939434726,853.643,1320.0305248990578,869.6655242261103,176.35567487062,20653.154310345893,21699.175509442626
25,1,2,2,4000.998005921939,3854.1138496662174,4743.93499192463,1598.2281009905773,3422.5974939434723,809.18,1266.6655248990578,813.0945242261104,169.09327487061998,19695.717967345892,20677.905766442622
26,1,2,3,4040.544005921939,3771.1118496662175,4612.82299192463,1551.3014789905774,3357.7664939434726,779.907,1231.5885248990578,770.1905242261103,166.33259887062,19345.04234534589,20281.56546844262
27,1,2,4,4023.083005921939,3695.210849666217,4595.0769919246295,1534.3928939905775,3321.0174939434723,761.976,1209.391524899058,741.5065242261103,162.62948687061998,19140.148760345895,20044.284771442628
28,1,2,5,4070.508005921939,3666.7718496662173,4617.64899192463,1538.6965759905775,3369.1414939434726,751.818,1197.0325248990578,724.8555242261103,162.36759787062,19211.617442345898,20098.840564442628
29,1,2,6,4326.206005921938,3737.0718496662175,4839.72499192463,1572.7606319905776,3448.5924939434726,755.21,1202.7105248990579,717.9925242261103,165.66544087062,19882.276498345895,20765.934463442623
30,1,2,7,4885.798005921938,3890.1578496662173,5243.39599192463,1661.5206359905776,3710.7804939434723,751.804,1236.949524899058,726.7245242261104,176.66614587062,21380.406502345893,22283.79717244262
31,1,2,8,5219.298005921938,3880.4458496662173,5688.35099192463,1803.8179739905775,3946.8774939434725,793.992,1297.449524899058,761.9295242261103,183.52718687062,22630.231840345892,23575.68855144262
32,1,2,9,5578.670005921938,4033.5378496662174,6069.968991924629,1909.7862659905775,4148.4534939434725,891.496,1331.3485248990578,830.6535242261103,201.18223187062,23963.261132345895,24995.096888442626
33,1,2,10,6057.954005921938,4231.884849666218,6607.833991924629,2055.4050699905774,4337.8554939434725,983.956,1415.8165248990579,880.9805242261103,215.83398687061998,25690.705936345894,26787.520447442625
34,1,2,11,6352.949005921939,4395.578849666217,6810.57799192463,2133.6174869905776,4460.343493943473,1031.418,1501.8085248990578,947.3745242261103,227.02486587062,26686.293353345896,27860.692743442625
